rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,10,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,32.211401,451.4795,210,210,0.5328,VIDYA/FRAMA,-1,,,
2,EMA,24,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,27.651679,404.4360,226,226,0.6496,EMA/FRAMA,-1,,,
3,T3,16,0.8,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,23.844795,280.7869,100,100,0.0000,T3/KAMA,-1,,,
4,KAMA,10,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,22.430527,336.3032,235,235,0.7153,KAMA/FRAMA,-1,,,
5,T3,16,0.8,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,22.078528,259.9880,94,94,0.0000,T3/KAMA,-1,,,
6,VIDYA,8,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,22.070760,322.8089,226,226,0.6496,VIDYA/FRAMA,-1,,,
7,KAMA,10,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,19.920691,334.0666,273,273,0.9927,KAMA/FRAMA,-1,,,
8,ALMA,22,0.85,6.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,19.503573,328.0948,371,371,1.0000,ALMA/FRAMA,-1,,,
9,T3,18,0.8,0.0,JMA,54,0.0,2.0,JMA,216,0.0,2.0,19.141068,225.3976,106,106,0.0000,T3/JMA,-1,,,
10,FRAMA,10,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,19.065107,320.7188,355,355,1.0000,FRAMA/FRAMA,-1,,,
11,FRAMA,14,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,17.737496,298.3853,363,363,1.0000,FRAMA/FRAMA,-1,,,
12,T3,20,0.8,0.0,JMA,66,0.0,2.0,JMA,264,0.0,2.0,13.648921,160.7243,98,98,0.0000,T3/JMA,-1,,,
13,ALMA,16,0.85,4.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,12.622899,212.3461,417,417,1.0000,ALMA/FRAMA,-1,,,
14,EMA,14,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,10.248462,166.6675,263,263,0.9197,EMA/FRAMA,-1,,,
C0_1,SMA,14,0.0,0.0,ALMA,36,0.85,4.0,ALMA,144,0.85,4.0,5.571437,6.8680,36,0,0.0000,SMA/ALMA,0,5.5714,80.1416,36
C0_2,T3,14,0.7,0.0,ALMA,49,0.85,6.0,ALMA,196,0.85,6.0,5.259092,19.6246,31,0,0.0000,T3/ALMA,0,5.2591,73.8303,31
C0_3,ALMA,18,0.5,4.0,SSmoother,54,0.0,0.0,SSmoother,216,0.0,0.0,5.109830,13.3627,31,0,0.0000,ALMA/SSmoother,0,5.1098,73.2285,31
C0_4,SMA,14,0.0,0.0,ALMA,39,0.85,4.0,ALMA,156,0.85,4.0,5.091328,-5.8381,34,0,0.0000,SMA/ALMA,0,5.0913,77.8296,34
