rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,22,0.7,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,34.069585,411.1847,209,209,0.5714,T3/FRAMA,-1,,,
2,ALMA,18,0.5,6.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,31.933434,456.1919,359,359,1.0000,ALMA/ZLEMA,-1,,,
3,VIDYA,14,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,29.462052,294.6205,123,123,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,16,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,29.188280,291.8828,110,110,0.0000,VIDYA/KAMA,-1,,,
5,ALMA,16,0.5,4.0,SSmoother,33,0.0,0.0,SSmoother,132,0.0,0.0,26.675117,381.0731,566,566,1.0000,ALMA/SSmoother,-1,,,
6,KAMA,20,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,23.793845,244.5581,145,145,0.0902,KAMA/DEMA,-1,,,
7,FRAMA,18,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,22.831012,324.0688,264,264,0.9850,FRAMA/TEMA,-1,,,
8,ALMA,20,0.5,4.0,HMA,63,0.0,0.0,HMA,252,0.0,0.0,21.150103,218.9077,148,148,0.1128,ALMA/HMA,-1,,,
9,ALMA,16,0.5,4.0,HMA,54,0.0,0.0,HMA,216,0.0,0.0,19.787879,225.9045,188,188,0.4135,ALMA/HMA,-1,,,
10,T3,22,0.7,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,18.897097,223.2073,201,201,0.5113,T3/FRAMA,-1,,,
11,FRAMA,18,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,18.160655,257.7766,264,264,0.9850,FRAMA/TEMA,-1,,,
12,KAMA,20,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,17.534601,180.6431,146,146,0.0977,KAMA/DEMA,-1,,,
13,ALMA,24,0.85,4.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,15.607889,187.8597,208,208,0.5639,ALMA/ZLEMA,-1,,,
14,ALMA,16,0.5,6.0,SSmoother,30,0.0,0.0,SSmoother,120,0.0,0.0,8.982637,128.3234,621,621,1.0000,ALMA/SSmoother,-1,,,
C0_1,VIDYA,12,0.0,0.0,HMA,57,0.0,0.0,HMA,228,0.0,0.0,3.712568,35.5292,35,0,0.0000,VIDYA/HMA,0,3.7126,63.4461,35
C0_2,VIDYA,10,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,3.293559,8.2649,46,0,0.0000,VIDYA/ZLEMA,0,3.2936,64.8816,46
C0_3,VIDYA,14,0.0,0.0,HMA,60,0.0,0.0,HMA,240,0.0,0.0,3.159505,44.2872,31,0,0.0000,VIDYA/HMA,0,3.1595,43.7936,31
C0_4,T3,22,0.7,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,3.070411,88.4676,64,0,0.0000,T3/FRAMA,0,3.0704,81.4486,64
C0_5,T3,24,0.7,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,2.898725,159.3033,53,0,0.0000,T3/FRAMA,0,2.8987,68.7438,53
C1_1,SMA,22,0.0,0.0,ZLEMA,75,0.0,0.0,ZLEMA,300,0.0,0.0,6.512078,-29.8094,30,0,0.0000,SMA/ZLEMA,1,6.5121,44.2654,30
C1_2,SMA,18,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,5.663316,83.2341,32,0,0.0000,SMA/DEMA,1,5.6633,53.1360,32
C1_3,SMA,18,0.0,0.0,DEMA,54,0.0,0.0,DEMA,216,0.0,0.0,4.889830,-58.3796,33,0,0.0000,SMA/DEMA,1,4.8898,62.5197,33
C1_4,VIDYA,12,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,3.611463,137.3791,41,0,0.0000,VIDYA/FRAMA,1,3.6115,71.1523,41
C1_5,SMA,20,0.0,0.0,ZLEMA,66,0.0,0.0,ZLEMA,264,0.0,0.0,3.291150,4.8606,34,0,0.0000,SMA/ZLEMA,1,3.2911,46.2322,34
C2_1,McGinley,14,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,5.034087,149.2567,31,0,0.0000,McGinley/TEMA,2,5.0341,78.2114,31
C2_2,T3,20,0.7,0.0,HMA,69,0.0,0.0,HMA,276,0.0,0.0,4.684467,76.0066,34,0,0.0000,T3/HMA,2,4.6845,67.7201,34
C2_3,SMA,22,0.0,0.0,HMA,49,0.0,0.0,HMA,196,0.0,0.0,4.431100,107.4777,33,0,0.0000,SMA/HMA,2,4.4311,69.8654,33
C2_4,T3,22,0.7,0.0,HMA,75,0.0,0.0,HMA,300,0.0,0.0,3.735879,87.4195,30,0,0.0000,T3/HMA,2,3.7359,70.5608,30
C2_5,McGinley,12,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,3.464688,120.6128,33,0,0.0000,McGinley/TEMA,2,3.4647,74.6075,33
C2_6,SMA,22,0.0,0.0,HMA,57,0.0,0.0,HMA,228,0.0,0.0,3.289583,80.2743,36,0,0.0000,SMA/HMA,2,3.2896,65.5488,36
