rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,22,0.7,0.0,SSmoother,66,0.0,0.0,SSmoother,264,0.0,0.0,78.780075,787.8008,101,101,0.0000,T3/SSmoother,-1,,,
2,T3,20,0.7,0.0,EMA,51,0.0,0.0,EMA,204,0.0,0.0,78.563064,785.6306,107,107,0.0000,T3/EMA,-1,,,
3,T3,24,0.8,0.0,SMA,33,0.0,0.0,SMA,132,0.0,0.0,75.198521,751.9852,133,133,0.0000,T3/SMA,-1,,,
4,T3,20,0.7,0.0,McGinley,54,0.0,0.0,McGinley,216,0.0,0.0,74.630818,746.3082,103,103,0.0000,T3/McGinley,-1,,,
5,T3,20,0.7,0.0,EMA,48,0.0,0.0,EMA,192,0.0,0.0,70.150358,701.5036,115,115,0.0000,T3/EMA,-1,,,
6,T3,20,0.7,0.0,McGinley,51,0.0,0.0,McGinley,204,0.0,0.0,70.150024,701.5002,107,107,0.0000,T3/McGinley,-1,,,
7,T3,24,0.8,0.0,ALMA,66,0.85,4.0,ALMA,264,0.85,4.0,63.790503,637.9050,113,113,0.0000,T3/ALMA,-1,,,
8,T3,20,0.7,0.0,ALMA,72,0.85,4.0,ALMA,288,0.85,4.0,60.505698,605.0570,130,130,0.0000,T3/ALMA,-1,,,
9,SMA,18,0.0,0.0,VWMA,72,0.0,0.0,VWMA,288,0.0,0.0,60.109523,601.0952,80,80,0.0000,SMA/VWMA,-1,,,
10,ALMA,22,0.5,6.0,EMA,60,0.0,0.0,EMA,240,0.0,0.0,59.158299,624.6528,160,160,0.1765,ALMA/EMA,-1,,,
11,SMA,18,0.0,0.0,VWMA,69,0.0,0.0,VWMA,276,0.0,0.0,58.514641,585.1464,84,84,0.0000,SMA/VWMA,-1,,,
12,ALMA,24,0.5,6.0,EMA,63,0.0,0.0,EMA,252,0.0,0.0,56.778530,585.8786,150,150,0.1029,ALMA/EMA,-1,,,
13,T3,16,0.7,0.0,SSmoother,45,0.0,0.0,SSmoother,180,0.0,0.0,55.171112,574.5231,154,154,0.1324,T3/SSmoother,-1,,,
14,T3,22,0.7,0.0,SMA,45,0.0,0.0,SMA,180,0.0,0.0,51.173141,511.7314,124,124,0.0000,T3/SMA,-1,,,
C0_1,T3,18,0.7,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,14.380917,-64.5140,36,0,0.0000,T3/ZLEMA,0,14.3809,87.0753,36
C0_2,ALMA,20,0.5,4.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,10.109186,-75.0987,32,0,0.0000,ALMA/ZLEMA,0,10.1092,62.3074,32
C0_3,McGinley,18,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,10.066054,-66.5424,31,0,0.0000,McGinley/ZLEMA,0,10.0661,95.7434,31
C0_4,T3,24,0.7,0.0,ZLEMA,60,0.0,0.0,ZLEMA,240,0.0,0.0,5.077021,-79.4309,32,0,0.0000,T3/ZLEMA,0,5.0770,60.1878,32
C0_5,ALMA,22,0.85,4.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,5.056516,-78.8157,37,0,0.0000,ALMA/ZLEMA,0,5.0565,55.7597,37
C1_1,KAMA,22,0.0,0.0,T3,48,0.7,0.0,T3,192,0.7,0.0,6.390667,204.7142,30,0,0.0000,KAMA/T3,1,6.3907,187.7163,30
C1_2,VIDYA,18,0.0,0.0,ALMA,75,0.5,4.0,ALMA,300,0.5,4.0,6.236313,176.7204,31,0,0.0000,VIDYA/ALMA,1,6.2363,185.8663,31
C1_3,KAMA,22,0.0,0.0,T3,51,0.8,0.0,T3,204,0.8,0.0,5.729654,89.2727,30,0,0.0000,KAMA/T3,1,5.7297,163.3904,30
C1_4,VIDYA,18,0.0,0.0,ALMA,72,0.5,4.0,ALMA,288,0.5,4.0,5.273130,303.1344,33,0,0.0000,VIDYA/ALMA,1,5.2731,193.7017,33
C1_5,McGinley,24,0.0,0.0,T3,54,0.8,0.0,T3,216,0.8,0.0,5.214581,168.5289,30,0,0.0000,McGinley/T3,1,5.2146,168.2698,30
C2_1,T3,8,0.7,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,5.069423,-77.0272,37,0,0.0000,T3/FRAMA,2,5.0694,87.5390,37
C2_2,SSmoother,22,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,4.974812,-58.1067,41,0,0.0000,SSmoother/FRAMA,2,4.9748,86.8762,41
C2_3,JMA,24,0.0,2.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,4.900007,-56.0883,41,0,0.0000,JMA/FRAMA,2,4.9000,69.5312,41
C2_4,JMA,24,0.0,2.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,4.827881,-51.2945,37,0,0.0000,JMA/FRAMA,2,4.8279,76.3752,37
C2_5,T3,10,0.8,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,4.527182,-58.2690,32,0,0.0000,T3/FRAMA,2,4.5272,55.9376,32
C2_6,SSmoother,24,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,4.148113,-69.5420,41,0,0.0000,SSmoother/FRAMA,2,4.1481,74.5285,41
