rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,KAMA,22,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,97.288666,972.8867,110,110,0.0000,KAMA/KAMA,-1,,,
2,VIDYA,16,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,59.717642,597.1764,99,99,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,55.336694,553.3669,107,107,0.0000,VIDYA/KAMA,-1,,,
4,KAMA,22,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,53.179360,550.7540,136,136,0.1148,KAMA/KAMA,-1,,,
5,KAMA,16,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,39.932498,495.6017,201,201,0.6475,KAMA/FRAMA,-1,,,
6,McGinley,22,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,29.358310,371.1621,207,207,0.6967,McGinley/FRAMA,-1,,,
7,DEMA,22,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,28.207709,310.3102,159,159,0.3033,DEMA/TEMA,-1,,,
8,VIDYA,14,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,27.631048,287.6269,138,138,0.1311,VIDYA/FRAMA,-1,,,
9,VWMA,24,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,27.482529,392.6076,289,289,1.0000,VWMA/FRAMA,-1,,,
10,KAMA,20,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,26.598823,334.1974,205,205,0.6803,KAMA/FRAMA,-1,,,
11,McGinley,24,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,24.578654,296.8907,192,192,0.5738,McGinley/FRAMA,-1,,,
12,DEMA,24,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,22.632533,251.7018,163,163,0.3361,DEMA/TEMA,-1,,,
13,VIDYA,10,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,21.463788,286.4969,224,224,0.8361,VIDYA/FRAMA,-1,,,
14,VWMA,24,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,15.285575,218.3654,304,304,1.0000,VWMA/FRAMA,-1,,,
C0_1,VIDYA,24,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,4.835616,131.8441,40,0,0.0000,VIDYA/FRAMA,0,4.8356,96.0133,40
C0_2,EMA,24,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,4.119080,9.2657,35,0,0.0000,EMA/TEMA,0,4.1191,84.9430,35
C0_3,VIDYA,20,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,4.034760,70.5356,32,0,0.0000,VIDYA/KAMA,0,4.0348,85.8887,32
