rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,McGinley,24,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,25.841595,258.4160,18,18,0.0000,McGinley/EMA,-1,,,
2,McGinley,22,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,25.449522,254.4952,103,103,0.0000,McGinley/KAMA,-1,,,
3,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,21.378737,213.7874,114,114,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,16,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,19.254625,192.5462,90,90,0.0000,VIDYA/KAMA,-1,,,
5,EMA,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,16.341643,163.4164,107,107,0.0000,EMA/KAMA,-1,,,
6,T3,20,0.7,0.0,EMA,69,0.0,0.0,EMA,276,0.0,0.0,13.412981,134.1298,74,74,0.0000,T3/EMA,-1,,,
7,T3,22,0.7,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,13.376545,135.1637,120,120,0.0345,T3/KAMA,-1,,,
8,T3,22,0.8,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,13.218353,133.2171,119,119,0.0259,T3/KAMA,-1,,,
9,T3,20,0.7,0.0,SMA,72,0.0,0.0,SMA,288,0.0,0.0,13.183897,131.8390,86,86,0.0000,T3/SMA,-1,,,
10,EMA,20,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,10.829744,108.2974,115,115,0.0000,EMA/KAMA,-1,,,
11,McGinley,20,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,10.135819,101.3582,115,115,0.0000,McGinley/KAMA,-1,,,
12,T3,24,0.8,0.0,SMA,51,0.0,0.0,SMA,204,0.0,0.0,10.118676,101.1868,92,92,0.0000,T3/SMA,-1,,,
13,T3,22,0.8,0.0,EMA,63,0.0,0.0,EMA,252,0.0,0.0,10.102752,101.0275,72,72,0.0000,T3/EMA,-1,,,
14,McGinley,24,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,4.304592,43.0459,86,86,0.0000,McGinley/EMA,-1,,,
C0_1,T3,16,0.7,0.0,ZLEMA,48,0.0,0.0,ZLEMA,192,0.0,0.0,6.390312,1.6475,33,0,0.0000,T3/ZLEMA,0,6.3903,51.5795,33
