rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,133.526773,581.1773,118,118,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,14,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,102.216242,453.9007,129,129,0.0661,VIDYA/KAMA,-1,,,
3,McGinley,22,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,81.201843,439.5201,200,200,0.6529,McGinley/FRAMA,-1,,,
4,McGinley,16,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,52.104280,323.9781,257,257,1.0000,McGinley/FRAMA,-1,,,
5,VIDYA,10,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,43.349005,229.6775,193,193,0.5950,VIDYA/FRAMA,-1,,,
6,McGinley,22,0.0,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,41.887130,182.3144,99,99,0.0000,McGinley/VWMA,-1,,,
7,EMA,22,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,38.355240,237.6465,241,241,0.9917,EMA/FRAMA,-1,,,
8,EMA,24,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,37.305567,218.0593,224,224,0.8512,EMA/FRAMA,-1,,,
9,T3,24,0.7,0.0,SMA,45,0.0,0.0,SMA,180,0.0,0.0,36.902634,160.6193,116,116,0.0000,T3/SMA,-1,,,
10,T3,20,0.8,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,36.107312,157.1576,114,114,0.0000,T3/KAMA,-1,,,
11,McGinley,20,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,28.529512,124.1751,95,95,0.0000,McGinley/VWMA,-1,,,
12,T3,24,0.7,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,28.343810,123.3669,106,106,0.0000,T3/KAMA,-1,,,
13,VIDYA,8,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,26.781696,152.9794,217,217,0.7934,VIDYA/FRAMA,-1,,,
14,T3,22,0.8,0.0,SMA,57,0.0,0.0,SMA,228,0.0,0.0,26.500171,115.3424,82,82,0.0000,T3/SMA,-1,,,
C0_1,KAMA,20,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,7.384616,97.4975,30,0,0.0000,KAMA/FRAMA,0,7.3846,83.6518,30
C0_2,KAMA,18,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,6.494532,42.3349,30,0,0.0000,KAMA/FRAMA,0,6.4945,89.1982,30
C0_3,McGinley,18,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,5.551777,183.6745,31,0,0.0000,McGinley/FRAMA,0,5.5518,72.2247,31
C0_4,VIDYA,10,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,5.139060,16.4550,37,0,0.0000,VIDYA/FRAMA,0,5.1391,70.9944,37
C0_5,McGinley,18,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,4.827007,382.2395,32,0,0.0000,McGinley/FRAMA,0,4.8270,66.5810,32
C0_6,VIDYA,8,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,3.605780,70.1206,33,0,0.0000,VIDYA/FRAMA,0,3.6058,65.4174,33
C1_1,T3,22,0.8,0.0,Tenkan,66,0.0,0.0,Tenkan,264,0.0,0.0,3.914354,100.7413,48,0,0.0000,T3/Tenkan,1,3.9144,79.7745,48
C1_2,T3,22,0.8,0.0,Tenkan,69,0.0,0.0,Tenkan,276,0.0,0.0,3.704470,94.9752,46,0,0.0000,T3/Tenkan,1,3.7045,76.5619,46
C1_3,VWMA,24,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,3.109377,-34.7525,60,0,0.0000,VWMA/TEMA,1,3.1094,52.6853,60
C1_4,T3,22,0.8,0.0,ALMA,69,0.85,4.0,ALMA,276,0.85,4.0,3.091047,137.7609,30,0,0.0000,T3/ALMA,1,3.0910,48.4790,30
C1_5,T3,22,0.8,0.0,ALMA,66,0.85,4.0,ALMA,264,0.85,4.0,3.060382,101.9505,32,0,0.0000,T3/ALMA,1,3.0604,42.7544,32
C2_1,VIDYA,16,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,4.108721,244.9019,32,0,0.0000,VIDYA/KAMA,2,4.1087,72.4031,32
C2_2,JMA,24,0.0,2.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,3.810803,93.1131,41,0,0.0000,JMA/VWMA,2,3.8108,99.5956,41
C2_3,McGinley,18,0.0,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,3.627829,91.6081,33,0,0.0000,McGinley/VWMA,2,3.6278,86.9136,33
C2_4,McGinley,18,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,3.420247,98.9124,33,0,0.0000,McGinley/VWMA,2,3.4202,80.5017,33
C2_5,VIDYA,14,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,3.414039,257.2263,34,0,0.0000,VIDYA/KAMA,2,3.4140,85.9890,34
