rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,20,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,15.230552,152.3055,93,93,0.0000,VIDYA/FRAMA,-1,,,
2,VIDYA,18,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,13.942977,139.4298,102,102,0.0000,VIDYA/FRAMA,-1,,,
3,VIDYA,18,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,13.656696,136.5670,76,76,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,20,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,13.429170,134.2917,52,52,0.0000,VIDYA/KAMA,-1,,,
5,McGinley,20,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,13.308573,162.9621,232,232,0.6111,McGinley/FRAMA,-1,,,
6,McGinley,24,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,12.987593,129.8759,32,32,0.0000,McGinley/EMA,-1,,,
7,T3,20,0.7,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,11.058068,140.4199,246,246,0.7083,T3/FRAMA,-1,,,
8,McGinley,18,0.0,0.0,JMA,30,0.0,2.0,JMA,120,0.0,2.0,10.761235,129.7837,226,226,0.5694,McGinley/JMA,-1,,,
9,McGinley,24,0.0,0.0,ALMA,42,0.85,6.0,ALMA,168,0.85,6.0,10.295645,108.8526,170,170,0.1806,McGinley/ALMA,-1,,,
10,McGinley,22,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,10.038606,114.7269,204,204,0.4167,McGinley/FRAMA,-1,,,
11,T3,20,0.7,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,9.485799,126.4773,264,264,0.8333,T3/FRAMA,-1,,,
12,McGinley,20,0.0,0.0,ALMA,36,0.85,6.0,ALMA,144,0.85,6.0,8.865169,101.3162,204,204,0.4167,McGinley/ALMA,-1,,,
13,McGinley,22,0.0,0.0,JMA,33,0.0,2.0,JMA,132,0.0,2.0,6.214148,70.0186,198,198,0.3750,McGinley/JMA,-1,,,
14,McGinley,24,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,2.023727,20.2373,88,88,0.0000,McGinley/EMA,-1,,,
C0_1,VIDYA,18,0.0,0.0,DEMA,57,0.0,0.0,DEMA,228,0.0,0.0,3.961071,58.4353,37,0,0.0000,VIDYA/DEMA,0,3.9611,96.1316,37
C0_2,VIDYA,20,0.0,0.0,DEMA,63,0.0,0.0,DEMA,252,0.0,0.0,3.813528,67.8111,33,0,0.0000,VIDYA/DEMA,0,3.8135,92.7129,33
C0_3,VIDYA,20,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,3.420205,152.3055,52,0,0.0000,VIDYA/FRAMA,0,3.4202,89.8366,52
C0_4,VIDYA,22,0.0,0.0,ZLEMA,63,0.0,0.0,ZLEMA,252,0.0,0.0,3.275288,21.7983,32,0,0.0000,VIDYA/ZLEMA,0,3.2753,70.3419,32
C0_5,VIDYA,20,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,2.918768,125.9771,43,0,0.0000,VIDYA/FRAMA,0,2.9188,73.6277,43
C0_6,VIDYA,22,0.0,0.0,ZLEMA,69,0.0,0.0,ZLEMA,276,0.0,0.0,2.611085,0.3753,31,0,0.0000,VIDYA/ZLEMA,0,2.6111,60.8325,31
C1_1,ALMA,8,0.85,4.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,4.884008,-46.4782,35,0,0.0000,ALMA/FRAMA,1,4.8840,69.1386,35
C1_2,ALMA,8,0.85,4.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,3.594962,-56.3774,44,0,0.0000,ALMA/FRAMA,1,3.5950,70.3145,44
C1_3,JMA,12,0.0,2.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,3.376072,-65.4270,42,0,0.0000,JMA/FRAMA,1,3.3761,60.7076,42
C1_4,ZLEMA,8,0.0,0.0,DEMA,49,0.0,0.0,DEMA,196,0.0,0.0,3.368473,-18.0783,30,0,0.0000,ZLEMA/DEMA,1,3.3685,55.5888,30
C1_5,JMA,10,0.0,2.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,3.345751,-56.6699,34,0,0.0000,JMA/FRAMA,1,3.3458,54.3238,34
C1_6,ZLEMA,8,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,2.798374,-22.0271,30,0,0.0000,ZLEMA/DEMA,1,2.7984,53.6454,30
C2_1,McGinley,22,0.0,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,6.904645,30.5252,35,0,0.0000,McGinley/ZLEMA,2,6.9046,74.9825,35
C2_2,SMA,24,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,5.832208,34.9260,30,0,0.0000,SMA/DEMA,2,5.8322,35.1661,30
C2_3,EMA,22,0.0,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,5.607308,19.0610,37,0,0.0000,EMA/ZLEMA,2,5.6073,61.7469,37
C2_4,McGinley,22,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,3.855680,20.0669,35,0,0.0000,McGinley/ZLEMA,2,3.8557,65.7343,35
C2_5,EMA,24,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,3.479683,-7.4910,46,0,0.0000,EMA/ZLEMA,2,3.4797,70.2143,46
