rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VWMA,24,0.0,0.0,T3,33,0.7,0.0,T3,132,0.7,0.0,209.348476,384.9169,118,118,0.0000,VWMA/T3,-1,,,
2,VIDYA,10,0.0,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,202.186271,371.7482,106,106,0.0000,VIDYA/VWMA,-1,,,
3,Tenkan,22,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,187.028474,358.4598,134,134,0.1356,Tenkan/T3,-1,,,
4,McGinley,24,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,185.129579,340.3870,98,98,0.0000,McGinley/T3,-1,,,
5,T3,16,0.8,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,184.038234,338.3804,116,116,0.0000,T3/VWMA,-1,,,
6,EMA,24,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,182.005883,334.6437,104,104,0.0000,EMA/T3,-1,,,
7,SMA,14,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,180.274630,331.4605,110,110,0.0000,SMA/T3,-1,,,
8,VIDYA,10,0.0,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,177.186742,325.7830,116,116,0.0000,VIDYA/VWMA,-1,,,
9,SMA,18,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,167.561247,308.0852,116,116,0.0000,SMA/T3,-1,,,
10,VWMA,24,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,158.261061,290.9854,110,110,0.0000,VWMA/T3,-1,,,
11,Tenkan,22,0.0,0.0,T3,33,0.8,0.0,T3,132,0.8,0.0,155.250491,315.9766,156,156,0.3220,Tenkan/T3,-1,,,
12,EMA,22,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,152.358021,280.1319,114,114,0.0000,EMA/T3,-1,,,
13,McGinley,22,0.0,0.0,T3,36,0.7,0.0,T3,144,0.7,0.0,151.220218,278.0399,106,106,0.0000,McGinley/T3,-1,,,
14,T3,14,0.7,0.0,VWMA,63,0.0,0.0,VWMA,252,0.0,0.0,121.367459,223.1513,110,110,0.0000,T3/VWMA,-1,,,
C0_1,SMA,14,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,6.895124,160.8657,30,0,0.0000,SMA/TEMA,0,6.8951,75.2610,30
C0_2,VIDYA,14,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,6.539433,201.1724,33,0,0.0000,VIDYA/KAMA,0,6.5394,139.4097,33
C0_3,SMA,14,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,5.283843,-34.4885,46,0,0.0000,SMA/ZLEMA,0,5.2838,79.0918,46
C0_4,SMA,16,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,4.182187,-17.9682,33,0,0.0000,SMA/ZLEMA,0,4.1822,61.4475,33
C0_5,SMA,12,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,3.774767,114.4036,36,0,0.0000,SMA/TEMA,0,3.7748,58.2331,36
C0_6,VIDYA,16,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,3.364778,167.3016,30,0,0.0000,VIDYA/KAMA,0,3.3648,101.4333,30
C1_1,VIDYA,10,0.0,0.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,4.614202,317.1941,36,0,0.0000,VIDYA/VWMA,1,4.6142,108.0182,36
C1_2,VIDYA,10,0.0,0.0,VWMA,63,0.0,0.0,VWMA,252,0.0,0.0,4.398515,274.2442,39,0,0.0000,VIDYA/VWMA,1,4.3985,107.9224,39
C1_3,SMA,20,0.0,0.0,T3,45,0.7,0.0,T3,180,0.7,0.0,3.957361,122.5594,30,0,0.0000,SMA/T3,1,3.9574,97.3688,30
C1_4,ALMA,24,0.85,4.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,3.882097,190.3137,42,0,0.0000,ALMA/VWMA,1,3.8821,124.5688,42
C1_5,ALMA,22,0.85,4.0,VWMA,49,0.0,0.0,VWMA,196,0.0,0.0,3.658472,156.9060,47,0,0.0000,ALMA/VWMA,1,3.6585,125.4469,47
C1_6,SMA,20,0.0,0.0,T3,48,0.7,0.0,T3,192,0.7,0.0,3.276323,134.1526,32,0,0.0000,SMA/T3,1,3.2763,84.4093,32
C2_1,T3,10,0.8,0.0,ALMA,30,0.85,4.0,ALMA,120,0.85,4.0,5.811988,32.6435,31,0,0.0000,T3/ALMA,2,5.8120,76.7204,31
C2_2,ALMA,14,0.5,6.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,5.428313,37.7907,30,0,0.0000,ALMA/KAMA,2,5.4283,91.8063,30
C2_3,T3,14,0.7,0.0,ALMA,45,0.85,4.0,ALMA,180,0.85,4.0,5.387464,150.2392,31,0,0.0000,T3/ALMA,2,5.3875,90.4347,31
C2_4,T3,12,0.7,0.0,SSmoother,33,0.0,0.0,SSmoother,132,0.0,0.0,5.267975,116.9909,32,0,0.0000,T3/SSmoother,2,5.2680,81.1445,32
C2_5,ALMA,14,0.5,6.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,4.373606,41.8293,30,0,0.0000,ALMA/KAMA,2,4.3736,81.0248,30
