rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,84.749637,847.4964,112,112,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,70.744570,707.4457,106,106,0.0000,VIDYA/KAMA,-1,,,
3,SMA,12,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,33.593129,335.9313,120,120,0.0000,SMA/KAMA,-1,,,
4,SSmoother,20,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,33.098495,349.9148,144,144,0.1803,SSmoother/KAMA,-1,,,
5,Tenkan,24,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,31.953882,456.4840,358,358,1.0000,Tenkan/FRAMA,-1,,,
6,SSmoother,24,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,31.793999,321.0983,126,126,0.0328,SSmoother/KAMA,-1,,,
7,JMA,22,0.0,2.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,31.214742,320.0167,132,132,0.0820,JMA/KAMA,-1,,,
8,ALMA,20,0.85,4.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,31.171655,311.7165,112,112,0.0000,ALMA/KAMA,-1,,,
9,SMA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,29.680964,317.0821,148,148,0.2131,SMA/KAMA,-1,,,
10,ALMA,20,0.85,4.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,29.580400,295.8040,120,120,0.0000,ALMA/KAMA,-1,,,
11,EMA,16,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,28.521526,285.2153,118,118,0.0000,EMA/KAMA,-1,,,
12,EMA,22,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,27.075751,270.7575,92,92,0.0000,EMA/KAMA,-1,,,
13,JMA,22,0.0,2.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,25.267260,259.0425,132,132,0.0820,JMA/KAMA,-1,,,
14,Tenkan,22,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,16.305115,232.9302,370,370,1.0000,Tenkan/FRAMA,-1,,,
C0_1,KAMA,10,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,9.560453,60.1753,43,0,0.0000,KAMA/TEMA,0,9.5605,136.2099,43
C0_2,VIDYA,8,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,8.337756,-49.0386,30,0,0.0000,VIDYA/TEMA,0,8.3378,103.4276,30
C0_3,Tenkan,22,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,7.124907,123.4139,51,0,0.0000,Tenkan/TEMA,0,7.1249,106.5531,51
C0_4,Tenkan,24,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,6.853289,197.2353,44,0,0.0000,Tenkan/TEMA,0,6.8533,104.2684,44
C0_5,KAMA,10,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,6.787998,-7.2996,40,0,0.0000,KAMA/TEMA,0,6.7880,132.5594,40
C0_6,VIDYA,8,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,5.198056,-42.8674,32,0,0.0000,VIDYA/TEMA,0,5.1981,81.7047,32
C1_1,VWMA,22,0.0,0.0,SMA,66,0.0,0.0,SMA,264,0.0,0.0,6.100441,81.3428,36,0,0.0000,VWMA/SMA,1,6.1004,132.8675,36
C1_2,VWMA,22,0.0,0.0,VWMA,69,0.0,0.0,VWMA,276,0.0,0.0,5.884661,130.8834,31,0,0.0000,VWMA/VWMA,1,5.8847,134.4102,31
C1_3,VIDYA,22,0.0,0.0,Tenkan,51,0.0,0.0,Tenkan,204,0.0,0.0,5.662105,-50.6375,46,0,0.0000,VIDYA/Tenkan,1,5.6621,123.8266,46
C1_4,VWMA,22,0.0,0.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,4.693390,118.5568,34,0,0.0000,VWMA/VWMA,1,4.6934,127.8596,34
C1_5,VWMA,24,0.0,0.0,SMA,63,0.0,0.0,SMA,252,0.0,0.0,4.250496,57.3527,35,0,0.0000,VWMA/SMA,1,4.2505,117.0648,35
C2_1,T3,24,0.8,0.0,ZLEMA,63,0.0,0.0,ZLEMA,252,0.0,0.0,5.371160,-56.0120,49,0,0.0000,T3/ZLEMA,2,5.3712,71.2731,49
C2_2,T3,24,0.7,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,5.355932,71.3240,30,0,0.0000,T3/KAMA,2,5.3559,75.8086,30
C2_3,VIDYA,10,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,5.353074,-30.6066,30,0,0.0000,VIDYA/ZLEMA,2,5.3531,62.4913,30
C2_4,VIDYA,10,0.0,0.0,ZLEMA,54,0.0,0.0,ZLEMA,216,0.0,0.0,5.138066,-52.2344,37,0,0.0000,VIDYA/ZLEMA,2,5.1381,63.1738,37
C2_5,T3,24,0.7,0.0,ZLEMA,60,0.0,0.0,ZLEMA,240,0.0,0.0,3.720575,-65.9337,30,0,0.0000,T3/ZLEMA,2,3.7206,43.4844,30
