rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,20,0.7,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,38.923604,396.4336,154,154,0.2126,T3/KAMA,-1,,,
2,T3,20,0.7,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,21.913637,212.4669,134,134,0.0551,T3/KAMA,-1,,,
3,ALMA,24,0.85,6.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,17.502722,238.4202,326,326,1.0000,ALMA/FRAMA,-1,,,
4,KAMA,20,0.0,0.0,EMA,48,0.0,0.0,EMA,192,0.0,0.0,16.325180,155.6659,91,91,0.0000,KAMA/EMA,-1,,,
5,T3,24,0.8,0.0,Tenkan,72,0.0,0.0,Tenkan,288,0.0,0.0,15.431354,156.7715,153,153,0.2047,T3/Tenkan,-1,,,
6,EMA,20,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,13.894407,177.8641,235,235,0.8504,EMA/FRAMA,-1,,,
7,ALMA,14,0.5,6.0,SMA,33,0.0,0.0,SMA,132,0.0,0.0,13.423103,170.7479,233,233,0.8346,ALMA/SMA,-1,,,
8,T3,24,0.8,0.0,Tenkan,75,0.0,0.0,Tenkan,300,0.0,0.0,13.217055,131.6256,145,145,0.1417,T3/Tenkan,-1,,,
9,VIDYA,18,0.0,0.0,SMA,54,0.0,0.0,SMA,216,0.0,0.0,13.050307,124.4389,109,109,0.0000,VIDYA/SMA,-1,,,
10,KAMA,20,0.0,0.0,EMA,45,0.0,0.0,EMA,180,0.0,0.0,12.959921,123.5771,109,109,0.0000,KAMA/EMA,-1,,,
11,ALMA,22,0.5,4.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,11.881671,161.8509,341,341,1.0000,ALMA/FRAMA,-1,,,
12,ALMA,12,0.5,6.0,SMA,45,0.0,0.0,SMA,180,0.0,0.0,11.725558,132.4580,193,193,0.5197,ALMA/SMA,-1,,,
13,VIDYA,20,0.0,0.0,SMA,63,0.0,0.0,SMA,252,0.0,0.0,10.002561,95.3777,95,95,0.0000,VIDYA/SMA,-1,,,
14,EMA,22,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,8.386695,103.4234,223,223,0.7559,EMA/FRAMA,-1,,,
C0_1,VIDYA,16,0.0,0.0,McGinley,57,0.0,0.0,McGinley,228,0.0,0.0,4.184207,-29.7070,30,0,0.0000,VIDYA/McGinley,0,4.1842,102.0789,30
C0_2,T3,22,0.8,0.0,ALMA,66,0.5,4.0,ALMA,264,0.5,4.0,4.118354,16.5756,36,0,0.0000,T3/ALMA,0,4.1184,123.4138,36
C0_3,T3,24,0.7,0.0,SMA,60,0.0,0.0,SMA,240,0.0,0.0,3.498499,-18.4480,31,0,0.0000,T3/SMA,0,3.4985,105.8758,31
C0_4,T3,22,0.8,0.0,ALMA,69,0.5,4.0,ALMA,276,0.5,4.0,3.477454,-2.0195,33,0,0.0000,T3/ALMA,0,3.4775,103.4143,33
C0_5,T3,22,0.8,0.0,SMA,54,0.0,0.0,SMA,216,0.0,0.0,3.322203,21.6726,36,0,0.0000,T3/SMA,0,3.3222,121.1940,36
C0_6,VIDYA,16,0.0,0.0,McGinley,45,0.0,0.0,McGinley,180,0.0,0.0,3.295530,-6.8819,30,0,0.0000,VIDYA/McGinley,0,3.2955,77.5182,30
C1_1,VWMA,18,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,6.515927,-47.7889,34,0,0.0000,VWMA/TEMA,1,6.5159,50.8427,34
C1_2,KAMA,18,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,5.448416,-4.4602,36,0,0.0000,KAMA/FRAMA,1,5.4484,84.8304,36
C1_3,VWMA,18,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,4.933287,-53.7934,38,0,0.0000,VWMA/TEMA,1,4.9333,54.6123,38
C1_4,KAMA,20,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,4.670955,-55.3355,33,0,0.0000,KAMA/FRAMA,1,4.6710,69.0435,33
C1_5,T3,14,0.7,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,3.998923,-60.8429,31,0,0.0000,T3/TEMA,1,3.9989,40.9797,31
C1_6,T3,16,0.8,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,2.719754,-28.1809,34,0,0.0000,T3/TEMA,1,2.7198,36.2565,34
C2_1,EMA,18,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,4.469671,105.5086,31,0,0.0000,EMA/TEMA,2,4.4697,191.9304,31
C2_2,McGinley,16,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,3.808947,42.9597,32,0,0.0000,McGinley/TEMA,2,3.8089,127.5950,32
C2_3,McGinley,14,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,3.756519,2.6512,31,0,0.0000,McGinley/DEMA,2,3.7565,122.5578,31
C2_4,EMA,16,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,3.621070,15.6163,34,0,0.0000,EMA/TEMA,2,3.6211,151.2734,34
C2_5,McGinley,12,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,3.105543,66.9568,39,0,0.0000,McGinley/DEMA,2,3.1055,139.4073,39
C2_6,McGinley,14,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,3.018973,-25.5154,33,0,0.0000,McGinley/TEMA,2,3.0190,116.4132,33
