rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,64.238245,642.3825,100,100,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,50.873371,508.7337,124,124,0.0000,VIDYA/KAMA,-1,,,
3,Tenkan,24,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,29.292552,418.4650,363,363,1.0000,Tenkan/FRAMA,-1,,,
4,KAMA,20,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,25.937966,259.3797,120,120,0.0000,KAMA/KAMA,-1,,,
5,Tenkan,22,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,25.307705,361.5386,364,364,1.0000,Tenkan/FRAMA,-1,,,
6,T3,24,0.8,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,20.763810,207.6381,110,110,0.0000,T3/KAMA,-1,,,
7,EMA,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,20.230199,202.3020,136,136,0.0000,EMA/KAMA,-1,,,
8,FRAMA,18,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,18.898994,188.9899,84,84,0.0000,FRAMA/KAMA,-1,,,
9,SMA,20,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,18.551762,189.6402,148,148,0.0725,SMA/KAMA,-1,,,
10,KAMA,16,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,18.439536,184.3954,106,106,0.0000,KAMA/KAMA,-1,,,
11,EMA,16,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,16.550837,165.5084,118,118,0.0000,EMA/KAMA,-1,,,
12,T3,22,0.7,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,16.331702,163.3170,106,106,0.0000,T3/KAMA,-1,,,
13,FRAMA,16,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,14.899412,148.9941,110,110,0.0000,FRAMA/KAMA,-1,,,
14,SMA,22,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,12.592525,125.9252,114,114,0.0000,SMA/KAMA,-1,,,
C0_1,Tenkan,20,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,7.220082,363.7519,44,0,0.0000,Tenkan/FRAMA,0,7.2201,112.9954,44
C0_2,Tenkan,22,0.0,0.0,VWMA,33,0.0,0.0,VWMA,132,0.0,0.0,5.904096,-24.7604,41,0,0.0000,Tenkan/VWMA,0,5.9041,99.1387,41
C0_3,Tenkan,22,0.0,0.0,SMA,33,0.0,0.0,SMA,132,0.0,0.0,5.233365,15.5661,32,0,0.0000,Tenkan/SMA,0,5.2334,64.1600,32
C0_4,Tenkan,20,0.0,0.0,SMA,39,0.0,0.0,SMA,156,0.0,0.0,4.516862,98.4751,31,0,0.0000,Tenkan/SMA,0,4.5169,59.7570,31
C0_5,Tenkan,24,0.0,0.0,VWMA,36,0.0,0.0,VWMA,144,0.0,0.0,4.106490,-2.1089,37,0,0.0000,Tenkan/VWMA,0,4.1065,76.3455,37
C1_1,KAMA,22,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,7.981875,2.5611,34,0,0.0000,KAMA/DEMA,1,7.9819,97.3946,34
C1_2,VWMA,24,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,4.875221,30.1491,43,0,0.0000,VWMA/DEMA,1,4.8752,60.4969,43
C1_3,VIDYA,14,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,4.864382,42.1347,31,0,0.0000,VIDYA/ZLEMA,1,4.8644,67.3246,31
C1_4,KAMA,22,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,4.233429,-33.2119,30,0,0.0000,KAMA/DEMA,1,4.2334,56.9169,30
C1_5,VIDYA,12,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,3.297219,73.5322,36,0,0.0000,VIDYA/ZLEMA,1,3.2972,68.2529,36
C2_1,VIDYA,12,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,2.745285,369.3224,45,0,0.0000,VIDYA/KAMA,2,2.7453,76.0173,45
C2_2,KAMA,20,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,2.568888,259.3797,43,0,0.0000,KAMA/KAMA,2,2.5689,75.8641,43
C2_3,ALMA,24,0.5,6.0,VIDYA,39,0.0,0.0,VIDYA,156,0.0,0.0,2.440691,32.6467,36,0,0.0000,ALMA/VIDYA,2,2.4407,66.1017,36
C2_4,ALMA,22,0.5,6.0,VIDYA,36,0.0,0.0,VIDYA,144,0.0,0.0,2.305970,5.9943,37,0,0.0000,ALMA/VIDYA,2,2.3060,64.1549,37
C2_5,VIDYA,12,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,2.104266,366.8611,38,0,0.0000,VIDYA/KAMA,2,2.1043,54.5035,38
C2_6,KAMA,18,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,2.043457,142.1638,54,0,0.0000,KAMA/KAMA,2,2.0435,76.6845,54
