rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,18,0.8,0.0,SSmoother,51,0.0,0.0,SSmoother,204,0.0,0.0,16.794409,167.9441,108,108,0.0000,T3/SSmoother,-1,,,
2,T3,16,0.8,0.0,EMA,72,0.0,0.0,EMA,288,0.0,0.0,16.442596,164.4260,86,86,0.0000,T3/EMA,-1,,,
3,T3,16,0.7,0.0,SSmoother,45,0.0,0.0,SSmoother,180,0.0,0.0,16.319675,166.4296,148,148,0.0647,T3/SSmoother,-1,,,
4,T3,18,0.7,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,16.085398,215.8176,257,257,0.8489,T3/FRAMA,-1,,,
5,T3,16,0.8,0.0,JMA,45,0.0,2.0,JMA,180,0.0,2.0,15.947282,159.4728,128,128,0.0000,T3/JMA,-1,,,
6,ALMA,24,0.5,6.0,SMA,63,0.0,0.0,SMA,252,0.0,0.0,15.268200,152.6820,130,130,0.0000,ALMA/SMA,-1,,,
7,ALMA,24,0.5,6.0,SSmoother,75,0.0,0.0,SSmoother,300,0.0,0.0,15.193086,178.0640,207,207,0.4892,ALMA/SSmoother,-1,,,
8,ALMA,24,0.5,4.0,SSmoother,72,0.0,0.0,SSmoother,288,0.0,0.0,15.060796,159.5618,165,165,0.1871,ALMA/SSmoother,-1,,,
9,T3,18,0.8,0.0,JMA,49,0.0,2.0,JMA,196,0.0,2.0,14.880102,148.8010,132,132,0.0000,T3/JMA,-1,,,
10,SMA,24,0.0,0.0,McGinley,54,0.0,0.0,McGinley,216,0.0,0.0,14.766912,147.6691,72,72,0.0000,SMA/McGinley,-1,,,
11,ALMA,22,0.5,6.0,SMA,45,0.0,0.0,SMA,180,0.0,0.0,14.486511,159.6848,182,182,0.3094,ALMA/SMA,-1,,,
12,SMA,22,0.0,0.0,McGinley,57,0.0,0.0,McGinley,228,0.0,0.0,14.323265,143.2326,74,74,0.0000,SMA/McGinley,-1,,,
13,T3,16,0.8,0.0,EMA,69,0.0,0.0,EMA,276,0.0,0.0,14.210977,142.1098,88,88,0.0000,T3/EMA,-1,,,
14,T3,18,0.8,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,13.421923,174.0343,245,245,0.7626,T3/FRAMA,-1,,,
C0_1,McGinley,16,0.0,0.0,HMA,42,0.0,0.0,HMA,168,0.0,0.0,7.266073,-9.7589,30,0,0.0000,McGinley/HMA,0,7.2661,69.1591,30
C0_2,ALMA,20,0.5,6.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,6.370665,73.5599,47,0,0.0000,ALMA/ZLEMA,0,6.3707,57.3828,47
C0_3,T3,18,0.7,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,5.774248,17.6794,30,0,0.0000,T3/TEMA,0,5.7742,46.5162,30
C0_4,T3,20,0.7,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,5.611002,18.8427,32,0,0.0000,T3/TEMA,0,5.6110,47.6201,32
C0_5,McGinley,16,0.0,0.0,HMA,45,0.0,0.0,HMA,180,0.0,0.0,5.597346,-35.1659,32,0,0.0000,McGinley/HMA,0,5.5973,60.2629,32
C0_6,ALMA,20,0.5,6.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,5.238287,40.6350,46,0,0.0000,ALMA/ZLEMA,0,5.2383,49.1406,46
C1_1,ALMA,16,0.5,4.0,HMA,42,0.0,0.0,HMA,168,0.0,0.0,4.208598,-40.8591,43,0,0.0000,ALMA/HMA,1,4.2086,49.2357,43
C1_2,T3,12,0.7,0.0,HMA,45,0.0,0.0,HMA,180,0.0,0.0,4.122920,-45.0181,39,0,0.0000,T3/HMA,1,4.1229,43.6587,39
C1_3,ALMA,20,0.5,6.0,HMA,48,0.0,0.0,HMA,192,0.0,0.0,4.106559,22.1584,46,0,0.0000,ALMA/HMA,1,4.1066,50.8003,46
C1_4,VIDYA,24,0.0,0.0,Tenkan,60,0.0,0.0,Tenkan,240,0.0,0.0,3.832156,-19.2155,37,0,0.0000,VIDYA/Tenkan,1,3.8322,62.7403,37
C1_5,T3,14,0.7,0.0,HMA,54,0.0,0.0,HMA,216,0.0,0.0,3.692138,-24.3844,33,0,0.0000,T3/HMA,1,3.6921,41.8915,33
C1_6,VIDYA,24,0.0,0.0,Tenkan,54,0.0,0.0,Tenkan,216,0.0,0.0,3.173245,-22.8758,31,0,0.0000,VIDYA/Tenkan,1,3.1732,45.6817,31
C2_1,T3,16,0.8,0.0,SSmoother,63,0.0,0.0,SSmoother,252,0.0,0.0,3.935145,110.1730,57,0,0.0000,T3/SSmoother,2,3.9351,96.7169,57
C2_2,T3,18,0.7,0.0,ALMA,51,0.5,6.0,ALMA,204,0.5,6.0,3.604117,98.1146,57,0,0.0000,T3/ALMA,2,3.6041,102.5765,57
C2_3,T3,16,0.7,0.0,ALMA,54,0.5,6.0,ALMA,216,0.5,6.0,3.573064,78.6925,58,0,0.0000,T3/ALMA,2,3.5731,104.2906,58
C2_4,FRAMA,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,3.569077,77.5866,38,0,0.0000,FRAMA/KAMA,2,3.5691,91.8944,38
C2_5,T3,16,0.7,0.0,SSmoother,66,0.0,0.0,SSmoother,264,0.0,0.0,3.404652,108.3181,58,0,0.0000,T3/SSmoother,2,3.4047,90.6770,58
