rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,5.620594,56.2059,108,108,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,16,0.0,0.0,KAMA,69,0.0,0.0,KAMA,276,0.0,0.0,4.239425,42.3942,82,82,0.0000,VIDYA/KAMA,-1,,,
3,EMA,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,4.192425,41.9243,136,136,0.0000,EMA/KAMA,-1,,,
4,McGinley,22,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,4.123764,41.2376,134,134,0.0000,McGinley/KAMA,-1,,,
5,Tenkan,24,0.0,0.0,JMA,49,0.0,2.0,JMA,196,0.0,2.0,4.028393,57.5485,383,383,1.0000,Tenkan/JMA,-1,,,
6,EMA,16,0.0,0.0,JMA,33,0.0,2.0,JMA,132,0.0,2.0,3.724312,53.2045,309,309,1.0000,EMA/JMA,-1,,,
7,McGinley,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,3.722008,37.2201,128,128,0.0000,McGinley/KAMA,-1,,,
8,EMA,14,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,3.652390,36.5239,95,95,0.0000,EMA/TEMA,-1,,,
9,EMA,24,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,3.616255,36.9662,148,148,0.0725,EMA/KAMA,-1,,,
10,EMA,18,0.0,0.0,JMA,36,0.0,2.0,JMA,144,0.0,2.0,3.464304,49.4901,285,285,1.0000,EMA/JMA,-1,,,
11,Tenkan,24,0.0,0.0,ZLEMA,54,0.0,0.0,ZLEMA,216,0.0,0.0,3.452718,49.3245,280,280,1.0000,Tenkan/ZLEMA,-1,,,
12,Tenkan,24,0.0,0.0,JMA,45,0.0,2.0,JMA,180,0.0,2.0,3.144766,44.9252,371,371,1.0000,Tenkan/JMA,-1,,,
13,EMA,18,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,2.832161,28.3216,81,81,0.0000,EMA/TEMA,-1,,,
14,Tenkan,24,0.0,0.0,ZLEMA,57,0.0,0.0,ZLEMA,228,0.0,0.0,2.671218,38.1603,297,297,1.0000,Tenkan/ZLEMA,-1,,,
C0_1,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,2.577954,56.2059,34,0,0.0000,VIDYA/KAMA,0,2.5780,20.8142,34
C0_2,VIDYA,16,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,2.574014,38.7852,30,0,0.0000,VIDYA/KAMA,0,2.5740,20.0814,30
C0_3,Tenkan,20,0.0,0.0,T3,33,0.8,0.0,T3,132,0.8,0.0,2.507742,18.2048,40,0,0.0000,Tenkan/T3,0,2.5077,25.5439,40
C0_4,SMA,14,0.0,0.0,ALMA,72,0.5,6.0,ALMA,288,0.5,6.0,2.479966,2.8270,37,0,0.0000,SMA/ALMA,0,2.4800,22.6573,37
C0_5,Tenkan,24,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,2.425811,8.6120,44,0,0.0000,Tenkan/T3,0,2.4258,26.1066,44
C0_6,SMA,12,0.0,0.0,ALMA,75,0.5,6.0,ALMA,300,0.5,6.0,2.120924,-2.7552,40,0,0.0000,SMA/ALMA,0,2.1209,19.6480,40
C1_1,VWMA,22,0.0,0.0,ZLEMA,60,0.0,0.0,ZLEMA,240,0.0,0.0,3.825126,8.6288,35,0,0.0000,VWMA/ZLEMA,1,3.8251,18.6324,35
C1_2,VWMA,16,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,3.688287,-8.4290,36,0,0.0000,VWMA/TEMA,1,3.6883,17.5297,36
C1_3,VWMA,24,0.0,0.0,ZLEMA,63,0.0,0.0,ZLEMA,252,0.0,0.0,3.527584,6.2226,34,0,0.0000,VWMA/ZLEMA,1,3.5276,20.3482,34
C1_4,VWMA,20,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,3.328955,9.9624,42,0,0.0000,VWMA/TEMA,1,3.3290,18.8829,42
C1_5,SMA,16,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,3.328199,1.1595,35,0,0.0000,SMA/TEMA,1,3.3282,20.1678,35
C1_6,SMA,18,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,2.372354,12.2019,39,0,0.0000,SMA/TEMA,1,2.3724,16.7706,39
C2_1,VWMA,24,0.0,0.0,HMA,54,0.0,0.0,HMA,216,0.0,0.0,5.754286,19.3304,46,0,0.0000,VWMA/HMA,2,5.7543,28.0046,46
C2_2,EMA,24,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,5.588379,-11.4675,34,0,0.0000,EMA/ZLEMA,2,5.5884,15.2142,34
C2_3,VWMA,24,0.0,0.0,HMA,51,0.0,0.0,HMA,204,0.0,0.0,5.229931,7.9993,47,0,0.0000,VWMA/HMA,2,5.2299,28.4324,47
C2_4,McGinley,22,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,4.434831,-6.5658,36,0,0.0000,McGinley/ZLEMA,2,4.4348,16.3574,36
C2_5,EMA,18,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,3.839781,-7.8681,36,0,0.0000,EMA/ZLEMA,2,3.8398,12.9549,36
C2_6,McGinley,14,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,3.155199,-8.4236,38,0,0.0000,McGinley/ZLEMA,2,3.1552,15.4233,38
