rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,48.113031,481.1303,78,78,0.0000,VIDYA/KAMA,-1,,,
2,McGinley,24,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,44.614282,446.1428,106,106,0.0000,McGinley/TEMA,-1,,,
3,VIDYA,14,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,42.222611,422.2261,101,101,0.0000,VIDYA/KAMA,-1,,,
4,Tenkan,24,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,42.178954,602.5565,335,335,1.0000,Tenkan/DEMA,-1,,,
5,Tenkan,24,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,41.061486,586.5927,319,319,1.0000,Tenkan/DEMA,-1,,,
6,FRAMA,22,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,35.669279,424.7026,227,227,0.5338,FRAMA/TEMA,-1,,,
7,McGinley,18,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,35.517943,355.1794,114,114,0.0000,McGinley/TEMA,-1,,,
8,KAMA,14,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,33.372714,353.0494,175,175,0.1824,KAMA/DEMA,-1,,,
9,Tenkan,24,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,32.627792,454.2722,287,287,0.9392,Tenkan/TEMA,-1,,,
10,Tenkan,24,0.0,0.0,ZLEMA,66,0.0,0.0,ZLEMA,264,0.0,0.0,31.260012,446.5716,348,348,1.0000,Tenkan/ZLEMA,-1,,,
11,KAMA,14,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,31.038783,331.1997,179,179,0.2095,KAMA/DEMA,-1,,,
12,Tenkan,24,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,30.601186,437.1598,305,305,1.0000,Tenkan/TEMA,-1,,,
13,FRAMA,22,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,27.924153,337.3694,233,233,0.5743,FRAMA/TEMA,-1,,,
14,Tenkan,24,0.0,0.0,ZLEMA,49,0.0,0.0,ZLEMA,196,0.0,0.0,24.380314,347.2845,295,295,0.9932,Tenkan/ZLEMA,-1,,,
C0_1,Tenkan,20,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,3.871899,-4.5975,34,0,0.0000,Tenkan/KAMA,0,3.8719,72.8538,34
C0_2,VIDYA,14,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,3.727655,40.8801,31,0,0.0000,VIDYA/FRAMA,0,3.7277,55.5793,31
C0_3,SMA,14,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,3.709509,-19.2175,30,0,0.0000,SMA/TEMA,0,3.7095,58.5290,30
C0_4,Tenkan,20,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,2.894308,-32.1920,30,0,0.0000,Tenkan/KAMA,0,2.8943,60.3364,30
C0_5,SMA,24,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,2.663591,207.0293,34,0,0.0000,SMA/TEMA,0,2.6636,60.4706,34
C1_1,VIDYA,24,0.0,0.0,EMA,48,0.0,0.0,EMA,192,0.0,0.0,21.376419,-22.6430,32,0,0.0000,VIDYA/EMA,1,21.3764,126.3764,32
C1_2,VIDYA,24,0.0,0.0,EMA,51,0.0,0.0,EMA,204,0.0,0.0,13.803566,-17.5952,32,0,0.0000,VIDYA/EMA,1,13.8036,115.1729,32
C1_3,VIDYA,24,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,5.405202,145.2745,47,0,0.0000,VIDYA/FRAMA,1,5.4052,134.2673,47
C1_4,VIDYA,18,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,5.131667,76.8456,30,0,0.0000,VIDYA/KAMA,1,5.1317,97.7381,30
C1_5,VIDYA,22,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,4.613221,182.6228,46,0,0.0000,VIDYA/FRAMA,1,4.6132,138.5398,46
