rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,69.539827,695.3983,117,117,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,14,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,69.244460,692.4446,111,111,0.0000,VIDYA/KAMA,-1,,,
3,McGinley,24,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,35.412855,354.1286,117,117,0.0000,McGinley/KAMA,-1,,,
4,T3,18,0.7,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,34.328412,490.4059,303,303,1.0000,T3/FRAMA,-1,,,
5,McGinley,24,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,31.151569,311.5157,93,93,0.0000,McGinley/KAMA,-1,,,
6,KAMA,12,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,30.325204,383.6491,231,231,0.6985,KAMA/FRAMA,-1,,,
7,KAMA,12,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,30.083629,362.3892,213,213,0.5662,KAMA/FRAMA,-1,,,
8,T3,22,0.7,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,26.852326,268.5233,88,88,0.0000,T3/KAMA,-1,,,
9,McGinley,24,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,26.727440,321.1071,212,212,0.5588,McGinley/FRAMA,-1,,,
10,EMA,24,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,26.650739,266.5074,101,101,0.0000,EMA/KAMA,-1,,,
11,T3,16,0.7,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,24.862259,355.1751,289,289,1.0000,T3/FRAMA,-1,,,
12,T3,22,0.7,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,24.403378,244.0338,100,100,0.0000,T3/KAMA,-1,,,
13,EMA,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,22.790425,227.9042,115,115,0.0000,EMA/KAMA,-1,,,
14,McGinley,18,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,21.067207,279.7988,248,248,0.8235,McGinley/FRAMA,-1,,,
C0_1,VIDYA,8,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,6.927202,26.1493,42,0,0.0000,VIDYA/ZLEMA,0,6.9272,101.2685,42
C0_2,SMA,20,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,5.888366,-10.1347,31,0,0.0000,SMA/TEMA,0,5.8884,57.9153,31
C0_3,ALMA,24,0.5,6.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,5.885373,27.9334,35,0,0.0000,ALMA/TEMA,0,5.8854,68.1167,35
C0_4,ALMA,22,0.5,6.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,5.086744,33.9059,35,0,0.0000,ALMA/TEMA,0,5.0867,64.9763,35
C0_5,SMA,20,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,4.519628,-9.7200,30,0,0.0000,SMA/TEMA,0,4.5196,40.6496,30
C1_1,Tenkan,22,0.0,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,3.972238,169.1123,40,0,0.0000,Tenkan/VWMA,1,3.9722,92.4766,40
C1_2,VIDYA,12,0.0,0.0,SMA,54,0.0,0.0,SMA,216,0.0,0.0,3.930621,109.2320,34,0,0.0000,VIDYA/SMA,1,3.9306,66.1620,34
C1_3,VIDYA,14,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,3.781603,692.4446,40,0,0.0000,VIDYA/KAMA,1,3.7816,110.1768,40
C1_4,VIDYA,12,0.0,0.0,SMA,57,0.0,0.0,SMA,228,0.0,0.0,3.631161,108.5669,34,0,0.0000,VIDYA/SMA,1,3.6312,61.8079,34
C1_5,VIDYA,18,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,3.570362,83.6370,32,0,0.0000,VIDYA/KAMA,1,3.5704,93.1148,32
C2_1,KAMA,10,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,4.287631,157.0785,31,0,0.0000,KAMA/VWMA,2,4.2876,91.9746,31
C2_2,KAMA,12,0.0,0.0,Tenkan,54,0.0,0.0,Tenkan,216,0.0,0.0,3.860044,149.3765,34,0,0.0000,KAMA/Tenkan,2,3.8600,77.2772,34
C2_3,T3,22,0.7,0.0,SMA,57,0.0,0.0,SMA,228,0.0,0.0,3.700833,157.3646,30,0,0.0000,T3/SMA,2,3.7008,74.7240,30
C2_4,T3,22,0.7,0.0,SMA,60,0.0,0.0,SMA,240,0.0,0.0,3.109737,81.3063,30,0,0.0000,T3/SMA,2,3.1097,70.1273,30
