rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,McGinley,12,0.0,0.0,DEMA,69,0.0,0.0,DEMA,276,0.0,0.0,38.055656,391.2264,120,120,0.0909,McGinley/DEMA,-1,,,
2,VIDYA,10,0.0,0.0,VWMA,63,0.0,0.0,VWMA,252,0.0,0.0,37.244298,372.4430,98,98,0.0000,VIDYA/VWMA,-1,,,
3,McGinley,20,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,35.208730,352.0873,110,110,0.0000,McGinley/T3,-1,,,
4,FRAMA,24,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,34.375303,357.3992,124,124,0.1273,FRAMA/T3,-1,,,
5,KAMA,14,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,34.317361,343.1736,106,106,0.0000,KAMA/T3,-1,,,
6,McGinley,12,0.0,0.0,DEMA,72,0.0,0.0,DEMA,288,0.0,0.0,34.066307,356.2066,126,126,0.1455,McGinley/DEMA,-1,,,
7,EMA,20,0.0,0.0,T3,36,0.7,0.0,T3,144,0.7,0.0,33.027396,337.6407,118,118,0.0727,EMA/T3,-1,,,
8,ALMA,18,0.5,4.0,DEMA,72,0.0,0.0,DEMA,288,0.0,0.0,32.267082,361.0762,149,149,0.3545,ALMA/DEMA,-1,,,
9,ALMA,18,0.5,4.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,30.537019,341.7164,149,149,0.3545,ALMA/DEMA,-1,,,
10,VIDYA,10,0.0,0.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,29.938320,299.3832,98,98,0.0000,VIDYA/VWMA,-1,,,
11,EMA,24,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,29.467466,294.6747,104,104,0.0000,EMA/T3,-1,,,
12,McGinley,18,0.0,0.0,T3,36,0.7,0.0,T3,144,0.7,0.0,29.424021,300.8032,118,118,0.0727,McGinley/T3,-1,,,
13,FRAMA,16,0.0,0.0,T3,42,0.8,0.0,T3,168,0.8,0.0,27.488331,274.8833,110,110,0.0000,FRAMA/T3,-1,,,
14,KAMA,16,0.0,0.0,T3,36,0.7,0.0,T3,144,0.7,0.0,23.033916,231.6024,112,112,0.0182,KAMA/T3,-1,,,
C0_1,ALMA,18,0.5,4.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,9.104342,-63.8271,55,0,0.0000,ALMA/TEMA,0,9.1043,162.4820,55
