rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,41.412513,437.3471,133,133,0.1770,VIDYA/KAMA,-1,,,
2,VIDYA,16,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,30.526812,305.2681,103,103,0.0000,VIDYA/KAMA,-1,,,
3,EMA,8,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,15.837490,226.2499,366,366,1.0000,EMA/FRAMA,-1,,,
4,EMA,8,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,15.782204,225.4601,377,377,1.0000,EMA/FRAMA,-1,,,
5,McGinley,16,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,15.355307,219.3615,273,273,1.0000,McGinley/FRAMA,-1,,,
6,McGinley,22,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,15.248126,201.7609,205,205,0.8142,McGinley/FRAMA,-1,,,
7,FRAMA,24,0.0,0.0,ALMA,51,0.85,6.0,ALMA,204,0.85,6.0,13.143337,187.7620,241,241,1.0000,FRAMA/ALMA,-1,,,
8,FRAMA,24,0.0,0.0,ALMA,39,0.85,4.0,ALMA,156,0.85,4.0,12.563564,179.4795,233,233,1.0000,FRAMA/ALMA,-1,,,
9,ALMA,14,0.85,6.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,11.891362,169.8766,460,460,1.0000,ALMA/FRAMA,-1,,,
10,ALMA,20,0.85,4.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,11.834000,169.0571,359,359,1.0000,ALMA/FRAMA,-1,,,
11,FRAMA,22,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,11.774262,168.2037,342,342,1.0000,FRAMA/FRAMA,-1,,,
12,EMA,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,11.490210,117.0779,120,120,0.0619,EMA/KAMA,-1,,,
13,EMA,24,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,9.296086,93.7072,116,116,0.0265,EMA/KAMA,-1,,,
14,FRAMA,20,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,7.951524,113.5932,314,314,1.0000,FRAMA/FRAMA,-1,,,
C0_1,McGinley,16,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,8.584735,156.3437,35,0,0.0000,McGinley/FRAMA,0,8.5847,66.7892,35
C0_2,McGinley,16,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,5.734771,176.8583,39,0,0.0000,McGinley/FRAMA,0,5.7348,65.8329,39
C0_3,ALMA,22,0.85,4.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,5.289674,112.2634,39,0,0.0000,ALMA/HMA,0,5.2897,63.3101,39
C0_4,SSmoother,24,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,4.626822,28.1178,35,0,0.0000,SSmoother/HMA,0,4.6268,67.1972,35
C0_5,ALMA,24,0.85,4.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,3.851455,50.6879,32,0,0.0000,ALMA/HMA,0,3.8515,50.3255,32
C0_6,SSmoother,24,0.0,0.0,HMA,39,0.0,0.0,HMA,156,0.0,0.0,3.600421,9.9852,31,0,0.0000,SSmoother/HMA,0,3.6004,59.1943,31
C1_1,Tenkan,24,0.0,0.0,T3,42,0.8,0.0,T3,168,0.8,0.0,3.862738,46.4692,40,0,0.0000,Tenkan/T3,1,3.8627,79.6182,40
C1_2,KAMA,20,0.0,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,3.329921,84.7257,34,0,0.0000,KAMA/VWMA,1,3.3299,52.6305,34
C1_3,VWMA,22,0.0,0.0,Tenkan,66,0.0,0.0,Tenkan,264,0.0,0.0,2.995325,33.7975,30,0,0.0000,VWMA/Tenkan,1,2.9953,49.5172,30
C1_4,KAMA,24,0.0,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,2.944459,-12.6820,37,0,0.0000,KAMA/VWMA,1,2.9445,58.3006,37
C1_5,VWMA,22,0.0,0.0,Tenkan,63,0.0,0.0,Tenkan,252,0.0,0.0,2.809825,13.0089,35,0,0.0000,VWMA/Tenkan,1,2.8098,47.0798,35
C1_6,Tenkan,24,0.0,0.0,T3,45,0.8,0.0,T3,180,0.8,0.0,2.583857,58.3193,36,0,0.0000,Tenkan/T3,1,2.5839,54.6548,36
C2_1,SMA,22,0.0,0.0,DEMA,72,0.0,0.0,DEMA,288,0.0,0.0,3.419288,-14.1435,44,0,0.0000,SMA/DEMA,2,3.4193,73.4241,44
C2_2,McGinley,22,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,3.417211,99.3235,43,0,0.0000,McGinley/EMA,2,3.4172,94.0723,43
C2_3,SMA,22,0.0,0.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,3.332857,-2.5794,37,0,0.0000,SMA/DEMA,2,3.3329,57.4095,37
C2_4,VIDYA,18,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,3.276069,135.6484,34,0,0.0000,VIDYA/KAMA,2,3.2761,66.2619,34
C2_5,McGinley,24,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,3.193555,85.7765,40,0,0.0000,McGinley/EMA,2,3.1936,81.1840,40
C2_6,VIDYA,18,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,3.073468,136.7100,30,0,0.0000,VIDYA/KAMA,2,3.0735,58.5500,30
