rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,18.996483,189.9648,81,81,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,18.372928,183.7293,107,107,0.0000,VIDYA/KAMA,-1,,,
3,FRAMA,22,0.0,0.0,SSmoother,49,0.0,0.0,SSmoother,196,0.0,0.0,16.298268,199.5706,203,203,0.6111,FRAMA/SSmoother,-1,,,
4,EMA,14,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,13.973291,139.7329,112,112,0.0000,EMA/KAMA,-1,,,
5,EMA,24,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,13.665281,136.6528,88,88,0.0000,EMA/KAMA,-1,,,
6,McGinley,10,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,13.547696,136.7796,130,130,0.0317,McGinley/KAMA,-1,,,
7,McGinley,22,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,13.428290,134.2829,104,104,0.0000,McGinley/EMA,-1,,,
8,McGinley,10,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,12.562846,128.0678,134,134,0.0635,McGinley/KAMA,-1,,,
9,McGinley,24,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,12.478320,124.7832,88,88,0.0000,McGinley/EMA,-1,,,
10,KAMA,24,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,11.877552,118.7755,68,68,0.0000,KAMA/KAMA,-1,,,
11,FRAMA,20,0.0,0.0,JMA,36,0.0,2.0,JMA,144,0.0,2.0,11.743197,167.7600,296,296,1.0000,FRAMA/JMA,-1,,,
12,KAMA,24,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,11.448706,114.4871,66,66,0.0000,KAMA/KAMA,-1,,,
13,FRAMA,24,0.0,0.0,SSmoother,54,0.0,0.0,SSmoother,216,0.0,0.0,9.811435,116.0790,191,191,0.5159,FRAMA/SSmoother,-1,,,
14,FRAMA,20,0.0,0.0,JMA,39,0.0,2.0,JMA,156,0.0,2.0,9.659581,137.9940,271,271,1.0000,FRAMA/JMA,-1,,,
C0_1,FRAMA,18,0.0,0.0,HMA,30,0.0,0.0,HMA,120,0.0,0.0,4.844678,5.6018,52,0,0.0000,FRAMA/HMA,0,4.8447,95.1629,52
C0_2,FRAMA,20,0.0,0.0,ALMA,30,0.85,4.0,ALMA,120,0.85,4.0,4.576816,43.5104,48,0,0.0000,FRAMA/ALMA,0,4.5768,71.9851,48
C0_3,T3,16,0.7,0.0,ZLEMA,57,0.0,0.0,ZLEMA,228,0.0,0.0,4.455877,-26.7762,30,0,0.0000,T3/ZLEMA,0,4.4559,27.6433,30
C0_4,FRAMA,18,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,4.405515,1.6990,55,0,0.0000,FRAMA/HMA,0,4.4055,90.7766,55
C0_5,FRAMA,20,0.0,0.0,ALMA,36,0.85,6.0,ALMA,144,0.85,6.0,4.251086,51.6055,46,0,0.0000,FRAMA/ALMA,0,4.2511,73.8243,46
C1_1,ALMA,18,0.5,4.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,8.166326,3.8164,47,0,0.0000,ALMA/ZLEMA,1,8.1663,51.9403,47
C1_2,SMA,14,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,5.161239,-8.3270,39,0,0.0000,SMA/ZLEMA,1,5.1612,51.1282,39
C1_3,VIDYA,12,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,4.944295,-31.3593,36,0,0.0000,VIDYA/ALMA,1,4.9443,53.3092,36
C1_4,ALMA,24,0.85,4.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,4.168454,-18.4306,55,0,0.0000,ALMA/ZLEMA,1,4.1685,64.5156,55
C1_5,SMA,20,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,3.429363,-23.5258,50,0,0.0000,SMA/ZLEMA,1,3.4294,53.8724,50
C2_1,VIDYA,14,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,4.951541,164.0677,33,0,0.0000,VIDYA/KAMA,2,4.9515,71.7311,33
C2_2,KAMA,14,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,4.265527,27.8144,30,0,0.0000,KAMA/KAMA,2,4.2655,82.5283,30
C2_3,KAMA,24,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,4.242302,13.4756,33,0,0.0000,KAMA/KAMA,2,4.2423,85.3791,33
C2_4,FRAMA,18,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,4.123464,90.0225,37,0,0.0000,FRAMA/KAMA,2,4.1235,96.0434,37
C2_5,VIDYA,20,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,3.506883,154.8855,31,0,0.0000,VIDYA/KAMA,2,3.5069,57.4990,31
C2_6,FRAMA,18,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,3.164260,64.0046,40,0,0.0000,FRAMA/KAMA,2,3.1643,83.4231,40
