config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
23360315,McGinley(16)/TEMA(75)_H00,2.8513541,88.70281,89.0,48.0,15.817717,136.6152,47.912395,2.4750817,53.016045,72.0,33.0,6.942366,88.95713,35.94109,2.6900768,161.0,15.817717,0.5031056,0.8680373,4.698529,3.4666288,5.8279104,3.5724683,2.969908,23
23360314,McGinley(16)/TEMA(75)_H00,2.8513541,88.70281,89.0,48.0,15.817717,136.6152,47.912395,2.4750817,53.016045,72.0,33.0,6.942366,88.95713,35.94109,2.6900768,161.0,15.817717,0.5031056,0.8680373,4.698529,3.4666288,5.8279104,3.530931,2.9353766,23
52739432,VIDYA(22)/McGinley(33)_H00,1.8097625,112.74856,191.0,82.0,23.296148,251.98514,139.23659,1.6761311,61.898117,116.0,54.0,24.81586,153.44563,91.54751,1.7567537,307.0,24.81586,0.44299674,0.9261608,3.7886055,2.66818,4.633419,3.4892519,3.1497743,23
23485243,McGinley(16)/TEMA(75)_H00,1.9421825,46.547295,81.0,40.0,24.34292,95.95099,49.403694,3.085054,55.359005,62.0,33.0,5.3390026,81.9094,26.550394,2.341683,143.0,24.34292,0.5104895,1.5,2.8705244,4.1471677,4.840951,3.4881573,2.7014396,23
23485242,McGinley(16)/TEMA(75)_H00,1.9421825,46.547295,81.0,40.0,24.34292,95.95099,49.403694,3.085054,55.359005,62.0,33.0,5.3390026,81.9094,26.550394,2.341683,143.0,24.34292,0.5104895,1.5,2.8705244,4.1471677,4.840951,3.4831476,2.6975596,23
23550779,McGinley(16)/TEMA(75)_H00,1.8885527,45.144363,82.0,40.0,24.34292,95.95099,50.806625,3.085054,55.359005,62.0,33.0,5.3390026,81.9094,26.550394,2.2992146,144.0,24.34292,0.5069444,1.5,2.7639766,4.1471677,4.751071,3.4728317,2.7288077,23
52739560,VIDYA(22)/McGinley(33)_H00,1.8097625,112.74856,191.0,82.0,23.296148,251.98514,139.23659,1.6761311,61.898117,116.0,54.0,24.81586,153.44563,91.54751,1.7567537,307.0,24.81586,0.44299674,0.9261608,3.7886055,2.66818,4.633419,3.4684036,3.1309543,23
23550778,McGinley(16)/TEMA(75)_H00,1.8885527,45.144363,82.0,40.0,24.34292,95.95099,50.806625,3.085054,55.359005,62.0,33.0,5.3390026,81.9094,26.550394,2.2992146,144.0,24.34292,0.5069444,1.5,2.7639766,4.1471677,4.751071,3.439768,2.7028277,23
23360440,McGinley(16)/TEMA(75)_H00,2.644092,79.549995,86.0,45.0,15.817717,127.935356,48.385365,2.5692692,54.166325,72.0,33.0,5.5181875,88.683235,34.51691,2.6129391,158.0,15.817717,0.49367088,0.97170186,4.2690005,3.5862772,5.579609,3.386144,2.7666807,23
23360312,McGinley(16)/TEMA(75)_H00,2.644092,79.549995,86.0,45.0,15.817717,127.935356,48.385365,2.5692692,54.166325,72.0,33.0,5.5181875,88.683235,34.51691,2.6129391,158.0,15.817717,0.49367088,0.97170186,4.2690005,3.5862772,5.579609,3.386144,2.7666807,23
23518011,McGinley(16)/TEMA(72)_H00,1.9569294,50.758694,85.0,38.0,16.404316,103.801994,53.0433,2.9329095,58.230312,66.0,36.0,8.675503,88.35604,30.125732,2.3104515,151.0,16.404316,0.49006623,1.4987303,2.8685868,4.1621547,4.8254113,3.3519843,2.555345,23
23518011,McGinley(16)/TEMA(75)_H00,1.8243434,47.53815,89.0,42.0,24.34292,105.206055,57.6679,2.7673538,58.00355,66.0,35.0,10.05272,90.82298,32.819435,2.16637,155.0,24.34292,0.4967742,1.5,2.7048035,3.915495,4.5751,3.3498218,2.684366,23
23583547,McGinley(16)/TEMA(72)_H00,1.9603418,50.85103,85.0,38.0,16.404316,103.801994,52.950966,3.000133,58.905334,65.0,36.0,8.00048,88.35604,29.450708,2.3319676,150.0,16.404316,0.49333334,1.5,2.8752682,4.2359133,4.8695774,3.3440244,2.5337694,23
52739448,VIDYA(22)/McGinley(33)_H00,1.7634671,108.09854,190.0,80.0,23.697105,249.68753,141.589,1.6730422,61.75578,115.0,53.0,24.81586,153.51195,91.75617,1.7279099,305.0,24.81586,0.43606558,0.94872326,3.603192,2.6398346,4.469375,3.3346045,3.032478,23
52739576,VIDYA(22)/McGinley(33)_H00,1.7634671,108.09854,190.0,80.0,23.697105,249.68753,141.589,1.6730422,61.75578,115.0,53.0,24.81586,153.51195,91.75617,1.7279099,305.0,24.81586,0.43606558,0.94872326,3.603192,2.6398346,4.469375,3.3334343,3.0314136,23
52887016,VIDYA(22)/McGinley(33)_H00,1.7273941,108.573,204.0,85.0,20.570606,257.83597,149.26295,1.6304601,61.824215,131.0,57.0,24.024786,159.88626,98.06204,1.6889608,335.0,24.024786,0.4238806,0.94388425,3.596103,2.63798,4.460897,3.3312812,2.9837592,23
23583547,McGinley(16)/TEMA(75)_H00,1.8243434,47.53815,89.0,42.0,24.34292,105.206055,57.6679,2.7673538,58.00355,66.0,35.0,10.05272,90.82298,32.819435,2.16637,155.0,24.34292,0.4967742,1.5,2.7048035,3.915495,4.5751,3.3232744,2.6630924,23
34224558,SMA(24)/ZLEMA(49)_H05,1.3704416,77.70523,213.0,106.0,25.136948,287.46902,209.76378,1.8523245,76.123726,136.0,74.0,17.380697,165.43681,89.31309,1.5143459,349.0,25.136948,0.5157593,1.351626,2.2790663,3.5651896,3.8444688,3.3197377,2.7236297,23
