config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
40545160,ALMA(20)/T3(63)_H00,3.5041246,154.79437,90.0,46.0,8.559701,216.61014,61.81576,5.11303,39.46743,37.0,24.0,2.4293027,49.063133,9.595706,3.7203166,127.0,8.559701,0.5511811,1.4591461,5.338983,4.8847055,6.8654537,9.077961,4.7939076,24
36350728,ALMA(20)/T3(63)_H00,3.5041246,154.79437,90.0,46.0,8.559701,216.61014,61.81576,5.11303,39.46743,37.0,24.0,2.4293027,49.063133,9.595706,3.7203166,127.0,8.559701,0.5511811,1.4591461,5.338983,4.8847055,6.8654537,9.077961,4.7939076,24
36350856,ALMA(20)/T3(63)_H00,3.5041246,154.79437,90.0,46.0,8.559701,216.61014,61.81576,5.11303,39.46743,37.0,24.0,2.4293027,49.063133,9.595706,3.7203166,127.0,8.559701,0.5511811,1.4591461,5.338983,4.8847055,6.8654537,9.077961,4.7939076,24
40545032,ALMA(20)/T3(63)_H00,3.5041246,154.79437,90.0,46.0,8.559701,216.61014,61.81576,5.11303,39.46743,37.0,24.0,2.4293027,49.063133,9.595706,3.7203166,127.0,8.559701,0.5511811,1.4591461,5.338983,4.8847055,6.8654537,9.077961,4.7939076,24
36350856,ALMA(20)/T3(63)_H05,3.5491676,158.24278,92.0,46.0,8.559701,220.31903,62.076256,6.1471205,42.36884,39.0,25.0,1.758278,50.600403,8.231562,3.853333,131.0,8.559701,0.54198474,1.5,5.3747764,5.4146976,7.0533996,8.9483385,4.4216104,24
40545032,ALMA(20)/T3(63)_H05,3.5491676,158.24278,92.0,46.0,8.559701,220.31903,62.076256,6.1471205,42.36884,39.0,25.0,1.758278,50.600403,8.231562,3.853333,131.0,8.559701,0.54198474,1.5,5.3747764,5.4146976,7.0533996,8.9483385,4.4216104,24
40545160,ALMA(20)/T3(63)_H05,3.5491676,158.24278,92.0,46.0,8.559701,220.31903,62.076256,6.1471205,42.36884,39.0,25.0,1.758278,50.600403,8.231562,3.853333,131.0,8.559701,0.54198474,1.5,5.3747764,5.4146976,7.0533996,8.9483385,4.4216104,24
36350728,ALMA(20)/T3(63)_H05,3.5491676,158.24278,92.0,46.0,8.559701,220.31903,62.076256,6.1471205,42.36884,39.0,25.0,1.758278,50.600403,8.231562,3.853333,131.0,8.559701,0.54198474,1.5,5.3747764,5.4146976,7.0533996,8.9483385,4.4216104,24
36350733,ALMA(20)/T3(63)_H00,3.2962651,150.61267,90.0,45.0,9.102209,216.20296,65.59028,5.3131804,40.20689,38.0,26.0,2.4293027,49.52876,9.321867,3.5472448,128.0,9.102209,0.5546875,1.5,5.0705166,5.232301,6.710776,8.762554,4.7653337,24
40545037,ALMA(20)/T3(63)_H00,3.2962651,150.61267,90.0,45.0,9.102209,216.20296,65.59028,5.3131804,40.20689,38.0,26.0,2.4293027,49.52876,9.321867,3.5472448,128.0,9.102209,0.5546875,1.5,5.0705166,5.232301,6.710776,8.762554,4.7653337,24
36350861,ALMA(20)/T3(63)_H00,3.2962651,150.61267,90.0,45.0,9.102209,216.20296,65.59028,5.7503753,40.915623,37.0,26.0,2.4293027,49.52876,8.613134,3.5811253,127.0,9.102209,0.5590551,1.5,5.0705166,5.474992,6.754535,8.741971,4.7301493,24
