config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
1784292,VIDYA(18)/VWMA(39)_H05,1.5678922,24.540943,82.0,36.0,10.52907,67.75503,43.21409,2.5090964,43.177742,69.0,41.0,6.5700216,71.78939,28.61165,1.9428191,151.0,10.52907,0.50993377,1.5,1.9354625,3.8176327,3.9613278,2.972619,2.6938126,23
1784228,VIDYA(18)/VWMA(39)_H05,1.5678922,24.540943,82.0,36.0,10.52907,67.75503,43.21409,2.5090964,43.177742,69.0,41.0,6.5700216,71.78939,28.61165,1.9428191,151.0,10.52907,0.50993377,1.5,1.9354625,3.8176327,3.9613278,2.972619,2.6938126,23
5978440,VIDYA(18)/VWMA(39)_H00,1.2351688,11.6285715,86.0,37.0,16.640646,61.076347,49.447773,2.3562188,58.21749,95.0,52.0,5.699967,101.14382,42.926327,1.7561218,181.0,16.640646,0.49171272,1.5,0.952181,4.076956,3.673691,2.937675,2.6774495,23
5978568,VIDYA(18)/VWMA(39)_H00,1.2351688,11.6285715,86.0,37.0,16.640646,61.076347,49.447773,2.3562188,58.21749,95.0,52.0,5.699967,101.14382,42.926327,1.7561218,181.0,16.640646,0.49171272,1.5,0.952181,4.076956,3.673691,2.937675,2.6774495,23
1653032,VIDYA(18)/VWMA(39)_H05,1.5389315,24.30304,73.0,36.0,14.781564,69.397896,45.094856,2.7625015,57.41021,66.0,36.0,7.105198,89.983345,32.57314,2.0520837,139.0,14.781564,0.5179856,1.5,1.8081826,3.9584272,4.112434,2.9135375,2.6154091,23
1653160,VIDYA(18)/VWMA(39)_H05,1.5389315,24.30304,73.0,36.0,14.781564,69.397896,45.094856,2.7625015,57.41021,66.0,36.0,7.105198,89.983345,32.57314,2.0520837,139.0,14.781564,0.5179856,1.5,1.8081826,3.9584272,4.112434,2.9135375,2.6154091,23
1653048,VIDYA(18)/VWMA(39)_H00,1.2254497,10.484601,74.0,32.0,17.128183,56.989872,46.505272,2.6599271,61.641853,81.0,45.0,6.4352098,98.77713,37.135273,1.8623383,155.0,17.128183,0.4967742,1.5,0.8518058,4.2718687,3.7434347,2.9090517,2.7117243,23
1653176,VIDYA(18)/VWMA(39)_H00,1.2254497,10.484601,74.0,32.0,17.128183,56.989872,46.505272,2.6599271,61.641853,81.0,45.0,6.4352098,98.77713,37.135273,1.8623383,155.0,17.128183,0.4967742,1.5,0.8518058,4.2718687,3.7434347,2.9090517,2.7117243,23
1653166,VIDYA(18)/VWMA(39)_H05,1.7126073,29.908424,71.0,36.0,11.09408,71.87884,41.970417,2.651189,56.257057,65.0,36.0,7.105198,90.32769,34.070633,2.1331444,136.0,11.09408,0.5294118,1.5,2.2215664,3.8103905,4.3019032,2.8832953,2.5202317,23
1653167,VIDYA(18)/VWMA(39)_H05,1.710153,29.84819,71.0,36.0,11.09408,71.87884,42.03065,2.651189,56.257057,65.0,36.0,7.105198,90.32769,34.070633,2.1314557,136.0,11.09408,0.5294118,1.5,2.215899,3.8103905,4.2977204,2.8810127,2.5202317,23
1653165,VIDYA(18)/VWMA(39)_H05,1.7243876,30.19515,71.0,36.0,11.271779,71.87884,41.68369,2.6134188,55.55207,66.0,36.0,7.105198,89.983345,34.43128,2.1265488,137.0,11.271779,0.52554744,1.5,2.2486284,3.7652621,4.2908907,2.8744414,2.5100405,23
1587630,VIDYA(18)/VWMA(39)_H05,1.5615041,25.80572,68.0,35.0,11.49108,71.76392,45.958206,2.8836882,60.153786,60.0,36.0,7.105198,92.08783,31.934046,2.1035693,128.0,11.49108,0.5546875,1.5,1.8185846,4.07653,4.1606145,2.8574302,2.6204305,23
1587631,VIDYA(18)/VWMA(39)_H05,1.5594602,25.745485,68.0,35.0,11.49108,71.76392,46.01844,2.8836882,60.153786,60.0,36.0,7.105198,92.08783,31.934046,2.101944,128.0,11.49108,0.5546875,1.5,1.8133783,4.07653,4.1565037,2.8552225,2.6204305,23
1587629,VIDYA(18)/VWMA(39)_H05,1.5713072,26.092445,68.0,35.0,11.668779,71.76392,45.67148,2.840823,59.4488,61.0,36.0,7.105198,91.743484,32.29469,2.0971584,129.0,11.668779,0.5503876,1.5,1.8434427,4.03024,4.1511817,2.850855,2.6108732,23
1784164,VIDYA(18)/VWMA(39)_H05,1.520037,23.180439,83.0,36.0,10.52907,67.75503,44.574593,2.5090964,43.177742,69.0,41.0,6.5700216,71.78939,28.61165,1.9067029,152.0,10.52907,0.5065789,1.5,1.8138462,3.8176327,3.861311,2.8411736,2.61414,23
1784100,VIDYA(18)/VWMA(39)_H05,1.520037,23.180439,83.0,36.0,10.52907,67.75503,44.574593,2.5090964,43.177742,69.0,41.0,6.5700216,71.78939,28.61165,1.9067029,152.0,10.52907,0.5065789,1.5,1.8138462,3.8176327,3.861311,2.8411736,2.61414,23
1653164,VIDYA(18)/VWMA(39)_H05,1.7086467,29.811138,71.0,36.0,11.716026,71.87884,42.067703,2.6170158,55.599396,66.0,36.0,7.105198,89.983345,34.383953,2.1171834,137.0,11.716026,0.52554744,1.5,2.212416,3.7701004,4.267577,2.8381069,2.489275,23
1587628,VIDYA(18)/VWMA(39)_H05,1.5582056,25.708433,68.0,35.0,12.113027,71.76392,46.055492,2.844992,59.496124,61.0,36.0,7.105198,91.743484,32.24736,2.0881412,129.0,12.113027,0.5503876,1.5,1.8101786,4.0354376,4.128272,2.8155847,2.5897071,23
1784120,VIDYA(18)/VWMA(39)_H00,1.2687235,13.319886,77.0,35.0,17.128183,62.88715,49.567265,2.6158419,57.21943,88.0,47.0,5.3801384,92.63096,35.41153,1.8300815,165.0,17.128183,0.4969697,1.5,1.0240375,4.313772,3.7608364,2.790384,2.5605216,23
1784248,VIDYA(18)/VWMA(39)_H00,1.2687235,13.319886,77.0,35.0,17.128183,62.88715,49.567265,2.6158419,57.21943,88.0,47.0,5.3801384,92.63096,35.41153,1.8300815,165.0,17.128183,0.4969697,1.5,1.0240375,4.313772,3.7608364,2.790384,2.5605216,23
1653036,VIDYA(18)/VWMA(39)_H05,1.6551188,28.450634,72.0,36.0,11.716026,71.87884,43.428207,2.6170158,55.599396,66.0,36.0,7.105198,89.983345,34.383953,2.0801656,138.0,11.716026,0.5217391,1.5,2.0936418,3.7701004,4.1794367,2.7102735,2.4097137,23
1784238,VIDYA(18)/VWMA(39)_H05,1.5563171,29.599989,80.0,42.0,11.09408,82.80704,53.207047,2.4181068,49.163925,70.0,38.0,7.069742,83.832634,34.668705,1.8963102,150.0,11.09408,0.53333336,1.5,1.965444,3.5858853,3.861404,2.6948988,2.5110378,23
1587500,VIDYA(18)/VWMA(39)_H05,1.513496,24.347929,69.0,35.0,12.113027,71.76392,47.415997,2.844992,59.496124,61.0,36.0,7.105198,91.743484,32.24736,2.0524795,130.0,12.113027,0.54615384,1.5,1.7018671,4.0354376,4.0431657,2.6934285,2.5094326,23
