config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
3087296,ZLEMA(8)/T3(75)_H05,8.118819,95.21814,35.0,25.0,6.226365,108.5937,13.375552,11.29986,31.03822,15.0,10.0,2.1207252,34.05168,3.0134604,8.70372,50.0,6.226365,0.7,1.3918108,6.2709846,4.241748,7.5391207,3.5586925,-0.39781424,24
3087168,ZLEMA(8)/T3(75)_H05,8.118819,95.21814,35.0,25.0,6.226365,108.5937,13.375552,11.29986,31.03822,15.0,10.0,2.1207252,34.05168,3.0134604,8.70372,50.0,6.226365,0.7,1.3918108,6.2709846,4.241748,7.5391207,3.5586925,-0.5486389,24
3087305,ZLEMA(8)/T3(75)_H05,6.7403893,90.70258,35.0,22.0,7.3430357,106.50336,15.800772,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.818925,50.0,7.3430357,0.64,1.5,5.2390018,4.54638,6.6991177,3.3188539,-0.42205697,24
3087177,ZLEMA(8)/T3(75)_H05,6.7403893,90.70258,35.0,22.0,7.3430357,106.50336,15.800772,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.818925,50.0,7.3430357,0.64,1.5,5.2390018,4.54638,6.6991177,3.3188539,-0.50049233,24
3087176,ZLEMA(8)/T3(75)_H05,6.7403893,90.70258,35.0,22.0,7.3430357,106.50336,15.800772,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.818925,50.0,7.3430357,0.64,1.5,5.2390018,4.54638,6.6991177,3.3188539,-0.41400024,24
3087304,ZLEMA(8)/T3(75)_H05,6.7403893,90.70258,35.0,22.0,7.3430357,106.50336,15.800772,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.818925,50.0,7.3430357,0.64,1.5,5.2390018,4.54638,6.6991177,3.3188539,-0.41400024,24
3021639,ZLEMA(8)/T3(75)_H05,6.639904,93.82865,41.0,26.0,3.7282674,110.46522,16.636568,10.106898,29.016333,15.0,9.0,1.7945868,32.202526,3.1861925,7.197168,56.0,3.7282674,0.625,1.5,5.678208,3.721736,6.7544503,3.3117514,-0.6499255,24
3021638,ZLEMA(8)/T3(75)_H05,6.639904,93.82865,41.0,26.0,3.7282674,110.46522,16.636568,10.106898,29.016333,15.0,9.0,1.7945868,32.202526,3.1861925,7.197168,56.0,3.7282674,0.625,1.5,5.678208,3.721736,6.7544503,3.3117514,-0.61606175,24
3021766,ZLEMA(8)/T3(75)_H05,6.639904,93.82865,41.0,26.0,3.7282674,110.46522,16.636568,10.106898,29.016333,15.0,9.0,1.7945868,32.202526,3.1861925,7.197168,56.0,3.7282674,0.625,1.5,5.678208,3.721736,6.7544503,3.3117514,-0.5295982,24
3021767,ZLEMA(8)/T3(75)_H05,6.639904,93.82865,41.0,26.0,3.7282674,110.46522,16.636568,10.106898,29.016333,15.0,9.0,1.7945868,32.202526,3.1861925,7.197168,56.0,3.7282674,0.625,1.5,5.678208,3.721736,6.7544503,3.3117514,-0.56353647,24
3087179,ZLEMA(8)/T3(75)_H05,6.7199917,90.654625,35.0,22.0,7.3430357,106.50336,15.848734,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.798119,50.0,7.3430357,0.64,1.5,5.2330437,4.54638,6.693188,3.3100228,-0.4935396,24
3087307,ZLEMA(8)/T3(75)_H05,6.7199917,90.654625,35.0,22.0,7.3430357,106.50336,15.848734,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.798119,50.0,7.3430357,0.64,1.5,5.2330437,4.54638,6.693188,3.3100228,-0.44506568,24
3087306,ZLEMA(8)/T3(75)_H05,6.7199917,90.654625,35.0,22.0,7.3430357,106.50336,15.848734,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.798119,50.0,7.3430357,0.64,1.5,5.2330437,4.54638,6.693188,3.3100228,-0.42851728,24
3087178,ZLEMA(8)/T3(75)_H05,6.7199917,90.654625,35.0,22.0,7.3430357,106.50336,15.848734,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.798119,50.0,7.3430357,0.64,1.5,5.2330437,4.54638,6.693188,3.3100228,-0.45557183,24
3087180,ZLEMA(8)/T3(75)_H05,6.718553,91.43237,35.0,23.0,6.0321484,107.4211,15.988725,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.788543,50.0,6.0321484,0.66,1.5,5.424005,4.54638,6.8737507,3.305958,-0.69888693,24
3087181,ZLEMA(8)/T3(75)_H05,6.718553,91.43237,35.0,23.0,6.0321484,107.4211,15.988725,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.788543,50.0,6.0321484,0.66,1.5,5.424005,4.54638,6.8737507,3.305958,-0.69888693,24
3087310,ZLEMA(8)/T3(75)_H05,6.718553,91.43237,35.0,23.0,6.0321484,107.4211,15.988725,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.788543,50.0,6.0321484,0.66,1.5,5.424005,4.54638,6.8737507,3.305958,-0.5298745,24
3087308,ZLEMA(8)/T3(75)_H05,6.718553,91.43237,35.0,23.0,6.0321484,107.4211,15.988725,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.788543,50.0,6.0321484,0.66,1.5,5.424005,4.54638,6.8737507,3.305958,-0.52288157,24
3087309,ZLEMA(8)/T3(75)_H05,6.718553,91.43237,35.0,23.0,6.0321484,107.4211,15.988725,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.788543,50.0,6.0321484,0.66,1.5,5.424005,4.54638,6.8737507,3.305958,-0.52288157,24
3087182,ZLEMA(8)/T3(75)_H05,6.718553,91.43237,35.0,23.0,6.0321484,107.4211,15.988725,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.788543,50.0,6.0321484,0.66,1.5,5.424005,4.54638,6.8737507,3.305958,-0.6964727,24
3087183,ZLEMA(8)/T3(75)_H05,6.718553,91.43237,35.0,23.0,6.0321484,107.4211,15.988725,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.788543,50.0,6.0321484,0.66,1.5,5.424005,4.54638,6.8737507,3.305958,-0.6964727,24
3087311,ZLEMA(8)/T3(75)_H05,6.718553,91.43237,35.0,23.0,6.0321484,107.4211,15.988725,15.652421,31.87619,15.0,10.0,1.2827545,34.05168,2.1754897,7.788543,50.0,6.0321484,0.66,1.5,5.424005,4.54638,6.8737507,3.305958,-0.5298745,24
3087303,ZLEMA(8)/T3(75)_H05,6.4456058,87.25183,39.0,25.0,3.7282674,103.27426,16.022429,9.514066,27.455751,15.0,8.0,1.7945868,30.680504,3.2247524,6.9597087,54.0,3.7282674,0.6111111,1.4760545,5.520965,3.3078573,6.435203,3.0962894,-0.4432182,24
