config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
6859520,VIDYA(22)/ZLEMA(36)_H05,3.7269344,41.405872,80.0,47.0,3.8232841,56.58991,15.184036,5.9343905,32.58949,39.0,25.0,3.010692,39.19405,6.604562,4.396059,119.0,3.8232841,0.60504204,1.5,5.6507382,5.333946,7.7349896,3.2785523,-0.11967177,25
2665216,VIDYA(22)/ZLEMA(36)_H05,3.7269344,41.405872,80.0,47.0,3.8232841,56.58991,15.184036,5.9343905,32.58949,39.0,25.0,3.010692,39.19405,6.604562,4.396059,119.0,3.8232841,0.60504204,1.5,5.6507382,5.333946,7.7349896,3.2785523,-0.11967177,25
2730752,VIDYA(22)/ZLEMA(36)_H05,3.168223,39.041557,82.0,47.0,3.1954358,57.047806,18.006247,5.548248,30.039185,40.0,26.0,3.010692,36.643745,6.604562,3.806927,122.0,3.1954358,0.59836066,1.5,5.0436535,5.293572,7.144423,2.8802016,0.012358468,25
6925056,VIDYA(22)/ZLEMA(36)_H05,3.168223,39.041557,82.0,47.0,3.1954358,57.047806,18.006247,5.548248,30.039185,40.0,26.0,3.010692,36.643745,6.604562,3.806927,122.0,3.1954358,0.59836066,1.5,5.0436535,5.293572,7.144423,2.8802016,0.012358468,25
6826752,VIDYA(22)/ZLEMA(36)_H05,3.0563495,39.401672,76.0,44.0,4.57134,58.562656,19.160982,6.2130694,31.156029,35.0,23.0,2.616141,37.132553,5.976523,3.8068697,111.0,4.57134,0.6036036,1.5,4.74372,5.2519956,6.8470016,2.726088,-0.43749774,25
2632448,VIDYA(22)/ZLEMA(36)_H05,3.0563495,39.401672,76.0,44.0,4.57134,58.562656,19.160982,6.2130694,31.156029,35.0,23.0,2.616141,37.132553,5.976523,3.8068697,111.0,4.57134,0.6036036,1.5,4.74372,5.2519956,6.8470016,2.726088,-0.4203664,25
7875328,VIDYA(22)/ZLEMA(36)_H05,2.4740422,40.082516,102.0,55.0,4.8572683,67.27476,27.192244,4.779606,32.726135,54.0,35.0,3.0390825,41.384743,8.65861,3.0308764,156.0,4.8572683,0.5769231,1.5,4.4190984,5.6928587,6.74038,2.627859,-0.26437685,25
3681024,VIDYA(22)/ZLEMA(36)_H05,2.4740422,40.082516,102.0,55.0,4.8572683,67.27476,27.192244,4.779606,32.726135,54.0,35.0,3.0390825,41.384743,8.65861,3.0308764,156.0,4.8572683,0.5769231,1.5,4.4190984,5.6928587,6.74038,2.627859,-0.26437685,25
6859536,VIDYA(22)/ZLEMA(36)_H05,2.7979112,37.20964,82.0,47.0,4.364374,57.905678,20.696037,5.4348974,30.371357,40.0,25.0,3.010692,37.219624,6.848266,3.4535382,122.0,4.364374,0.59016395,1.5,4.556267,5.098987,6.6455507,2.612839,-0.10860503,25
2665232,VIDYA(22)/ZLEMA(36)_H05,2.7979112,37.20964,82.0,47.0,4.364374,57.905678,20.696037,5.4348974,30.371357,40.0,25.0,3.010692,37.219624,6.848266,3.4535382,122.0,4.364374,0.59016395,1.5,4.556267,5.098987,6.6455507,2.612839,-0.054164454,25
