config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
1268640,T3(16)/HMA(75)_H00,2.9417505,34.71736,46.0,29.0,4.5755997,52.596775,17.879414,11.965285,27.050304,30.0,24.0,0.97214603,29.517208,2.4669037,4.0358157,76.0,4.5755997,0.69736844,1.5,3.700966,7.5237417,6.336592,2.284234,-0.8832126,24
1268656,T3(16)/HMA(75)_H00,2.8871484,33.96087,46.0,28.0,4.5755997,51.956734,17.995865,11.866863,26.807505,30.0,24.0,0.97214603,29.274408,2.4669037,3.9697044,76.0,4.5755997,0.68421054,1.5,3.5931916,7.502461,6.210184,2.2468157,-0.8870106,24
1252256,T3(16)/HMA(75)_H00,2.8886292,26.345335,39.0,26.0,4.5755997,40.29478,13.949448,10.609313,26.832872,29.0,23.0,0.97214603,29.625254,2.792382,4.1763678,68.0,4.5755997,0.7205882,1.5,3.4119835,7.015084,6.226742,2.1960208,-0.8965559,24
4911654,VIDYA(14)/ALMA(48)_H00,1.3828906,37.431046,246.0,108.0,13.04172,135.19017,97.75912,2.3877351,48.297043,143.0,67.0,7.257248,83.09982,34.80278,1.6467025,389.0,13.04172,0.44987145,1.5,2.4533331,4.76594,4.680257,2.190715,0.26274768,24
2317216,T3(16)/HMA(75)_H00,3.2221358,43.21238,51.0,33.0,4.624775,62.658703,19.446327,4.651425,28.26348,35.0,25.0,5.1,36.003876,7.740397,3.6290722,86.0,5.1,0.6744186,1.4435843,4.2502546,4.7761045,6.155647,2.1815293,-0.72891647,24
4911655,VIDYA(14)/ALMA(48)_H00,1.3785924,37.126247,246.0,108.0,13.04172,135.19017,98.06392,2.347281,47.614567,143.0,66.0,7.564018,82.9558,35.341232,1.635214,389.0,13.04172,0.44730076,1.5,2.4306169,4.654819,4.6105986,2.175431,0.23179263,24
4977190,VIDYA(14)/ALMA(48)_H00,1.3736513,36.943157,252.0,111.0,13.567453,135.81384,98.87069,2.287889,46.778206,145.0,67.0,7.332497,83.09982,36.321617,1.619276,397.0,13.567453,0.4483627,1.5,2.4354932,4.5674586,4.5739665,2.172135,0.0332286,24
5960230,VIDYA(14)/ALMA(48)_H00,1.3346373,37.846436,285.0,120.0,11.082878,150.94331,113.096886,2.0725498,46.87438,163.0,75.0,6.268233,90.57806,43.70368,1.5403092,448.0,11.082878,0.43526787,1.5,2.3365536,4.3221626,4.3443747,2.1681166,-0.6318631,24
2317232,T3(16)/HMA(75)_H00,3.1832855,42.456882,51.0,33.0,4.624775,61.90321,19.446327,4.620057,28.02068,35.0,25.0,5.1,35.761078,7.740397,3.5923524,86.0,5.1,0.6744186,1.4513487,4.208286,4.7559357,6.109023,2.1652555,-0.81289667,24
1252272,T3(16)/HMA(75)_H00,2.8347573,25.593851,39.0,26.0,4.5755997,39.5433,13.949448,10.522363,26.590075,29.0,23.0,0.97214603,29.382456,2.792382,4.116979,68.0,4.5755997,0.7205882,1.5,3.3515928,6.9937124,6.1645145,2.164793,-1.0450193,24
4977191,VIDYA(14)/ALMA(48)_H00,1.3694296,36.63836,252.0,111.0,13.567453,135.81384,99.17548,2.25056,46.09573,145.0,66.0,7.639267,82.9558,36.86007,1.6081799,397.0,13.567453,0.44584382,1.5,2.4126897,4.4601617,4.504999,2.1572506,0.0027793169,24
5960231,VIDYA(14)/ALMA(48)_H00,1.33105,37.541637,285.0,120.0,11.341139,150.94331,113.40168,2.0440705,46.191906,163.0,74.0,6.5750027,90.43404,44.242134,1.5311565,448.0,11.341139,0.4330357,1.5,2.3155348,4.226943,4.2812934,2.1552334,-0.6622885,24
1847854,VIDYA(14)/ALMA(48)_H00,1.4263607,45.2538,220.0,90.0,9.154468,151.39351,106.13971,2.00602,39.79531,121.0,52.0,6.1101017,79.352486,39.55717,1.5837401,341.0,9.154468,0.41642228,1.4063904,2.4835625,3.4811563,3.9636483,2.1548471,1.6735288,24
