config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
38007639,ALMA(24)/SMA(57)_H05,3.5956917,134.68068,81.0,39.0,6.898245,186.56693,51.88624,5.4904785,35.304195,19.0,8.0,2.2938788,43.166206,7.8620114,3.8450186,100.0,6.898245,0.47,1.5,4.975714,2.6846318,5.661985,4.741373,2.749393,24
33813268,ALMA(24)/SMA(57)_H05,3.6108885,134.90019,81.0,40.0,6.898245,186.5685,51.66831,5.4904785,35.304195,19.0,8.0,2.2938788,43.166206,7.8620114,3.859121,100.0,6.898245,0.48,1.5,5.060433,2.6846318,5.744126,4.538401,2.6220782,24
38007572,ALMA(24)/SMA(57)_H05,3.6108885,134.90019,81.0,40.0,6.898245,186.5685,51.66831,5.4904785,35.304195,19.0,8.0,2.2938788,43.166206,7.8620114,3.859121,100.0,6.898245,0.48,1.5,5.060433,2.6846318,5.744126,4.538401,2.6220782,24
39301700,T3(16)/SSmoother(42)_H05,1.6822444,118.62901,195.0,81.0,32.6268,292.50955,173.88054,2.9392996,72.054504,78.0,31.0,9.136615,109.20941,37.15491,1.9035616,273.0,32.6268,0.41025642,1.5,3.3561878,3.865071,4.7906356,4.4992394,3.1032903,24
39318356,T3(16)/SSmoother(42)_H05,1.8994887,136.36282,164.0,70.0,36.693695,287.9632,151.60037,3.2119043,70.29491,63.0,29.0,8.221212,102.07518,31.780268,2.1269333,227.0,36.693695,0.43612334,1.5,3.7593558,3.9888902,5.148375,4.489931,3.0203624,24
39318100,T3(16)/SSmoother(42)_H05,1.8472582,140.5051,188.0,79.0,42.342823,306.34015,165.83505,2.9521747,69.82056,71.0,31.0,8.094761,105.58608,35.765526,2.043279,259.0,42.342823,0.42471042,1.5,3.845202,3.8852499,5.1864376,4.482612,2.950484,24
35123799,T3(16)/SSmoother(42)_H05,1.8396565,141.18344,184.0,80.0,38.473583,309.32776,168.1443,3.1367912,73.01526,69.0,32.0,8.094761,107.185776,34.170517,2.0587397,253.0,38.473583,0.44268775,1.5,3.8289838,4.124972,5.2606215,4.481542,2.9594896,24
35648087,T3(16)/SSmoother(42)_H05,1.7512213,139.02895,198.0,84.0,40.98765,324.09952,185.07057,3.3282394,84.50241,73.0,35.0,8.094761,120.79697,36.29455,2.009786,271.0,40.98765,0.4391144,1.5,3.64692,4.4927754,5.26677,4.4189234,2.8964446,24
39318359,T3(16)/SSmoother(42)_H05,1.8967516,136.14333,164.0,69.0,36.9132,287.96164,151.81831,3.2119043,70.29491,63.0,29.0,8.221212,102.07518,31.780268,2.1244,227.0,36.9132,0.43171805,1.5,3.7311902,3.9888902,5.1196837,4.395511,2.9603724,24
35124055,T3(16)/SSmoother(42)_H05,1.9003407,137.57256,162.0,71.0,33.337437,290.3731,152.80055,3.4346194,73.48962,61.0,30.0,8.221212,103.67487,30.185257,2.1534345,223.0,33.337437,0.4529148,1.5,3.7761328,4.249033,5.2567825,4.3919954,2.9431279,24
33747732,ALMA(24)/SMA(57)_H05,3.147651,111.682884,84.0,42.0,6.898245,163.68523,52.002342,5.2702813,35.04393,22.0,9.0,4.5617824,43.2504,8.20647,3.4369657,106.0,6.898245,0.4811321,1.5,4.7457094,2.7950044,5.53602,4.347955,2.7233717,24
37942036,ALMA(24)/SMA(57)_H05,3.147651,111.682884,84.0,42.0,6.898245,163.68523,52.002342,5.2702813,35.04393,22.0,9.0,4.5617824,43.2504,8.20647,3.4369657,106.0,6.898245,0.4811321,1.5,4.7457094,2.7950044,5.53602,4.347955,2.7233717,24
39318084,T3(16)/SSmoother(42)_H05,1.7428317,127.42852,197.0,84.0,34.873665,298.97278,171.54427,2.9523513,71.20776,74.0,30.0,8.060966,107.68058,36.472824,1.9549036,271.0,34.873665,0.42066422,1.5,3.6156707,3.8159525,4.996283,4.337079,2.922608,24
37942103,ALMA(24)/SMA(57)_H05,3.1344848,111.46338,84.0,41.0,6.898245,163.68365,52.220276,5.2702813,35.04393,22.0,9.0,4.5617824,43.2504,8.20647,3.424544,106.0,6.898245,0.4716981,1.5,4.6728554,2.7950044,5.463257,4.328557,2.721056,24
39318340,T3(16)/SSmoother(42)_H05,1.7836819,123.04412,172.0,75.0,28.830145,280.05188,157.00775,3.2004347,71.93505,66.0,28.0,8.187418,104.62634,32.69129,2.0278344,238.0,28.830145,0.4327731,1.5,3.534588,3.8973708,4.962894,4.324575,2.9834301,24
35124039,T3(16)/SSmoother(42)_H05,1.7819072,123.94521,170.0,76.0,25.473886,282.46176,158.51654,3.41604,75.12979,64.0,29.0,8.187418,106.22604,31.096252,2.049903,234.0,25.473886,0.44871795,1.5,3.5387728,4.1449676,5.059477,4.2767477,2.9421737,24
38007380,T3(18)/ALMA(63)_H05,2.5584724,139.29778,123.0,59.0,13.827953,228.67876,89.38097,3.5138786,40.37161,36.0,15.0,4.603463,56.431103,16.05949,2.7039893,159.0,13.827953,0.4654088,1.3734283,4.7683167,3.0149467,5.6085043,4.2108054,2.78707,24
35648086,T3(16)/SSmoother(42)_H05,1.7512213,139.02895,198.0,84.0,40.98765,324.09952,185.07057,3.334194,84.56723,73.0,35.0,8.094761,120.79697,36.229736,2.0103745,271.0,40.98765,0.4391144,1.5,3.64692,4.497963,5.268729,4.202772,2.7539582,24
38007383,T3(18)/ALMA(63)_H05,2.552232,139.07828,123.0,58.0,13.827953,228.67719,89.5989,3.5138786,40.37161,36.0,15.0,4.603463,56.431103,16.05949,2.698397,159.0,13.827953,0.4591195,1.3767865,4.721014,3.0149467,5.562373,4.1974907,2.7806175,24
33813335,ALMA(24)/SMA(57)_H05,3.4699368,132.80026,81.0,39.0,6.898245,186.56693,53.766663,5.8513827,35.789112,18.0,8.0,2.0079217,43.166206,7.377095,3.7572622,99.0,6.898245,0.47474748,1.5,4.8700185,2.767801,5.595691,4.192392,2.5030746,24
35107398,T3(16)/SSmoother(42)_H05,1.6900554,120.6525,191.0,82.0,29.240995,295.49713,174.84465,3.1418386,76.02474,76.0,32.0,8.060966,111.51983,35.495087,1.9350455,267.0,29.240995,0.42696628,1.5,3.3867772,4.115579,4.920815,4.1902356,2.8720005,24
38007638,ALMA(24)/SMA(57)_H05,3.5956917,134.68068,81.0,39.0,6.898245,186.56693,51.88624,5.4904785,35.304195,19.0,8.0,2.2938788,43.166206,7.8620114,3.8450186,100.0,6.898245,0.47,1.5,4.975714,2.6846318,5.661985,4.1705194,2.4183705,24
39039812,T3(16)/SSmoother(42)_H05,1.7730939,121.02281,164.0,73.0,26.851925,277.56628,156.54349,3.535685,74.636734,64.0,28.0,6.281157,104.07128,29.434544,2.0520573,228.0,26.851925,0.44298247,1.5,3.4432495,4.1475058,4.9753933,4.15979,2.8942897,24
37942102,ALMA(24)/SMA(57)_H05,3.1344848,111.46338,84.0,41.0,6.898245,163.68365,52.220276,5.2702813,35.04393,22.0,9.0,4.5617824,43.2504,8.20647,3.424544,106.0,6.898245,0.4716981,1.5,4.6728554,2.7950044,5.463257,4.154888,2.6118827,24
39318103,T3(16)/SSmoother(42)_H05,1.8448243,140.2856,188.0,78.0,42.56233,306.3386,166.053,2.9521747,69.82056,71.0,31.0,8.094761,105.58608,35.765526,2.041065,259.0,42.56233,0.4208494,1.5,3.8193529,3.8852499,5.160257,4.1547236,2.737632,24
35107655,T3(16)/SSmoother(42)_H05,1.7241172,115.91745,167.0,73.0,23.710453,275.99854,160.08107,3.3845336,75.77652,68.0,30.0,8.187418,107.55486,31.778341,1.9991379,235.0,23.710453,0.43829787,1.5,3.297621,4.1857524,4.8678083,4.1449337,2.9179971,24
39842388,T3(16)/SSmoother(42)_H05,1.7430502,136.88779,202.0,83.0,44.85689,321.11194,184.22414,2.932085,73.82738,75.0,33.0,8.094761,112.03862,38.211246,1.9473097,277.0,44.85689,0.41877255,1.5,3.613894,3.9893603,5.0164156,4.1374454,2.7713525,24
35107430,T3(16)/SSmoother(42)_H05,1.7353095,121.513466,183.0,81.0,29.882751,286.76834,165.25485,3.1091433,74.64097,71.0,31.0,8.6618185,110.030205,35.38924,1.9776239,254.0,29.882751,0.44094488,1.5,3.5044184,4.0280128,5.002019,4.1302085,2.8341677,24
35107654,T3(16)/SSmoother(42)_H05,1.7241172,115.91745,167.0,73.0,23.710453,275.99854,160.08107,3.3914478,75.84131,68.0,30.0,8.187418,107.55486,31.713554,1.9998132,235.0,23.710453,0.43829787,1.5,3.297621,4.190947,4.8699155,4.120986,2.9001586,24
39039556,T3(16)/SSmoother(42)_H05,1.7266468,124.57205,189.0,81.0,32.893047,296.0062,171.43413,3.185537,73.24342,72.0,29.0,6.652621,106.75621,33.512783,1.9652035,261.0,32.893047,0.42145595,1.5,3.4931786,3.9455435,4.9408417,4.114882,2.8061051,24
35107399,T3(16)/SSmoother(42)_H05,1.6900554,120.6525,191.0,82.0,29.240995,295.49713,174.84465,3.1361144,75.95995,76.0,32.0,8.060966,111.51983,35.55987,1.9344497,267.0,29.240995,0.42696628,1.5,3.3867772,4.1106615,4.918773,4.094941,2.8075495,24
35091287,T3(16)/SSmoother(42)_H05,1.8394581,129.90326,151.0,65.0,27.265736,284.6498,154.74655,3.206159,69.41913,59.0,28.0,7.107637,100.885185,31.466055,2.0704024,210.0,27.265736,0.44285715,1.5,3.4555094,3.9190805,4.826575,4.0768533,2.925602,24
39301716,T3(16)/SSmoother(42)_H05,1.7715098,131.13657,189.0,78.0,40.008293,301.11053,169.97397,2.5161953,55.2617,74.0,31.0,9.17041,91.70931,36.447617,1.902998,263.0,40.008293,0.41444868,1.4203677,3.5935287,3.4210393,4.7189517,4.054653,2.9241138,24
33813079,T3(18)/ALMA(63)_H05,2.47098,136.13203,123.0,58.0,13.827953,228.67719,92.54514,4.0390654,43.659515,34.0,16.0,4.089201,58.025616,14.366098,2.68169,157.0,13.827953,0.4713376,1.5,4.5819736,3.3902879,5.5681176,4.050651,2.6042986,24
39842391,T3(16)/SSmoother(42)_H05,1.7409822,136.66829,202.0,82.0,45.076397,321.11035,184.44208,2.932085,73.82738,75.0,33.0,8.094761,112.03862,38.211246,1.9453965,277.0,45.076397,0.41516244,1.5,3.5909605,3.9893603,4.9927073,4.050595,2.7158463,24
35648343,T3(16)/SSmoother(42)_H05,1.758413,131.86841,176.0,75.0,34.45554,305.74258,173.87416,3.41663,79.320015,65.0,31.0,8.221212,112.14259,32.822575,2.021731,241.0,34.45554,0.43983403,1.5,3.466734,4.2981477,5.007277,4.0372877,2.7772088,24
35648327,T3(16)/SSmoother(42)_H05,1.7195528,129.92728,186.0,81.0,26.958399,310.494,180.56673,3.316565,79.16755,69.0,30.0,8.231819,113.342094,34.174545,1.9737058,255.0,26.958399,0.43529412,1.5,3.4601624,4.130672,4.9740334,4.0022945,2.746847,24
35107414,T3(16)/SSmoother(42)_H05,1.7623436,131.54486,186.0,79.0,38.28952,304.0981,172.55325,2.7026646,59.231937,72.0,32.0,8.094761,94.01973,34.78779,1.9201113,258.0,38.28952,0.43023255,1.5,3.5725143,3.6892815,4.800589,3.9877138,2.7980855,24
33747799,ALMA(24)/SMA(57)_H05,3.0255368,109.582954,84.0,41.0,6.898245,163.68365,54.100697,5.601257,35.528847,21.0,9.0,4.0768657,43.2504,7.721553,3.3472424,105.0,6.898245,0.47619048,1.5,4.5557594,2.8751273,5.387913,3.9805079,2.5746014,24
35648071,T3(16)/SSmoother(42)_H05,1.6800094,133.44121,210.0,90.0,37.91831,329.67557,196.23438,3.2460132,84.09701,77.0,34.0,8.105367,121.5398,37.442795,1.9309348,287.0,37.91831,0.43205574,1.5,3.5119412,4.3414545,5.110405,3.9707077,2.6398785,24
38531924,ALMA(24)/SMA(57)_H00,2.5947485,132.41177,104.0,48.0,12.311877,215.44165,83.02988,4.834394,41.732212,24.0,10.0,2.5175948,52.615868,10.883653,2.8543015,128.0,12.311877,0.453125,1.5,4.3619266,2.861203,5.1851764,3.967907,2.6817324,24
38531927,ALMA(24)/SMA(57)_H00,2.5947485,132.41177,104.0,48.0,12.311877,215.44165,83.02988,4.834394,41.732212,24.0,10.0,2.5175948,52.615868,10.883653,2.8543015,128.0,12.311877,0.453125,1.5,4.3619266,2.861203,5.1851764,3.967907,2.6817324,24
33813332,ALMA(24)/SMA(57)_H05,3.6108885,134.90019,81.0,40.0,6.898245,186.5685,51.66831,5.4904785,35.304195,19.0,8.0,2.2938788,43.166206,7.8620114,3.859121,100.0,6.898245,0.48,1.5,5.060433,2.6846318,5.744126,3.9592428,2.2874672,24
38007383,T3(20)/SMA(33)_H05,2.6151264,135.9738,116.0,53.0,12.382539,220.16151,84.18771,4.4895654,43.26391,31.0,14.0,3.8782523,55.661987,12.39808,2.8557355,147.0,12.382539,0.45578232,1.5,4.616147,3.318518,5.5751967,3.9511175,2.4716265,24
38007380,T3(20)/SMA(33)_H05,2.6151264,135.9738,116.0,53.0,12.382539,220.16151,84.18771,4.4895654,43.26391,31.0,14.0,3.8782523,55.661987,12.39808,2.8557355,147.0,12.382539,0.45578232,1.5,4.616147,3.318518,5.5751967,3.9511175,2.4716265,24
38007382,T3(20)/SMA(33)_H05,2.6151264,135.9738,116.0,53.0,12.382539,220.16151,84.18771,4.4895654,43.26391,31.0,14.0,3.8782523,55.661987,12.39808,2.8557355,147.0,12.382539,0.45578232,1.5,4.616147,3.318518,5.5751967,3.9511175,2.4716265,24
35107431,T3(16)/SSmoother(42)_H05,1.7353095,121.513466,183.0,81.0,29.882751,286.76834,165.25485,3.1034617,74.57618,71.0,31.0,8.6618185,110.030205,35.454025,1.9769856,254.0,29.882751,0.44094488,1.5,3.5044184,4.023047,4.9999065,3.9411335,2.7052968,24
35648342,T3(16)/SSmoother(42)_H05,1.758413,131.86841,176.0,75.0,34.45554,305.74258,173.87416,3.4233904,79.384834,65.0,31.0,8.221212,112.14259,32.75776,2.022365,241.0,34.45554,0.43983403,1.5,3.466734,4.3034506,5.009253,3.9317439,2.7037585,24
35336998,ALMA(24)/SMA(57)_H00,1.7694497,101.07135,176.0,79.0,17.07733,232.42671,131.35536,4.3666744,75.793564,65.0,33.0,3.4960113,98.30645,22.512886,2.1494567,241.0,17.07733,0.4647303,1.5,3.565262,5.1063786,5.5098915,3.9242895,2.5390692,24
35107446,T3(16)/SSmoother(42)_H05,1.7717769,127.68151,181.0,79.0,38.942806,293.11987,165.43837,2.7710855,59.166836,67.0,31.0,7.778957,92.573944,33.407104,1.939666,248.0,38.942806,0.44354838,1.5,3.5887005,3.7037115,4.8274555,3.9219296,2.7745533,24
38007639,ALMA(24)/SMA(54)_H05,3.2987258,128.05896,78.0,37.0,8.365394,183.76762,55.708668,5.493015,35.2335,20.0,10.0,2.2938788,43.075344,7.8418403,3.5694911,98.0,8.365394,0.47959185,1.5,4.590645,3.0946136,5.437198,3.918935,2.4781742,24
35123780,T3(16)/SSmoother(42)_H05,1.7428317,127.42852,197.0,84.0,34.873665,298.97278,171.54427,2.9523513,71.20776,74.0,30.0,8.060966,107.68058,36.472824,1.9549036,271.0,34.873665,0.42066422,1.5,3.6156707,3.8159525,4.996283,3.9124942,2.6364946,24
35369798,T3(16)/SSmoother(42)_H05,1.7888981,136.32564,181.0,79.0,22.286438,309.13074,172.80511,3.3176734,72.07013,66.0,29.0,6.13277,103.16602,31.095894,2.0220437,247.0,22.286438,0.43724698,1.5,3.6438122,4.0642853,5.0584345,3.9065247,2.656066,24
35107415,T3(16)/SSmoother(42)_H05,1.7623436,131.54486,186.0,79.0,38.28952,304.0981,172.55325,2.6976383,59.16712,72.0,32.0,8.094761,94.01973,34.852608,1.9195112,258.0,38.28952,0.43023255,1.5,3.5725143,3.6836767,4.798535,3.9055777,2.7413094,24
34533958,T3(16)/SSmoother(42)_H05,1.8134813,130.88759,179.0,81.0,25.887848,291.78564,160.89807,3.35388,72.3079,64.0,26.0,7.3112226,103.026505,30.718601,2.060427,243.0,25.887848,0.44032922,1.5,3.747984,3.857386,5.1497917,3.8990636,2.6215594,24
33731380,ALMA(24)/SMA(57)_H05,2.9136326,100.75262,80.0,39.0,7.634954,153.40254,52.649925,4.8139105,40.558178,27.0,11.0,2.9230523,51.192455,10.634277,3.2329555,107.0,7.634954,0.46728972,1.5,4.319277,2.9868586,5.2633467,3.8954794,2.5794444,24
35336966,ALMA(24)/SMA(57)_H00,1.690205,96.29399,183.0,79.0,21.661081,235.80907,139.51508,4.5319715,77.36201,66.0,35.0,3.2879312,99.26536,21.90335,2.0758128,249.0,21.661081,0.45783132,1.5,3.3217447,5.385783,5.341962,3.8945873,2.569681,24
39531270,ALMA(24)/SMA(57)_H00,1.690205,96.29399,183.0,79.0,21.661081,235.80907,139.51508,4.5319715,77.36201,66.0,35.0,3.2879312,99.26536,21.90335,2.0758128,249.0,21.661081,0.45783132,1.5,3.3217447,5.385783,5.341962,3.8945873,2.569681,24
37991188,ALMA(24)/SMA(57)_H05,3.4097986,133.32253,81.0,39.0,7.634954,188.64769,55.325172,4.0269327,24.509706,21.0,8.0,4.626301,32.606915,8.097209,3.4885888,102.0,7.634954,0.46078432,1.1809884,4.817307,2.3439639,5.349554,3.8932517,2.7708437,24
33796884,ALMA(24)/SMA(57)_H05,3.4097986,133.32253,81.0,39.0,7.634954,188.64769,55.325172,4.0269327,24.509706,21.0,8.0,4.626301,32.606915,8.097209,3.4885888,102.0,7.634954,0.46078432,1.1809884,4.817307,2.3439639,5.349554,3.8932517,2.7708437,24
35369799,T3(16)/SSmoother(42)_H05,1.7888981,136.32564,181.0,79.0,22.286438,309.13074,172.80511,3.3107755,72.00534,66.0,29.0,6.13277,103.16602,31.16068,2.0214014,247.0,22.286438,0.43724698,1.5,3.6438122,4.0590153,5.056416,3.8891587,2.645099,24
