config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
35060044,Tenkan(22)/ALMA(75)_H00,1.5304853,439.11176,925.0,460.0,32.380417,1266.8665,827.75476,1.4108535,94.5891,443.0,228.0,23.296333,324.81494,230.22585,1.5044523,1368.0,32.380417,0.50292397,0.9218341,6.3685746,3.6033657,7.4585586,9.58699,5.9525795,23
35060045,Tenkan(22)/ALMA(75)_H00,1.5304853,439.11176,925.0,460.0,32.380417,1266.8665,827.75476,1.4108535,94.5891,443.0,228.0,23.296333,324.81494,230.22585,1.5044523,1368.0,32.380417,0.50292397,0.9218341,6.3685746,3.6033657,7.4585586,9.58699,5.9525795,23
35060046,Tenkan(22)/ALMA(75)_H00,1.5304853,439.11176,925.0,460.0,32.380417,1266.8665,827.75476,1.4062235,93.831085,443.0,228.0,23.296333,324.81494,230.98387,1.5033752,1368.0,32.380417,0.50292397,0.91880894,6.3685746,3.569446,7.44582,9.547201,5.9418797,23
35060047,Tenkan(22)/ALMA(75)_H00,1.5304853,439.11176,925.0,460.0,32.380417,1266.8665,827.75476,1.4062235,93.831085,443.0,228.0,23.296333,324.81494,230.98387,1.5033752,1368.0,32.380417,0.50292397,0.91880894,6.3685746,3.569446,7.44582,9.547201,5.9418797,23
35059979,Tenkan(24)/EMA(48)_H00,1.485541,517.9115,1334.0,637.0,28.438631,1584.5807,1066.6691,1.2117693,74.59931,708.0,326.0,29.785975,426.86606,352.26675,1.4175742,2042.0,29.785975,0.47159648,0.8157091,7.0655174,2.5205805,7.7168345,9.324812,5.8518167,23
35977549,Tenkan(22)/ALMA(75)_H00,1.530123,431.98633,901.0,448.0,33.741867,1246.8658,814.87946,1.4286247,95.241005,422.0,219.0,20.297508,317.44235,222.20134,1.5083764,1323.0,33.741867,0.50415725,0.9336666,6.281828,3.6473427,7.3839707,9.306516,5.782513,23
35977548,Tenkan(22)/ALMA(75)_H00,1.530123,431.98633,901.0,448.0,33.741867,1246.8658,814.87946,1.4286247,95.241005,422.0,219.0,20.297508,317.44235,222.20134,1.5083764,1323.0,33.741867,0.50415725,0.9336666,6.281828,3.6473427,7.3839707,9.303657,5.780737,23
34928973,Tenkan(22)/ALMA(75)_H00,1.5394425,438.4228,892.0,443.0,36.738537,1251.1559,812.7331,1.431881,92.63136,415.0,216.0,21.28704,307.11493,214.48357,1.5169835,1307.0,36.738537,0.5042081,0.9301295,6.3351846,3.641263,7.43824,9.289819,5.7707095,23
34928972,Tenkan(22)/ALMA(75)_H00,1.5394425,438.4228,892.0,443.0,36.738537,1251.1559,812.7331,1.431881,92.63136,415.0,216.0,21.28704,307.11493,214.48357,1.5169835,1307.0,36.738537,0.5042081,0.9301295,6.3351846,3.641263,7.43824,9.28696,5.768934,23
35977551,Tenkan(22)/ALMA(75)_H00,1.530123,431.98633,901.0,448.0,33.741867,1246.8658,814.87946,1.4237677,94.48299,422.0,219.0,20.297508,317.44235,222.95937,1.5072746,1323.0,33.741867,0.50415725,0.93049234,6.281828,3.6130106,7.371185,9.265596,5.771116,23
35977550,Tenkan(22)/ALMA(75)_H00,1.530123,431.98633,901.0,448.0,33.741867,1246.8658,814.87946,1.4237677,94.48299,422.0,219.0,20.297508,317.44235,222.95937,1.5072746,1323.0,33.741867,0.50415725,0.93049234,6.281828,3.6130106,7.371185,9.261933,5.768834,23
34928975,Tenkan(22)/ALMA(75)_H00,1.5394425,438.4228,892.0,443.0,36.738537,1251.1559,812.7331,1.4268383,91.873344,415.0,216.0,21.28704,307.11493,215.24158,1.515865,1307.0,36.738537,0.5042081,0.9268539,6.3351846,3.6059709,7.425424,9.247153,5.7585945,23
