config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
741913,VIDYA(16)/KAMA(57)_H00,2.254543,40.011166,86.0,38.0,6.1207056,71.90418,31.89302,3.3066788,43.917088,58.0,24.0,4.068061,62.956184,19.039099,2.647845,144.0,6.1207056,0.43055555,1.4666736,3.3981783,3.6782873,5.051314,3.1780446,2.1928809,23
35961613,VIDYA(16)/KAMA(54)_H00,2.4940019,20.344463,31.0,18.0,4.105393,33.961895,13.617429,5.9065294,46.86712,28.0,20.0,2.8429577,56.41911,9.5519905,3.900875,59.0,4.105393,0.6440678,1.5,2.5235946,4.8832245,5.248929,3.050415,2.4578424,25
40155917,VIDYA(16)/KAMA(54)_H00,2.4940019,20.344463,31.0,18.0,4.105393,33.961895,13.617429,5.9065294,46.86712,28.0,20.0,2.8429577,56.41911,9.5519905,3.900875,59.0,4.105393,0.6440678,1.5,2.5235946,4.8832245,5.248929,3.050415,2.4578424,25
4149789,VIDYA(16)/KAMA(57)_H00,1.8539162,45.67785,100.0,43.0,9.430562,99.170044,53.492195,3.0959833,57.667698,61.0,22.0,7.429704,85.18113,27.513433,2.275782,161.0,9.430562,0.4037267,1.5,2.8435059,3.359236,4.5109386,3.0035741,2.2452798,23
4182557,VIDYA(16)/KAMA(57)_H00,1.8472135,46.22983,102.0,43.0,10.252553,100.79675,54.56692,3.0705802,57.44492,62.0,23.0,7.6596622,85.18831,27.743391,2.2595596,164.0,10.252553,0.40243903,1.5,2.8356378,3.4205823,4.513186,2.9457958,2.1963632,23
3101213,VIDYA(16)/KAMA(57)_H00,1.9529197,45.4818,92.0,41.0,9.430562,93.21069,47.72889,3.162388,58.6306,61.0,23.0,7.429704,85.74442,27.113821,2.3910825,153.0,9.430562,0.41830066,1.5,2.9726603,3.4873855,4.6914554,2.9454317,2.153452,23
8344093,VIDYA(16)/KAMA(57)_H00,1.8539162,45.67785,100.0,43.0,9.430562,99.170044,53.492195,3.0959833,57.667698,61.0,22.0,7.429704,85.18113,27.513433,2.275782,161.0,9.430562,0.4037267,1.5,2.8435059,3.359236,4.5109386,2.9347734,2.1938488,23
741897,VIDYA(16)/KAMA(57)_H00,2.0761232,37.260918,87.0,37.0,6.1207056,71.886055,34.62514,3.1346078,42.871956,59.0,24.0,4.4653463,62.956184,20.08423,2.464701,146.0,6.1207056,0.4178082,1.5,3.0660968,3.553986,4.711218,2.9190667,2.1236138,23
36519183,VIDYA(16)/KAMA(54)_H00,1.2121361,40.083027,364.0,157.0,20.708336,229.03255,188.94951,1.7607744,87.93873,205.0,99.0,14.576177,203.5298,115.59107,1.4203767,569.0,20.708336,0.44991213,1.452621,1.7886845,3.90644,4.051636,2.9100628,2.026838,24
3133981,VIDYA(16)/KAMA(57)_H00,1.9284631,46.02238,96.0,42.0,10.252553,95.59073,49.56835,3.1360552,58.407825,62.0,24.0,7.6596622,85.7516,27.343779,2.3577857,158.0,10.252553,0.4177215,1.5,2.964569,3.5477536,4.7007565,2.908307,2.119531,23
36502863,VIDYA(16)/KAMA(54)_H00,1.252547,46.240974,365.0,159.0,16.649523,229.33943,183.09845,1.6813948,82.75791,214.0,103.0,11.880562,204.2116,121.453674,1.4235692,579.0,16.649523,0.4525043,1.3423806,2.0939155,3.6798918,4.118026,2.90172,2.0843854,24
