config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
4219422,VIDYA(14)/KAMA(39)_H00,2.0802598,187.35516,157.0,63.0,18.663317,360.79044,173.43527,2.3519955,58.832756,56.0,25.0,12.378557,102.34825,43.515495,2.134764,213.0,18.663317,0.41314554,1.1306258,4.028813,2.8766353,4.8949966,3.1839082,2.5347207,23
25118,VIDYA(14)/KAMA(39)_H00,2.0802598,187.35516,157.0,63.0,18.663317,360.79044,173.43527,2.3519955,58.832756,56.0,25.0,12.378557,102.34825,43.515495,2.134764,213.0,18.663317,0.41314554,1.1306258,4.028813,2.8766353,4.8949966,3.1839082,2.5347207,23
51133503,VIDYA(14)/KAMA(39)_H00,1.2548387,243.74327,884.0,331.0,53.011395,1200.2041,956.4609,1.309313,115.567154,393.0,155.0,41.494007,489.19235,373.6252,1.2701408,1277.0,53.011395,0.38057947,1.0434115,3.162829,2.5239966,4.015199,3.1455457,2.2184114,23
4219423,VIDYA(14)/KAMA(39)_H00,2.015603,179.94534,170.0,64.0,19.169308,357.12613,177.18077,2.2744036,58.435066,60.0,24.0,12.086294,104.28794,45.852875,2.0688093,230.0,19.169308,0.38260868,1.1283985,3.9281454,2.7405112,4.746208,3.1235638,2.475104,23
25119,VIDYA(14)/KAMA(39)_H00,2.015603,179.94534,170.0,64.0,19.169308,357.12613,177.18077,2.2744036,58.435066,60.0,24.0,12.086294,104.28794,45.852875,2.0688093,230.0,19.169308,0.38260868,1.1283985,3.9281454,2.7405112,4.746208,3.1235638,2.475104,23
51133502,VIDYA(14)/KAMA(39)_H00,1.2555071,242.16066,872.0,328.0,53.011395,1189.9254,947.7647,1.3107797,115.34455,384.0,150.0,41.494007,486.4903,371.14575,1.2710612,1256.0,53.011395,0.38057324,1.0440241,3.1524506,2.498155,3.9936445,3.0912158,2.188525,23
51199038,VIDYA(14)/KAMA(39)_H00,1.2407743,233.08777,901.0,341.0,51.484566,1201.1638,968.07605,1.3173367,118.065346,389.0,155.0,41.494007,490.11603,372.05066,1.2620298,1290.0,51.484566,0.38449612,1.0617054,3.0489733,2.5730436,3.942483,3.0066476,2.1093433,23
51199039,VIDYA(14)/KAMA(39)_H00,1.236032,231.48204,918.0,346.0,52.254963,1212.2051,980.723,1.3104109,116.875656,401.0,161.0,41.494007,493.3949,376.51923,1.256666,1319.0,52.254963,0.3843821,1.0601755,3.021313,2.5696762,3.9157598,3.0034013,2.103887,23
25246,VIDYA(14)/KAMA(39)_H00,2.2670927,193.60434,135.0,53.0,13.274356,346.3985,152.79416,2.7296498,65.30706,47.0,23.0,7.0532546,103.064445,37.75739,2.3587472,182.0,13.274356,0.41758242,1.204031,4.0625715,3.147578,5.046384,2.9992437,2.2651927,23
4219550,VIDYA(14)/KAMA(39)_H00,2.2670927,193.60434,135.0,53.0,13.274356,346.3985,152.79416,2.7296498,65.30706,47.0,23.0,7.0532546,103.064445,37.75739,2.3587472,182.0,13.274356,0.41758242,1.204031,4.0625715,3.147578,5.046384,2.9992437,2.2651927,23
25247,VIDYA(14)/KAMA(39)_H00,2.2670927,193.60434,135.0,53.0,13.274356,346.3985,152.79416,2.7296498,65.30706,47.0,23.0,7.0532546,103.064445,37.75739,2.3587472,182.0,13.274356,0.41758242,1.204031,4.0625715,3.147578,5.046384,2.9749827,2.2468696,23
4219551,VIDYA(14)/KAMA(39)_H00,2.2670927,193.60434,135.0,53.0,13.274356,346.3985,152.79416,2.7296498,65.30706,47.0,23.0,7.0532546,103.064445,37.75739,2.3587472,182.0,13.274356,0.41758242,1.204031,4.0625715,3.147578,5.046384,2.9749827,2.2468696,23
25117,VIDYA(14)/KAMA(39)_H00,2.0354586,173.16962,171.0,62.0,19.169308,340.40918,167.23956,2.1756876,56.77083,61.0,27.0,15.495519,105.05817,48.287342,2.066876,232.0,19.169308,0.38362068,1.0688931,3.9212816,2.7553153,4.7670875,2.959753,2.4020288,23
4219421,VIDYA(14)/KAMA(39)_H00,2.0354586,173.16962,171.0,62.0,19.169308,340.40918,167.23956,2.1756876,56.77083,61.0,27.0,15.495519,105.05817,48.287342,2.066876,232.0,19.169308,0.38362068,1.0688931,3.9212816,2.7553153,4.7670875,2.959753,2.4020288,23
51132478,VIDYA(14)/KAMA(39)_H00,1.2472035,234.14378,866.0,328.0,51.2133,1181.314,947.1702,1.3051026,112.88436,382.0,150.0,41.834957,482.87265,369.98828,1.2634673,1248.0,51.2133,0.38301283,1.0464232,3.0589902,2.4568365,3.8919282,2.916371,2.0786803,22
51132479,VIDYA(14)/KAMA(39)_H00,1.245706,232.99246,866.0,327.0,51.2133,1181.2495,948.257,1.3057364,113.2488,381.0,150.0,41.834957,483.66196,370.41315,1.2625686,1247.0,51.2133,0.38251805,1.0481899,3.0403457,2.4597063,3.877562,2.9139621,2.0771809,22
51231806,VIDYA(14)/KAMA(39)_H00,1.2134379,218.88539,984.0,385.0,61.68464,1244.408,1025.5226,1.3139774,119.43985,418.0,168.0,37.158825,499.84894,380.4091,1.2406412,1402.0,61.68464,0.3944365,1.082855,2.8917913,2.6497009,3.8435519,2.9033237,2.0027483,23
51264575,VIDYA(14)/KAMA(39)_H00,1.2171955,219.59636,949.0,362.0,68.2207,1230.6503,1011.05396,1.3181841,119.324425,408.0,163.0,40.157223,494.34128,375.01685,1.2445191,1357.0,68.2207,0.38688284,1.0829682,2.8651392,2.6429524,3.8150215,2.8979664,2.011518,23
25133,VIDYA(14)/KAMA(39)_H00,2.0532563,174.46745,153.0,60.0,18.433964,340.11322,165.64578,2.2580693,55.852074,53.0,27.0,13.274428,100.24715,44.39507,2.0965462,206.0,18.433964,0.4223301,1.0997503,3.8779728,2.8312652,4.759078,2.8737142,2.4009664,23
51133487,VIDYA(14)/KAMA(39)_H00,1.251783,243.93683,900.0,335.0,55.77599,1212.7743,968.8375,1.2741326,105.62748,401.0,155.0,46.442238,490.9427,385.31522,1.2581425,1301.0,55.77599,0.37663335,1.0178542,3.1529663,2.2883134,3.886225,2.870577,2.0580435,23
51132477,VIDYA(14)/KAMA(39)_H00,1.23164,224.68945,977.0,346.0,58.667015,1194.6836,969.9941,1.2842617,107.71588,427.0,155.0,40.041855,486.64792,378.932,1.2464223,1404.0,58.667015,0.3568376,1.042725,3.012105,2.3915374,3.8182724,2.868657,2.0063808,22
34351165,VIDYA(14)/KAMA(39)_H00,1.2354065,225.84312,963.0,338.0,59.700077,1185.2181,959.375,1.3010802,112.03268,421.0,154.0,38.79144,484.135,372.10233,1.2537601,1384.0,59.700077,0.35549134,1.0531596,3.0245202,2.4984176,3.8836043,2.8647363,1.9901991,22
51231807,VIDYA(14)/KAMA(39)_H00,1.2079974,216.38968,1003.0,388.0,62.481937,1256.7373,1040.3477,1.3058223,118.18098,433.0,176.0,37.158825,504.61774,386.43674,1.2344927,1436.0,62.481937,0.39275765,1.080981,2.845317,2.645505,3.798693,2.8554492,1.9677291,23
