config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
2603464,FRAMA(24)/SSmoother(49)_H00,1.3702503,249.97382,582.0,244.0,55.77983,925.1218,675.1481,1.1415662,42.067345,325.0,138.0,29.88838,339.22424,297.15692,1.3003595,907.0,55.77983,0.42116868,0.8331077,3.627455,1.1664591,3.8048177,3.0354314,2.5992236,23
2603336,FRAMA(24)/SSmoother(49)_H00,1.3702503,249.97382,582.0,244.0,55.77983,925.1218,675.1481,1.1415662,42.067345,325.0,138.0,29.88838,339.22424,297.15692,1.3003595,907.0,55.77983,0.42116868,0.8331077,3.627455,1.1664591,3.8048177,3.0354314,2.5992236,23
2472264,FRAMA(24)/SSmoother(49)_H00,1.3596863,238.25316,554.0,225.0,53.804054,900.6447,662.39154,1.1762044,48.09714,303.0,126.0,29.81826,321.0593,272.96216,1.3061411,857.0,53.804054,0.40956825,0.8650558,3.4259505,1.370626,3.7325034,2.9658952,2.5272524,23
2472392,FRAMA(24)/SSmoother(49)_H00,1.3596863,238.25316,554.0,225.0,53.804054,900.6447,662.39154,1.1762044,48.09714,303.0,126.0,29.81826,321.0593,272.96216,1.3061411,857.0,53.804054,0.40956825,0.8650558,3.4259505,1.370626,3.7325034,2.9658952,2.5272524,23
3357048,VIDYA(14)/KAMA(45)_H05,1.5862216,198.91833,282.0,146.0,47.65744,538.2411,339.32278,1.6469014,70.59869,139.0,61.0,13.402862,179.73232,109.13363,1.600988,421.0,47.65744,0.49168646,1.0382543,3.8348851,2.776796,4.722188,2.8098772,2.303941,23
3357176,VIDYA(14)/KAMA(45)_H05,1.5862216,198.91833,282.0,146.0,47.65744,538.2411,339.32278,1.6469014,70.59869,139.0,61.0,13.402862,179.73232,109.13363,1.600988,421.0,47.65744,0.49168646,1.0382543,3.8348851,2.776796,4.722188,2.8098772,2.303941,23
2734408,FRAMA(24)/SSmoother(49)_H00,1.3693451,257.0301,592.0,241.0,43.58705,952.9378,695.9077,1.1254765,32.60178,318.0,141.0,26.48478,292.42554,259.82376,1.3030473,910.0,43.58705,0.41978022,0.8219086,3.6218843,1.039025,3.8370051,2.7655103,2.3767323,23
2734536,FRAMA(24)/SSmoother(49)_H00,1.3693451,257.0301,592.0,241.0,43.58705,952.9378,695.9077,1.1254765,32.60178,318.0,141.0,26.48478,292.42554,259.82376,1.3030473,910.0,43.58705,0.41978022,0.8219086,3.6218843,1.039025,3.8370051,2.7655103,2.3767323,23
22115258,VIDYA(14)/KAMA(45)_H05,2.392492,207.94775,133.0,64.0,20.363808,357.2827,149.33496,1.876659,35.659473,53.0,27.0,18.84259,76.33603,40.676556,2.2820656,186.0,20.363808,0.48924732,0.7843951,4.658458,2.23104,5.2818484,2.763794,2.6435843,23
22115259,VIDYA(14)/KAMA(45)_H05,2.392492,207.94775,133.0,64.0,20.363808,357.2827,149.33496,1.876659,35.659473,53.0,27.0,18.84259,76.33603,40.676556,2.2820656,186.0,20.363808,0.48924732,0.7843951,4.658458,2.23104,5.2818484,2.763794,2.6435843,23
3225976,VIDYA(14)/KAMA(45)_H05,1.593274,191.56612,255.0,129.0,42.99841,514.46265,322.8965,1.7245159,75.49504,126.0,53.0,18.0159,179.69571,104.20066,1.6252937,381.0,42.99841,0.47769028,1.0823724,3.6628356,2.8277912,4.5956273,2.7622507,2.275104,23
3226104,VIDYA(14)/KAMA(45)_H05,1.593274,191.56612,255.0,129.0,42.99841,514.46265,322.8965,1.7245159,75.49504,126.0,53.0,18.0159,179.69571,104.20066,1.6252937,381.0,42.99841,0.47769028,1.0823724,3.6628356,2.8277912,4.5956273,2.7622507,2.275104,23
3226107,VIDYA(14)/KAMA(45)_H05,1.6292733,199.4828,251.0,129.0,35.08173,516.4878,317.005,1.6512798,70.87363,125.0,53.0,18.683931,179.69571,108.822075,1.6348971,376.0,35.08173,0.48404256,1.013507,3.8157506,2.6168015,4.634313,2.75653,2.3451807,23
3226106,VIDYA(14)/KAMA(45)_H05,1.6292733,199.4828,251.0,129.0,35.08173,516.4878,317.005,1.6512798,70.87363,125.0,53.0,18.683931,179.69571,108.822075,1.6348971,376.0,35.08173,0.48404256,1.013507,3.8157506,2.6168015,4.634313,2.7533934,2.3425121,23
