config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
54508396,ALMA(24)/VIDYA(66)_H05,2.0655336,314.31723,162.0,64.0,55.656822,609.3029,294.98572,2.6667576,90.6927,57.0,22.0,28.24259,145.10536,54.412655,2.1591637,219.0,55.656822,0.39269406,1.2910744,4.0314116,3.0275295,4.9162803,4.0267305,2.926233,24
52411244,ALMA(24)/VIDYA(66)_H05,2.1438203,328.66678,158.0,64.0,47.32532,616.00806,287.34128,2.600167,88.36328,55.0,22.0,30.108107,143.58456,55.221283,2.2173836,213.0,47.32532,0.40375587,1.2128662,4.1999536,2.9660196,5.0510736,3.8742871,2.8669717,24
52427628,ALMA(24)/VIDYA(66)_H05,2.2906055,382.17807,165.0,69.0,52.42532,678.30115,296.12305,2.4002721,81.98099,57.0,22.0,23.835257,140.52745,58.546467,2.3087087,222.0,52.42532,0.4099099,1.0478767,4.6703663,2.7672625,5.4112344,3.8431177,2.8802085,24
52394860,ALMA(24)/VIDYA(66)_H05,2.3067405,383.0762,160.0,67.0,54.57725,676.23016,293.15396,2.4122593,82.086464,56.0,22.0,23.729778,140.21068,58.124214,2.3242004,216.0,54.57725,0.41203704,1.0457437,4.6345587,2.7787898,5.3857985,3.8330786,2.8945653,24
53443118,ALMA(24)/VIDYA(66)_H05,2.033614,407.20023,221.0,89.0,53.935112,801.158,393.9578,1.789229,86.57885,99.0,47.0,21.76475,196.27939,109.70053,1.980385,320.0,53.935112,0.425,0.8798273,4.659474,2.7721672,5.544223,3.8035884,3.069129,24
53443119,ALMA(24)/VIDYA(66)_H05,2.033614,407.20023,221.0,89.0,53.935112,801.158,393.9578,1.789229,86.57885,99.0,47.0,21.76475,196.27939,109.70053,1.980385,320.0,53.935112,0.425,0.8798273,4.659474,2.7721672,5.544223,3.799088,3.0654979,24
53377582,ALMA(24)/VIDYA(66)_H05,2.097635,420.3442,215.0,87.0,51.78832,803.29865,382.95447,1.7855964,86.180336,99.0,47.0,22.163263,195.88087,109.70053,2.0281525,314.0,51.78832,0.42675158,0.85124266,4.777553,2.7631345,5.6695924,3.7948024,3.0647426,24
53377583,ALMA(24)/VIDYA(66)_H05,2.097635,420.3442,215.0,87.0,51.78832,803.29865,382.95447,1.7855964,86.180336,99.0,47.0,22.163263,195.88087,109.70053,2.0281525,314.0,51.78832,0.42675158,0.85124266,4.777553,2.7631345,5.6695924,3.7903907,3.0611794,24
52394542,ALMA(24)/VIDYA(66)_H05,2.245576,490.09802,232.0,99.0,56.90636,883.569,393.47098,1.5912607,70.71998,108.0,45.0,24.336115,190.32877,119.60879,2.0930424,340.0,56.90636,0.42352942,0.7086203,5.474494,2.2524388,6.109291,3.76863,3.1238728,24
52394543,ALMA(24)/VIDYA(66)_H05,2.245576,490.09802,232.0,99.0,56.90636,883.569,393.47098,1.5912607,70.71998,108.0,45.0,24.336115,190.32877,119.60879,2.0930424,340.0,56.90636,0.42352942,0.7086203,5.474494,2.2524388,6.109291,3.7629685,3.1191797,24
52427629,ALMA(24)/VIDYA(66)_H05,2.2906055,382.17807,165.0,69.0,52.42532,678.30115,296.12305,2.3297257,80.208145,57.0,22.0,25.608099,140.52745,60.31931,2.297226,222.0,52.42532,0.4099099,1.0170785,4.6703663,2.6905127,5.3843412,3.7603743,2.8748462,24
52427631,ALMA(24)/VIDYA(66)_H05,2.2906055,382.17807,165.0,69.0,52.42532,678.30115,296.12305,2.3297257,80.208145,57.0,22.0,25.608099,140.52745,60.31931,2.297226,222.0,52.42532,0.4099099,1.0170785,4.6703663,2.6905127,5.3843412,3.7603743,2.8748462,24
52427630,ALMA(24)/VIDYA(66)_H05,2.2906055,382.17807,165.0,69.0,52.42532,678.30115,296.12305,2.3297257,80.208145,57.0,22.0,25.608099,140.52745,60.31931,2.297226,222.0,52.42532,0.4099099,1.0170785,4.6703663,2.6905127,5.3843412,3.7603743,2.8748462,24
52427324,ALMA(24)/VIDYA(66)_H05,2.1576147,461.6691,227.0,87.0,58.396523,860.4798,398.8107,1.6117307,71.71932,108.0,41.0,22.390625,188.95934,117.24001,2.0335968,335.0,58.396523,0.38208956,0.7469965,4.9474025,2.2364345,5.609542,3.7510293,3.1365898,24
52394863,ALMA(24)/VIDYA(66)_H05,2.3067405,383.0762,160.0,67.0,54.57725,676.23016,293.15396,2.3408608,80.31362,56.0,22.0,25.50262,140.21068,59.897057,2.3125293,216.0,54.57725,0.41203704,1.0147916,4.6345587,2.701349,5.359006,3.749646,2.8889258,24
52394862,ALMA(24)/VIDYA(66)_H05,2.3067405,383.0762,160.0,67.0,54.57725,676.23016,293.15396,2.3408608,80.31362,56.0,22.0,25.50262,140.21068,59.897057,2.3125293,216.0,54.57725,0.41203704,1.0147916,4.6345587,2.701349,5.359006,3.749646,2.8889258,24
52394861,ALMA(24)/VIDYA(66)_H05,2.3067405,383.0762,160.0,67.0,54.57725,676.23016,293.15396,2.3408608,80.31362,56.0,22.0,25.50262,140.21068,59.897057,2.3125293,216.0,54.57725,0.41203704,1.0147916,4.6345587,2.701349,5.359006,3.749646,2.8889258,24
52394540,ALMA(24)/VIDYA(66)_H05,2.2060554,480.3308,230.0,96.0,56.90636,878.5968,398.26596,1.5859828,69.66738,108.0,44.0,24.336115,188.55719,118.88981,2.0635061,338.0,56.90636,0.41420117,0.7189225,5.297413,2.2209635,5.934163,3.6737275,3.0742784,24
52394556,ALMA(24)/VIDYA(66)_H05,2.1650646,459.09222,220.0,86.0,56.48089,853.141,394.04877,1.6722393,76.35077,105.0,41.0,23.890059,189.92755,113.576775,2.0547993,325.0,56.48089,0.39076924,0.77237386,4.9321704,2.3838027,5.648413,3.6627991,3.019931,24
53443240,ALMA(24)/VIDYA(54)_H00,1.9289582,387.607,223.0,87.0,53.235966,804.85614,417.2491,1.9809188,101.598114,95.0,46.0,20.860119,205.17255,103.57444,1.9392915,318.0,53.235966,0.418239,1.0269371,4.31948,3.1727684,5.3427463,3.6516545,2.7926874,24
53443112,ALMA(24)/VIDYA(54)_H00,1.9289582,387.607,223.0,87.0,53.235966,804.85614,417.2491,1.9809188,101.598114,95.0,46.0,20.860119,205.17255,103.57444,1.9392915,318.0,53.235966,0.418239,1.0269371,4.31948,3.1727684,5.3427463,3.6516545,2.7926874,24
52394796,ALMA(24)/VIDYA(66)_H05,2.091557,381.6986,195.0,80.0,56.857315,731.3813,349.68268,2.0866072,79.12429,70.0,28.0,25.31804,151.94205,72.81776,2.090704,265.0,56.857315,0.40754718,0.99763346,4.561317,2.6960413,5.299874,3.62614,2.8303506,24
54426158,ALMA(24)/VIDYA(66)_H05,2.1680098,456.7383,233.0,102.0,49.182518,847.77814,391.03983,1.5656656,71.234276,112.0,46.0,23.01735,197.16429,125.93002,2.0212831,345.0,49.182518,0.4289855,0.72216725,5.3390307,2.2088242,5.93026,3.6246793,3.0629022,24
54426159,ALMA(24)/VIDYA(66)_H05,2.1680098,456.7383,233.0,102.0,49.182518,847.77814,391.03983,1.5656656,71.234276,112.0,46.0,23.01735,197.16429,125.93002,2.0212831,345.0,49.182518,0.4289855,0.72216725,5.3390307,2.2088242,5.93026,3.6233013,3.0617378,24
54491694,ALMA(24)/VIDYA(66)_H05,2.1019955,442.93335,240.0,104.0,51.720654,844.87085,401.9375,1.5856049,73.74523,112.0,46.0,23.05155,199.67526,125.93002,1.9788035,352.0,51.720654,0.42613637,0.7543332,5.2077513,2.2667084,5.814976,3.6024518,3.0168104,24
54491695,ALMA(24)/VIDYA(66)_H05,2.1019955,442.93335,240.0,104.0,51.720654,844.87085,401.9375,1.5856049,73.74523,112.0,46.0,23.05155,199.67526,125.93002,1.9788035,352.0,51.720654,0.42613637,0.7543332,5.2077513,2.2667084,5.814976,3.6010458,3.015633,24
52263470,ALMA(24)/VIDYA(66)_H05,2.2232642,483.9576,228.0,96.0,56.90636,879.58563,395.62802,1.5085955,61.694977,105.0,42.0,25.226406,182.9996,121.30462,2.0555584,333.0,56.90636,0.4144144,0.67854977,5.3386974,1.9561847,5.864167,3.5900004,3.1240268,24
52263471,ALMA(24)/VIDYA(66)_H05,2.2232642,483.9576,228.0,96.0,56.90636,879.58563,395.62802,1.5085955,61.694977,105.0,42.0,25.226406,182.9996,121.30462,2.0555584,333.0,56.90636,0.4144144,0.67854977,5.3386974,1.9561847,5.864167,3.5846603,3.1193798,24
52427356,ALMA(24)/VIDYA(66)_H05,2.193176,434.33237,196.0,79.0,54.563004,798.34607,364.01367,1.7735162,79.90633,95.0,39.0,32.129406,183.20906,103.30273,2.100408,291.0,54.563004,0.4054983,0.808652,4.785364,2.5473125,5.5716615,3.577698,2.9598587,24
50625157,ALMA(24)/VIDYA(54)_H05,1.941253,254.54538,209.0,85.0,39.20036,524.97784,270.43246,2.025692,89.687965,95.0,34.0,27.632254,177.12938,87.441414,1.9618846,304.0,39.20036,0.39144737,1.0434972,4.289055,2.8894641,5.1631923,3.5600636,2.722753,24
54819461,ALMA(24)/VIDYA(54)_H05,1.941253,254.54538,209.0,85.0,39.20036,524.97784,270.43246,2.025692,89.687965,95.0,34.0,27.632254,177.12938,87.441414,1.9618846,304.0,39.20036,0.39144737,1.0434972,4.289055,2.8894641,5.1631923,3.5600636,2.722753,24
54442860,ALMA(24)/VIDYA(66)_H05,2.0955927,315.268,158.0,64.0,55.656822,603.02826,287.76022,2.6199825,88.147545,57.0,22.0,28.24259,142.5602,54.412655,2.1789818,215.0,55.656822,0.4,1.2502346,4.0927463,2.9849358,4.9602027,3.5537949,2.6238835,24
52427326,ALMA(24)/VIDYA(66)_H05,2.190235,469.99713,229.0,89.0,58.396523,864.87476,394.87766,1.659693,75.81151,106.0,42.0,22.390625,190.7309,114.91939,2.0706391,335.0,58.396523,0.39104477,0.7577694,5.081794,2.3757546,5.7885385,3.5523896,2.8965366,24
53377580,ALMA(24)/VIDYA(66)_H05,2.0678267,412.2562,213.0,84.0,51.78832,798.3265,386.07028,1.7811207,85.12774,99.0,46.0,22.163263,194.1093,108.98156,2.004711,312.0,51.78832,0.41666666,0.86134905,4.6251717,2.7333,5.516272,3.5484767,2.8902793,24
52427327,ALMA(24)/VIDYA(66)_H05,2.190235,469.99713,229.0,89.0,58.396523,864.87476,394.87766,1.659693,75.81151,106.0,42.0,22.390625,190.7309,114.91939,2.0706391,335.0,58.396523,0.39104477,0.7577694,5.081794,2.3757546,5.7885385,3.5465477,2.8917732,24
54410060,ALMA(24)/VIDYA(66)_H05,1.9290341,286.79572,170.0,65.0,62.38987,595.4988,308.7031,2.8419125,97.77242,59.0,25.0,22.320732,150.85443,53.082012,2.062974,229.0,62.38987,0.3930131,1.4732308,3.740286,3.3914196,4.7754235,3.5344422,2.4631417,24
