config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
34974991,T3(18)/ALMA(57)_H05,1.3828937,197.28667,487.0,200.0,58.765984,712.5384,515.2518,1.5456208,82.30905,231.0,101.0,23.816498,233.163,150.85394,1.4197468,718.0,58.765984,0.41922006,1.1176715,3.3915954,3.147183,4.462032,3.881739,2.8401155,23
20528399,T3(18)/ALMA(57)_H05,1.4525275,220.87169,455.0,176.0,54.85884,708.95624,488.08456,1.3871478,67.788,226.0,92.0,21.433002,242.88394,175.09595,1.4352655,681.0,54.85884,0.39353892,0.95498896,3.679953,2.325538,4.3902164,3.8574824,3.0758967,23
24722703,T3(18)/ALMA(57)_H05,1.4525275,220.87169,455.0,176.0,54.85884,708.95624,488.08456,1.3871478,67.788,226.0,92.0,21.433002,242.88394,175.09595,1.4352655,681.0,54.85884,0.39353892,0.95498896,3.679953,2.325538,4.3902164,3.7390227,2.9814389,23
39169295,T3(18)/ALMA(57)_H05,1.3828937,197.28667,487.0,200.0,58.765984,712.5384,515.2518,1.5456208,82.30905,231.0,101.0,23.816498,233.163,150.85394,1.4197468,718.0,58.765984,0.41922006,1.1176715,3.3915954,3.147183,4.462032,3.6985133,2.7060566,23
35499279,T3(18)/ALMA(57)_H05,1.389622,208.39282,520.0,216.0,63.523262,743.2519,534.8591,1.4770855,75.39754,244.0,107.0,20.492062,233.43535,158.03781,1.4095709,764.0,63.523262,0.42277488,1.0629405,3.5660317,2.916608,4.523127,3.652424,2.7025056,23
20970254,ALMA(20)/SMA(51)_H05,2.0831923,206.30716,150.0,72.0,34.021694,396.76932,190.46216,2.144951,80.72047,69.0,36.0,10.80215,151.2217,70.501236,2.099877,219.0,34.021694,0.49315068,1.0296462,4.23977,3.069842,5.2248664,3.5999894,3.01218,24
55950607,T3(18)/ALMA(57)_H05,1.3928608,202.1185,494.0,202.0,58.765984,716.5971,514.47864,1.469175,74.15202,234.0,100.0,23.816498,232.1997,158.04768,1.4107951,728.0,58.765984,0.41483516,1.0547895,3.4838147,2.7985282,4.4026294,3.5854998,2.7047594,23
35498255,T3(18)/ALMA(57)_H05,1.3881131,207.5858,520.0,216.0,63.523262,742.4448,534.8591,1.4575102,72.303925,243.0,106.0,20.492062,230.34174,158.03781,1.4039414,763.0,63.523262,0.42201835,1.0499939,3.554776,2.8115883,4.4676023,3.5781548,2.675685,22
34973967,T3(18)/ALMA(57)_H05,1.3812577,196.4437,487.0,200.0,58.765984,711.69543,515.2518,1.5251135,79.21544,230.0,100.0,23.816498,230.06937,150.85394,1.4138368,717.0,58.765984,0.41841003,1.1041484,3.3797622,3.0442958,4.4059277,3.5755801,2.6443465,22
51755279,T3(18)/ALMA(57)_H05,1.3912224,201.27553,494.0,202.0,58.765984,715.75415,514.47864,1.4821109,74.52515,232.0,99.0,23.816498,229.1061,154.58095,1.4122214,726.0,58.765984,0.41460055,1.0653299,3.4720137,2.845545,4.408169,3.5299456,2.6494544,22
