config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
3406219,VIDYA(18)/KAMA(54)_H00,6.854442,46.278267,35.0,28.0,3.207861,54.183083,7.9048123,6.1597495,26.55964,16.0,11.0,2.2889624,31.707108,5.147467,6.5804744,51.0,3.207861,0.7647059,0.89865077,6.3817825,3.6619017,7.3084183,5.381918,3.6812055,23
3406088,VIDYA(18)/KAMA(54)_H00,6.854442,46.278267,35.0,28.0,3.207861,54.183083,7.9048123,6.1597495,26.55964,16.0,11.0,2.2889624,31.707108,5.147467,6.5804744,51.0,3.207861,0.7647059,0.89865077,6.3817825,3.6619017,7.3084183,5.3803926,3.680162,23
3406216,VIDYA(18)/KAMA(54)_H00,6.854442,46.278267,35.0,28.0,3.207861,54.183083,7.9048123,6.1597495,26.55964,16.0,11.0,2.2889624,31.707108,5.147467,6.5804744,51.0,3.207861,0.7647059,0.89865077,6.3817825,3.6619017,7.3084183,5.3803926,3.680162,23
3389835,VIDYA(18)/KAMA(54)_H00,6.7382755,45.359993,34.0,27.0,3.207861,53.264805,7.9048123,6.1597495,26.55964,16.0,11.0,2.2889624,31.707108,5.147467,6.5101204,50.0,3.207861,0.76,0.9141433,6.202055,3.6619017,7.1649985,5.3236713,3.701782,23
3389704,VIDYA(18)/KAMA(54)_H00,6.7382755,45.359993,34.0,27.0,3.207861,53.264805,7.9048123,6.1597495,26.55964,16.0,11.0,2.2889624,31.707108,5.147467,6.5101204,50.0,3.207861,0.76,0.9141433,6.202055,3.6619017,7.1649985,5.3222795,3.7008142,23
3389832,VIDYA(18)/KAMA(54)_H00,6.7382755,45.359993,34.0,27.0,3.207861,53.264805,7.9048123,6.1597495,26.55964,16.0,11.0,2.2889624,31.707108,5.147467,6.5101204,50.0,3.207861,0.76,0.9141433,6.202055,3.6619017,7.1649985,5.3222795,3.7008142,23
2456972,VIDYA(18)/KAMA(54)_H00,5.370943,45.577282,43.0,28.0,3.1308901,56.004616,10.427334,8.123274,28.22379,18.0,14.0,1.6526165,32.18598,3.9621935,6.128804,61.0,3.1308901,0.6885246,1.5,5.410627,4.864312,7.141636,5.3051863,2.6586788,24
6651276,VIDYA(18)/KAMA(54)_H00,5.370943,45.577282,43.0,28.0,3.1308901,56.004616,10.427334,8.123274,28.22379,18.0,14.0,1.6526165,32.18598,3.9621935,6.128804,61.0,3.1308901,0.6885246,1.5,5.410627,4.864312,7.141636,5.3051863,2.6586788,24
6790540,VIDYA(18)/KAMA(54)_H00,4.9774723,46.12013,35.0,27.0,6.325128,57.71546,11.595336,20.995916,39.09785,15.0,13.0,1.6526165,41.053143,1.9552917,7.288858,50.0,6.325128,0.8,1.5,5.1756277,7.180843,7.878378,5.2374845,2.5392966,23
2596236,VIDYA(18)/KAMA(54)_H00,4.9774723,46.12013,35.0,27.0,6.325128,57.71546,11.595336,20.995916,39.09785,15.0,13.0,1.6526165,41.053143,1.9552917,7.288858,50.0,6.325128,0.8,1.5,5.1756277,7.180843,7.878378,5.2374845,2.5392966,23
