config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
35486352,T3(22)/FRAMA(30)_H05,1.381355,96.081276,208.0,120.0,23.89947,348.0283,251.94702,2.1099684,75.05921,93.0,60.0,9.756208,142.68205,67.62284,1.5355338,301.0,23.89947,0.59800667,1.5,2.3397503,3.674368,3.7484863,1.8324583,-0.77047276,25
39680656,T3(22)/FRAMA(30)_H05,1.381355,96.081276,208.0,120.0,23.89947,348.0283,251.94702,2.1099684,75.05921,93.0,60.0,9.756208,142.68205,67.62284,1.5355338,301.0,23.89947,0.59800667,1.5,2.3397503,3.674368,3.7484863,1.8324583,-0.77047276,25
39680640,T3(22)/FRAMA(30)_H05,1.303613,83.55454,216.0,123.0,27.89844,358.7554,275.20087,2.1980479,81.52607,97.0,62.0,9.318254,149.57516,68.049095,1.480934,313.0,27.89844,0.5910543,1.5,1.9540312,3.9562945,3.495648,1.797787,-0.8174809,25
35486336,T3(22)/FRAMA(30)_H05,1.303613,83.55454,216.0,123.0,27.89844,358.7554,275.20087,2.1980479,81.52607,97.0,62.0,9.318254,149.57516,68.049095,1.480934,313.0,27.89844,0.5910543,1.5,1.9540312,3.9562945,3.495648,1.797787,-0.8174809,25
39811728,T3(22)/FRAMA(30)_H05,1.2787032,76.74971,218.0,121.0,26.931753,352.1312,275.3815,1.9158807,69.60178,99.0,62.0,9.714292,145.59616,75.994385,1.4165097,317.0,26.931753,0.5772871,1.4982997,1.8193743,3.2844963,3.114889,1.7281046,-0.5245541,25
35617424,T3(22)/FRAMA(30)_H05,1.2787032,76.74971,218.0,121.0,26.931753,352.1312,275.3815,1.9158807,69.60178,99.0,62.0,9.714292,145.59616,75.994385,1.4165097,317.0,26.931753,0.5772871,1.4982997,1.8193743,3.2844963,3.114889,1.7281046,-0.5245541,25
38658605,T3(22)/FRAMA(30)_H05,1.2633302,44.871284,218.0,75.0,24.953634,215.27055,170.39928,2.0397027,52.133957,85.0,44.0,8.395212,102.2771,50.143147,1.4398485,303.0,24.953634,0.39273927,1.5,1.5749664,3.1900063,2.9508853,1.7232803,-3.1413765,23
35469952,T3(22)/FRAMA(30)_H05,1.208698,56.314796,207.0,116.0,31.09419,326.15347,269.83865,2.5252447,90.703094,91.0,61.0,8.812499,150.17099,59.46789,1.446447,298.0,31.09419,0.59395975,1.5,1.3650893,4.5512967,3.2039802,1.7185417,-0.92475706,25
39664256,T3(22)/FRAMA(30)_H05,1.208698,56.314796,207.0,116.0,31.09419,326.15347,269.83865,2.5252447,90.703094,91.0,61.0,8.812499,150.17099,59.46789,1.446447,298.0,31.09419,0.59395975,1.5,1.3650893,4.5512967,3.2039802,1.7185417,-0.92475706,25
35420816,T3(22)/FRAMA(30)_H05,1.2946335,76.14518,205.0,113.0,28.358002,334.5855,258.44034,1.9953743,71.06381,93.0,60.0,12.055445,142.45787,71.39405,1.446312,298.0,28.358002,0.5805369,1.5,1.8531275,3.394036,3.2024348,1.7183813,-1.3570141,25
39615120,T3(22)/FRAMA(30)_H05,1.2946335,76.14518,205.0,113.0,28.358002,334.5855,258.44034,1.9953743,71.06381,93.0,60.0,12.055445,142.45787,71.39405,1.446312,298.0,28.358002,0.5805369,1.5,1.8531275,3.394036,3.2024348,1.7183813,-1.3570141,25
38789669,T3(22)/FRAMA(30)_H05,1.2113146,40.95584,247.0,93.0,34.237244,234.7704,193.81456,1.9333099,48.08204,94.0,47.0,9.127704,99.59981,51.517765,1.3629277,341.0,34.237244,0.41055718,1.5,1.4217787,3.0848343,2.7158952,1.7165487,-2.982588,23
35519120,T3(22)/FRAMA(30)_H05,1.2650976,75.830185,225.0,124.0,30.151651,361.87643,286.04626,1.8851937,68.81915,99.0,61.0,10.200292,146.56389,77.744736,1.3976165,324.0,30.151651,0.57098764,1.4901568,1.7674872,3.1970303,3.0261,1.7165333,-0.8853176,25
39713424,T3(22)/FRAMA(30)_H05,1.2650976,75.830185,225.0,124.0,30.151651,361.87643,286.04626,1.8851937,68.81915,99.0,61.0,10.200292,146.56389,77.744736,1.3976165,324.0,30.151651,0.57098764,1.4901568,1.7674872,3.1970303,3.0261,1.7165333,-0.8853176,25
38593069,T3(22)/FRAMA(30)_H05,1.2539343,43.33515,218.0,74.0,24.953634,213.99019,170.65504,2.0397027,52.133957,85.0,44.0,8.395212,102.2771,50.143147,1.4323816,303.0,24.953634,0.38943896,1.5,1.5203559,3.1900063,2.9035375,1.7143435,-3.1823795,23
35519104,T3(22)/FRAMA(30)_H05,1.2131468,65.29535,232.0,127.0,33.0913,371.6352,306.33984,1.9761647,75.74171,103.0,64.0,8.58206,153.33282,77.59112,1.36735,335.0,33.0913,0.57014924,1.5,1.4737899,3.5085528,2.874633,1.7091697,-0.931278,25
39713408,T3(22)/FRAMA(30)_H05,1.2131468,65.29535,232.0,127.0,33.0913,371.6352,306.33984,1.9761647,75.74171,103.0,64.0,8.58206,153.33282,77.59112,1.36735,335.0,33.0913,0.57014924,1.5,1.4737899,3.5085528,2.874633,1.7091697,-0.931278,25
35469984,T3(22)/FRAMA(30)_H05,1.3428801,75.80307,189.0,112.0,28.570837,296.88055,221.07747,2.0408971,64.451324,84.0,52.0,9.270644,126.37034,61.919014,1.4956048,273.0,28.570837,0.6007326,1.5,2.0322554,3.3173697,3.3479302,1.7086686,-1.1329219,25
38724133,T3(22)/FRAMA(30)_H05,1.2031207,39.41971,247.0,92.0,34.237244,233.49002,194.07031,1.9333099,48.08204,94.0,47.0,9.127704,99.59981,51.517765,1.3562949,341.0,34.237244,0.40762463,1.5,1.3688717,3.0848343,2.6696208,1.708195,-2.9759498,23
39664288,T3(22)/FRAMA(30)_H05,1.3347363,69.81092,222.0,111.0,25.363455,278.3659,208.55498,1.8702967,51.165333,92.0,55.0,8.668213,109.95601,58.790676,1.4525088,314.0,25.363455,0.52866244,1.4012481,2.1361978,3.031925,3.2990165,1.7066145,-1.6002609,25
39811712,T3(22)/FRAMA(30)_H05,1.2142957,63.996296,226.0,124.0,31.831556,362.63162,298.63535,1.9986348,76.31564,103.0,65.0,9.276337,152.73561,76.41997,1.37411,329.0,31.831556,0.5744681,1.5,1.4617583,3.5736704,2.894273,1.7044027,-0.6397207,25
