config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
20075296,VIDYA(24)/FRAMA(51)_H00,5.213195,69.038025,32.0,26.0,5.1,85.42417,16.386145,9.511571,32.81779,18.0,15.0,3.2597954,36.67346,3.855668,6.031951,50.0,5.1,0.82,1.5,5.196993,5.564377,7.17296,2.5603476,0.12876178,22
20075424,VIDYA(24)/FRAMA(51)_H00,5.188544,68.63409,32.0,26.0,5.1,85.02023,16.386145,9.511571,32.81779,18.0,15.0,3.2597954,36.67346,3.855668,6.011996,50.0,5.1,0.82,1.5,5.1799617,5.564377,7.1580048,2.5518773,0.5894452,22
19059244,VIDYA(24)/FRAMA(51)_H00,3.4900048,48.888977,31.0,19.0,5.490641,68.52307,19.63409,6.020672,19.809553,16.0,11.0,1.8153175,23.755152,3.9455981,3.9134622,47.0,5.490641,0.63829786,1.5,3.4385345,3.6234798,4.6728973,2.5486119,2.4071827,22
2700750,EMA(24)/TEMA(60)_H00,1.6208814,65.402954,108.0,47.0,14.645726,170.74182,105.33887,2.7412515,72.80064,65.0,36.0,5.7960157,114.61001,41.809372,1.9392134,173.0,14.645726,0.47976878,1.5,2.3684118,3.9273572,4.1459217,2.5470407,2.151798,24
1764846,VIDYA(24)/FRAMA(51)_H00,1.2711947,44.41726,234.0,100.0,18.767492,208.20088,163.78363,2.0683897,53.0425,150.0,86.0,6.1876354,102.68965,49.647152,1.4566339,384.0,18.767492,0.484375,1.5,1.7763606,4.445368,3.6196442,2.5080323,1.9516379,24
1732078,VIDYA(24)/FRAMA(51)_H00,1.2739645,44.727596,231.0,99.0,18.767492,207.98814,163.26054,2.063304,52.79001,149.0,85.0,6.1876354,102.43716,49.647152,1.4580276,380.0,18.767492,0.48421052,1.5,1.7816732,4.410495,3.6093748,2.4455914,1.9094113,24
3861998,VIDYA(24)/FRAMA(51)_H00,1.2747115,45.955147,241.0,103.0,19.7202,213.24023,167.2851,1.9184866,50.45761,161.0,88.0,6.4327207,105.39321,54.935596,1.4338604,402.0,19.7202,0.4751244,1.5,1.8229687,4.0959945,3.5382996,2.4410305,1.8940517,24
19266528,EMA(24)/TEMA(60)_H00,4.2692895,24.325924,30.0,18.0,2.3312628,31.76666,7.4407372,16.834955,18.311209,17.0,14.0,0.5384042,19.467588,1.1563789,5.959469,47.0,2.3312628,0.68085104,1.5,3.801345,6.559541,6.136412,2.4184232,0.8593885,24
19059372,VIDYA(24)/FRAMA(51)_H00,3.2806363,44.778217,31.0,19.0,5.490641,64.41231,19.63409,5.9417353,19.498102,16.0,11.0,1.8153175,23.4437,3.9455981,3.725919,47.0,5.490641,0.63829786,1.5,3.284976,3.6010888,4.521435,2.418069,2.3988428,22
19042860,VIDYA(24)/FRAMA(51)_H00,3.4241757,46.545002,31.0,19.0,5.2440543,65.745346,19.200342,6.0427904,19.823996,15.0,11.0,1.8153175,23.755152,3.9311562,3.8692045,46.0,5.2440543,0.65217394,1.5,3.391637,3.6834617,4.638859,2.409836,2.3387146,22
3749358,EMA(24)/TEMA(60)_H00,1.6791093,77.049034,115.0,51.0,14.399425,190.50502,113.45599,2.5975096,70.5925,67.0,35.0,6.323079,114.78159,44.189095,1.936544,182.0,14.399425,0.47252747,1.5,2.6256442,3.7048047,4.222079,2.396359,1.9750247,24
1322479,VIDYA(24)/FRAMA(51)_H05,1.4113523,62.06021,185.0,82.0,19.58152,212.92899,150.86877,2.1830404,52.758247,105.0,58.0,8.4207735,97.353714,44.59547,1.5874141,290.0,19.58152,0.4827586,1.5,2.261484,3.9409761,3.8338263,2.395653,1.9284337,24
1994222,VIDYA(24)/FRAMA(51)_H00,1.2617493,43.746727,248.0,106.0,17.148365,210.87892,167.1322,2.0426617,52.69654,155.0,87.0,6.1876354,103.236946,50.54041,1.4430658,403.0,17.148365,0.47890818,1.5,1.7734013,4.419826,3.6098483,2.392221,1.8424892,24
2700622,EMA(24)/TEMA(60)_H00,1.6174481,65.50686,110.0,47.0,14.645726,171.59976,106.092896,2.747513,73.06242,65.0,36.0,5.7960157,114.8718,41.809372,1.9368976,175.0,14.645726,0.47428572,1.5,2.366593,3.9352925,4.1464834,2.3755,1.9973483,24
19944224,VIDYA(24)/FRAMA(51)_H00,5.104122,67.25074,30.0,24.0,5.1,83.63689,16.386145,9.019557,30.92075,17.0,14.0,3.2597954,34.776417,3.855668,5.849935,47.0,5.1,0.80851066,1.5,4.938247,5.2190876,6.7831736,2.3739731,0.0695628,22
