config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
14596391,T3(22)/ALMA(66)_H00,1.5378907,199.68022,426.0,178.0,24.94846,570.90845,371.22824,1.9353944,195.292,248.0,111.0,22.754412,404.07242,208.7804,1.6809763,674.0,24.94846,0.4287834,1.2584733,4.1697946,4.8292804,6.2991776,8.539441,5.0828323,23
16431398,T3(22)/ALMA(66)_H00,1.5913297,219.6974,431.0,178.0,30.736532,591.2286,371.53116,1.875869,186.3613,248.0,109.0,28.438702,399.1343,212.77303,1.694944,679.0,30.736532,0.4226804,1.1788061,4.487007,4.591794,6.3840647,8.53793,5.194205,23
16431399,T3(22)/ALMA(66)_H00,1.5913297,219.6974,431.0,178.0,30.736532,591.2286,371.53116,1.875869,186.3613,248.0,109.0,28.438702,399.1343,212.77303,1.694944,679.0,30.736532,0.4226804,1.1788061,4.487007,4.591794,6.3840647,8.53793,5.194205,23
14596390,T3(22)/ALMA(66)_H00,1.5378907,199.68022,426.0,178.0,24.94846,570.90845,371.22824,1.9353944,195.292,248.0,111.0,22.754412,404.07242,208.7804,1.6809763,674.0,24.94846,0.4287834,1.2584733,4.1697946,4.8292804,6.2991776,8.531781,5.078273,23
16693543,T3(22)/ALMA(66)_H00,1.5344898,205.74068,440.0,183.0,25.638735,590.66986,384.92917,1.9122274,193.00548,253.0,112.0,25.188274,404.58154,211.57607,1.6684705,693.0,25.638735,0.42568544,1.246165,4.2112226,4.7780004,6.2872334,8.525522,5.088452,23
14334247,T3(22)/ALMA(66)_H00,1.5869757,210.03766,417.0,173.0,33.64555,567.86786,357.83023,1.8985012,188.66489,243.0,108.0,26.004837,398.64224,209.97736,1.7021788,660.0,33.64555,0.4257576,1.1963013,4.395881,4.642417,6.356566,8.513283,5.170303,23
14334246,T3(22)/ALMA(66)_H00,1.5869757,210.03766,417.0,173.0,33.64555,567.86786,357.83023,1.8985012,188.66489,243.0,108.0,26.004837,398.64224,209.97736,1.7021788,660.0,33.64555,0.4257576,1.1963013,4.395881,4.642417,6.356566,8.513283,5.170303,23
16693542,T3(22)/ALMA(66)_H00,1.5344898,205.74068,440.0,183.0,25.638735,590.66986,384.92917,1.9122274,193.00548,253.0,112.0,25.188274,404.58154,211.57607,1.6684705,693.0,25.638735,0.42568544,1.246165,4.2112226,4.7780004,6.2872334,8.4961195,5.0709033,23
14334245,T3(22)/ALMA(66)_H00,1.5243335,186.86586,451.0,188.0,35.57624,543.2533,356.38742,1.8800044,187.56548,261.0,112.0,19.984322,400.707,213.14151,1.6574405,712.0,35.57624,0.4213483,1.2333288,4.2044706,4.6836834,6.274968,8.313581,4.9743586,23
14563623,T3(22)/ALMA(66)_H00,1.5333349,196.00716,413.0,173.0,25.065702,563.5195,367.51233,1.9165199,191.43427,242.0,108.0,23.328333,400.30508,208.87082,1.6721941,655.0,25.065702,0.42900762,1.2499031,4.0823116,4.7015686,6.1529613,8.259124,5.008548,23
14563622,T3(22)/ALMA(66)_H00,1.5333349,196.00716,413.0,173.0,25.065702,563.5195,367.51233,1.9165199,191.43427,242.0,108.0,23.328333,400.30508,208.87082,1.6721941,655.0,25.065702,0.42900762,1.2499031,4.0823116,4.7015686,6.1529613,8.225836,4.9883614,23
