config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
17857455,JMA(22)/KAMA(36)_H00,2.0152311,44.280254,51.0,25.0,10.6709795,87.89619,43.615932,3.520263,65.429855,41.0,21.0,9.2436,91.39138,25.961521,2.5768056,92.0,10.6709795,0.5,1.5,2.388296,3.6181886,4.2284064,2.1939664,1.9980434,24
17857454,JMA(22)/KAMA(36)_H00,2.0152311,44.280254,51.0,25.0,10.6709795,87.89619,43.615932,3.520263,65.429855,41.0,21.0,9.2436,91.39138,25.961521,2.5768056,92.0,10.6709795,0.5,1.5,2.388296,3.6181886,4.2284064,2.187052,1.9917465,24
17857455,SSmoother(24)/KAMA(36)_H00,2.0163312,44.447838,53.0,26.0,10.767143,88.18145,43.733616,3.4645572,66.70856,44.0,22.0,9.263287,93.77571,27.067158,2.5699883,97.0,10.767143,0.49484536,1.5,2.437051,3.6617346,4.3114953,2.1712582,1.9189878,24
17857453,JMA(22)/KAMA(39)_H00,1.8566881,38.34106,50.0,25.0,12.024147,83.09604,44.754982,3.9132862,66.90242,38.0,22.0,8.780858,89.86701,22.96459,2.5541072,88.0,12.024147,0.53409094,1.5,2.1205325,3.9820924,4.2181783,2.1469934,2.0281613,24
17857454,SSmoother(24)/KAMA(36)_H00,2.0163312,44.447838,53.0,26.0,10.767143,88.18145,43.733616,3.4645572,66.70856,44.0,22.0,9.263287,93.77571,27.067158,2.5699883,97.0,10.767143,0.49484536,1.5,2.437051,3.6617346,4.3114953,2.1408198,1.8920859,24
17857453,JMA(22)/KAMA(36)_H00,1.8934665,41.47541,52.0,25.0,13.009825,87.89619,46.42078,3.4865549,65.17886,41.0,21.0,9.4945965,91.39138,26.212519,2.4683936,93.0,13.009825,0.49462366,1.5,2.1989357,3.596321,4.0640397,2.0738885,1.958473,24
17857455,JMA(22)/KAMA(39)_H00,1.8438888,38.03039,50.0,25.0,12.334813,83.09604,45.065647,3.840851,66.46933,38.0,22.0,9.21395,89.86701,23.397682,2.5263603,88.0,12.334813,0.53409094,1.5,2.0982518,3.937009,4.1741667,2.0600836,1.9674354,24
17857454,JMA(22)/KAMA(39)_H00,1.8438888,38.03039,50.0,25.0,12.334813,83.09604,45.065647,3.840851,66.46933,38.0,22.0,9.21395,89.86701,23.397682,2.5263603,88.0,12.334813,0.53409094,1.5,2.0982518,3.937009,4.1741667,2.0600836,1.9674354,24
17857453,SSmoother(24)/KAMA(36)_H00,1.8948082,41.642994,54.0,26.0,13.105988,88.18145,46.53846,3.4352005,66.47725,44.0,22.0,9.4945965,93.77571,27.298468,2.464311,98.0,13.105988,0.48979592,1.5,2.2442188,3.6420662,4.1477146,2.038195,1.8668966,24
17857452,SSmoother(24)/KAMA(36)_H00,1.8948082,41.642994,54.0,26.0,13.105988,88.18145,46.53846,3.4352005,66.47725,44.0,22.0,9.4945965,93.77571,27.298468,2.464311,98.0,13.105988,0.48979592,1.5,2.2442188,3.6420662,4.1477146,2.0324183,1.8616056,24
