config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
54688272,VWMA(18)/TEMA(49)_H05,3.443303,78.18331,47.0,29.0,11.171737,110.18233,31.99902,5.3496,59.6354,28.0,20.0,5.1,73.34595,13.710547,4.015095,75.0,11.171737,0.6533333,1.5,4.2064743,4.636079,6.075924,3.145256,2.094124,24
50493968,VWMA(18)/TEMA(49)_H05,3.443303,78.18331,47.0,29.0,11.171737,110.18233,31.99902,5.3496,59.6354,28.0,20.0,5.1,73.34595,13.710547,4.015095,75.0,11.171737,0.6533333,1.5,4.2064743,4.636079,6.075924,3.145256,2.094124,24
55212560,VWMA(18)/TEMA(45)_H05,3.0510945,87.94653,55.0,32.0,12.570193,130.82439,42.877857,3.9998648,48.8103,31.0,21.0,4.3662114,65.08113,16.270834,3.3120856,86.0,12.570193,0.61627907,1.3109607,4.038876,3.9680028,5.525005,2.965596,2.3445663,24
51018256,VWMA(18)/TEMA(45)_H05,3.0510945,87.94653,55.0,32.0,12.570193,130.82439,42.877857,3.9998648,48.8103,31.0,21.0,4.3662114,65.08113,16.270834,3.3120856,86.0,12.570193,0.61627907,1.3109607,4.038876,3.9680028,5.525005,2.965596,2.3445663,24
38547995,VIDYA(16)/McGinley(45)_H00,2.807122,87.011406,65.0,27.0,12.649862,135.16057,48.14916,3.3656137,40.517708,34.0,16.0,6.0926213,57.64549,17.127779,2.9536626,99.0,12.649862,0.43434343,1.1989553,3.491257,3.056738,4.5770645,2.9388485,2.496571,24
34353691,VIDYA(16)/McGinley(45)_H00,2.807122,87.011406,65.0,27.0,12.649862,135.16057,48.14916,3.3656137,40.517708,34.0,16.0,6.0926213,57.64549,17.127779,2.9536626,99.0,12.649862,0.43434343,1.1989553,3.491257,3.056738,4.5770645,2.9388485,2.496571,24
50362928,T3(14)/TEMA(42)_H05,3.4388342,57.87286,41.0,28.0,15.055093,81.602585,23.729723,19.279652,50.969738,22.0,18.0,1.6242821,53.758068,2.7883317,5.1044717,63.0,15.055093,0.73015875,1.5,4.097902,7.6485662,6.8613763,2.9074945,1.7111645,23
50362912,T3(14)/TEMA(42)_H05,3.3808672,59.722084,42.0,28.0,14.227133,84.80626,25.084173,11.854631,50.518284,23.0,18.0,1.8657446,55.172363,4.6540766,4.7070227,65.0,14.227133,0.7076923,1.5,4.055296,6.391041,6.523967,2.8587492,1.7861083,23
18004415,KAMA(18)/FRAMA(36)_H00,1.6382083,58.98127,137.0,66.0,15.614257,151.39824,92.41697,1.7893652,33.273743,76.0,42.0,8.127485,75.42628,42.152534,1.6855567,213.0,15.614257,0.5070422,1.0922697,2.804831,2.5286777,3.7386947,2.8346527,2.9078395,22
18004414,KAMA(18)/FRAMA(36)_H00,1.6382083,58.98127,137.0,66.0,15.614257,151.39824,92.41697,1.7893652,33.273743,76.0,42.0,8.127485,75.42628,42.152534,1.6855567,213.0,15.614257,0.5070422,1.0922697,2.804831,2.5286777,3.7386947,2.8346527,2.9078395,22
17971646,KAMA(18)/FRAMA(36)_H00,1.7277752,65.17011,132.0,66.0,15.614257,154.71715,89.547035,1.6843667,29.618555,75.0,42.0,8.127485,72.89733,43.278774,1.7136314,207.0,15.614257,0.5217391,0.97487605,3.0653188,2.261112,3.8237693,2.8322427,3.0675871,22
17971647,KAMA(18)/FRAMA(36)_H00,1.7277752,65.17011,132.0,66.0,15.614257,154.71715,89.547035,1.6843667,29.618555,75.0,42.0,8.127485,72.89733,43.278774,1.7136314,207.0,15.614257,0.5217391,0.97487605,3.0653188,2.261112,3.8237693,2.8322427,3.0675871,22
34353690,VIDYA(16)/McGinley(45)_H00,3.2642357,91.81395,56.0,23.0,9.557975,132.36359,40.549644,3.0649838,38.10114,32.0,15.0,5.7903543,56.552197,18.45106,3.2019243,88.0,9.557975,0.4318182,0.9389591,3.5710444,2.7797687,4.5451097,2.8309836,2.6962457,24
38547994,VIDYA(16)/McGinley(45)_H00,3.2642357,91.81395,56.0,23.0,9.557975,132.36359,40.549644,3.0649838,38.10114,32.0,15.0,5.7903543,56.552197,18.45106,3.2019243,88.0,9.557975,0.4318182,0.9389591,3.5710444,2.7797687,4.5451097,2.8309836,2.6962457,24
51083792,VWMA(18)/TEMA(45)_H05,2.9906616,90.611244,59.0,34.0,12.570193,136.1294,45.518154,3.9975884,48.965622,32.0,21.0,4.3662114,65.30062,16.335005,3.2565844,91.0,12.570193,0.6043956,1.3366903,4.0986195,3.9665866,5.5613256,2.8049865,2.1557863,24
55278096,VWMA(18)/TEMA(45)_H05,2.9906616,90.611244,59.0,34.0,12.570193,136.1294,45.518154,3.9975884,48.965622,32.0,21.0,4.3662114,65.30062,16.335005,3.2565844,91.0,12.570193,0.6043956,1.3366903,4.0986195,3.9665866,5.5613256,2.8049865,2.1557863,24
26392636,KAMA(18)/FRAMA(36)_H00,1.4986283,69.85456,247.0,102.0,22.601744,209.94803,140.09348,1.4920855,34.225613,126.0,57.0,7.745645,103.77778,69.55216,1.4964576,373.0,22.601744,0.42627347,0.99563414,2.9847574,2.1656735,3.6905174,2.792088,2.627043,22
26359868,KAMA(18)/FRAMA(36)_H00,1.5642452,76.805244,240.0,100.0,22.601744,212.92558,136.12033,1.4298053,30.907515,126.0,57.0,7.745645,102.81802,71.910515,1.5177729,366.0,22.601744,0.42896175,0.91405445,3.24231,1.9437997,3.783799,2.7036827,2.6382895,22
34353723,VIDYA(16)/McGinley(45)_H00,3.006621,85.38358,55.0,22.0,10.756612,127.93451,42.55093,3.0565834,37.97702,32.0,15.0,4.779423,56.443092,18.466072,3.0217414,87.0,10.756612,0.42528737,1.0166175,3.3078525,2.7743647,4.312332,2.703023,2.6405382,24
34353722,VIDYA(16)/McGinley(45)_H00,3.006621,85.38358,55.0,22.0,10.756612,127.93451,42.55093,3.0565834,37.97702,32.0,15.0,4.779423,56.443092,18.466072,3.0217414,87.0,10.756612,0.42528737,1.0166175,3.3078525,2.7743647,4.312332,2.703023,2.6405382,24
28457020,KAMA(18)/FRAMA(36)_H00,1.4647735,65.17524,253.0,113.0,21.854277,205.40535,140.2301,1.4529848,31.46751,131.0,63.0,7.745645,100.93454,69.46703,1.4608682,384.0,21.854277,0.45833334,0.9919518,2.923375,2.0972855,3.600935,2.6903126,2.5668976,22
54688400,VWMA(18)/TEMA(49)_H05,3.4631531,75.88246,44.0,29.0,11.171737,106.68951,30.807043,8.676442,60.7394,25.0,19.0,1.6242821,68.65184,7.912441,4.5285044,69.0,11.171737,0.6956522,1.5,4.209786,5.7672057,6.5029454,2.6788683,1.6711011,24
50494096,VWMA(18)/TEMA(49)_H05,3.4631531,75.88246,44.0,29.0,11.171737,106.68951,30.807043,8.676442,60.7394,25.0,19.0,1.6242821,68.65184,7.912441,4.5285044,69.0,11.171737,0.6956522,1.5,4.209786,5.7672057,6.5029454,2.6788683,1.6711011,24
11675708,KAMA(18)/FRAMA(36)_H00,1.4919409,68.684364,252.0,113.0,20.77265,208.30351,139.61916,1.4497615,31.243597,131.0,63.0,7.8216367,100.710625,69.46703,1.4779271,383.0,20.77265,0.45953003,0.97172856,3.0548837,2.0851865,3.7043993,2.6675615,2.544573,23
50428464,T3(14)/TEMA(42)_H05,3.3334122,57.939922,43.0,29.0,13.055672,82.77048,24.830557,18.869095,50.971634,23.0,18.0,1.6242821,53.82414,2.8525023,4.9342313,66.0,13.055672,0.7121212,1.5,4.0745325,7.2365594,6.7859077,2.6658635,1.5725524,24
26261564,KAMA(18)/FRAMA(36)_H00,1.5035053,71.74127,242.0,100.0,24.051844,214.22493,142.48366,1.4273586,29.796516,124.0,55.0,7.9971094,99.51903,69.72251,1.4784864,366.0,24.051844,0.42349726,0.9493539,2.977292,1.9100094,3.5451696,2.6575851,2.6122537,22
