config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
30290668,T3(18)/FRAMA(42)_H00,4.03922,29.399687,37.0,20.0,3.8417463,39.07312,9.673432,6.2012,14.989124,15.0,9.0,1.0166451,17.870983,2.8818588,4.5354667,52.0,3.8417463,0.5576923,1.5,3.8445163,3.203586,4.938896,3.8532982,2.9189544,23
3439540,FRAMA(24)/KAMA(39)_H00,4.2297277,31.456535,31.0,21.0,4.5105,41.19622,9.739686,6.030223,18.053009,20.0,14.0,1.9154363,21.641918,3.5889084,4.714536,51.0,4.5105,0.6862745,1.4256763,4.11691,4.1086545,5.684424,3.7966237,2.8777547,25
3439604,FRAMA(24)/KAMA(39)_H00,4.2297277,31.456535,31.0,21.0,4.5105,41.19622,9.739686,6.030223,18.053009,20.0,14.0,1.9154363,21.641918,3.5889084,4.714536,51.0,4.5105,0.6862745,1.4256763,4.11691,4.1086545,5.684424,3.7966237,2.8777547,25
3439605,FRAMA(24)/KAMA(39)_H00,4.2297277,31.456535,31.0,21.0,4.5105,41.19622,9.739686,6.030223,18.053009,20.0,14.0,1.9154363,21.641918,3.5889084,4.714536,51.0,4.5105,0.6862745,1.4256763,4.11691,4.1086545,5.684424,3.7845602,2.8686109,25
3308496,FRAMA(24)/KAMA(39)_H00,4.103887,30.694693,30.0,20.0,4.0397277,40.583805,9.889113,7.007895,23.875172,20.0,14.0,1.284308,27.849138,3.9739661,4.936345,50.0,4.0397277,0.68,1.5,3.938901,4.3936124,5.7460604,3.7827432,2.7080178,25
30290669,T3(18)/FRAMA(42)_H00,4.03922,29.399687,37.0,20.0,3.8417463,39.07312,9.673432,6.2012,14.989124,15.0,9.0,1.0166451,17.870983,2.8818588,4.5354667,52.0,3.8417463,0.5576923,1.5,3.8445163,3.203586,4.938896,3.7812738,2.8643944,23
30290670,T3(18)/FRAMA(42)_H00,4.03922,29.399687,37.0,20.0,3.8417463,39.07312,9.673432,6.2012,14.989124,15.0,9.0,1.0166451,17.870983,2.8818588,4.5354667,52.0,3.8417463,0.5576923,1.5,3.8445163,3.203586,4.938896,3.775135,2.859744,23
3308528,FRAMA(24)/KAMA(39)_H00,3.787414,29.86325,30.0,19.0,4.3052588,40.576855,10.713604,9.707263,23.94173,19.0,14.0,1.284308,26.691359,2.7496274,4.996439,49.0,4.3052588,0.67346936,1.5,3.6384945,5.0777955,5.691527,3.72817,2.6756444,25
1080308,ALMA(22)/SMA(45)_H05,4.947472,40.94823,31.0,17.0,5.018947,51.32151,10.373279,5.0700674,13.258356,17.0,11.0,1.9154363,16.515882,3.2575274,4.9767704,48.0,5.018947,0.5833333,1.0247794,3.9305718,3.291423,5.112277,3.7232156,3.2945597,25
3439607,FRAMA(24)/KAMA(39)_H00,4.2297277,31.456535,31.0,21.0,4.5105,41.19622,9.739686,6.030223,18.053009,20.0,14.0,1.9154363,21.641918,3.5889084,4.714536,51.0,4.5105,0.6862745,1.4256763,4.11691,4.1086545,5.684424,3.7072117,2.8099825,25
