config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
37780920,ALMA(20)/ZLEMA(42)_H00,1.5823377,98.2977,357.0,180.0,19.063864,267.09613,168.79843,1.4253254,38.5324,203.0,103.0,12.577842,129.1275,90.5951,1.5275002,560.0,19.063864,0.50535715,0.9007719,4.268787,2.5048337,4.949629,4.2269063,3.49676,23
37780792,ALMA(20)/ZLEMA(42)_H00,1.5823377,98.2977,357.0,180.0,19.063864,267.09613,168.79843,1.4253254,38.5324,203.0,103.0,12.577842,129.1275,90.5951,1.5275002,560.0,19.063864,0.50535715,0.9007719,4.268787,2.5048337,4.949629,4.2269063,3.49676,23
37776824,ALMA(20)/ZLEMA(42)_H00,1.687341,105.00092,331.0,172.0,17.970903,257.7649,152.76395,1.3896255,30.140577,178.0,92.0,11.149912,107.498375,77.3578,1.587261,509.0,17.970903,0.51866406,0.8235594,4.6969175,2.186121,5.1611004,4.067414,3.5090034,22
37776696,ALMA(20)/ZLEMA(42)_H00,1.687341,105.00092,331.0,172.0,17.970903,257.7649,152.76395,1.3896255,30.140577,178.0,92.0,11.149912,107.498375,77.3578,1.587261,509.0,17.970903,0.51866406,0.8235594,4.6969175,2.186121,5.1611004,4.067414,3.5090034,22
17109792,Tenkan(24)/TEMA(66)_H05,6.620321,54.23662,31.0,17.0,3.4959283,63.886715,9.650093,18.413282,46.713467,22.0,15.0,0.9518626,49.3961,2.682634,9.185544,53.0,3.4959283,0.6037736,1.5,4.401343,5.8163033,6.868906,4.065202,0.1320045,22
37774776,ALMA(20)/ZLEMA(42)_H00,1.6933465,105.91836,331.0,172.0,17.970903,258.6823,152.76395,1.3821868,29.724243,178.0,92.0,11.149912,107.498375,77.77413,1.588374,509.0,17.970903,0.51866406,0.8162457,4.727703,2.150889,5.1687236,4.0639234,3.5191965,22
37774648,ALMA(20)/ZLEMA(42)_H00,1.6933465,105.91836,331.0,172.0,17.970903,258.6823,152.76395,1.3821868,29.724243,178.0,92.0,11.149912,107.498375,77.77413,1.588374,509.0,17.970903,0.51866406,0.8162457,4.727703,2.150889,5.1687236,4.0639234,3.5191965,22
37780776,ALMA(20)/ZLEMA(42)_H00,1.594415,99.33648,356.0,181.0,17.970903,266.45285,167.11638,1.3939675,36.496353,206.0,104.0,12.208682,129.13432,92.63797,1.522928,562.0,17.970903,0.50711745,0.8742815,4.339042,2.3656461,4.927703,4.038442,3.3968222,23
37780904,ALMA(20)/ZLEMA(42)_H00,1.594415,99.33648,356.0,181.0,17.970903,266.45285,167.11638,1.3939675,36.496353,206.0,104.0,12.208682,129.13432,92.63797,1.522928,562.0,17.970903,0.50711745,0.8742815,4.339042,2.3656461,4.927703,4.038442,3.3968222,23
37778744,ALMA(20)/ZLEMA(42)_H00,1.555885,95.721214,357.0,179.0,19.063864,267.9173,172.19608,1.4188052,38.116066,203.0,103.0,12.577842,129.1275,91.01144,1.5084858,560.0,19.063864,0.50357145,0.911896,4.1118827,2.4730022,4.8037386,4.018278,3.3454764,23
37778872,ALMA(20)/ZLEMA(42)_H00,1.555885,95.721214,357.0,179.0,19.063864,267.9173,172.19608,1.4188052,38.116066,203.0,103.0,12.577842,129.1275,91.01144,1.5084858,560.0,19.063864,0.50357145,0.911896,4.1118827,2.4730022,4.8037386,4.018278,3.3454764,23
7123899,Tenkan(24)/TEMA(63)_H00,2.0861053,60.497738,144.0,77.0,8.683476,116.19927,55.701534,2.9972532,42.856335,64.0,39.0,3.2125423,64.31397,21.457638,2.3394918,208.0,8.683476,0.5576923,1.4367698,4.3185573,4.3790736,6.0250506,3.9634786,2.5839899,24
7123898,Tenkan(24)/TEMA(63)_H00,2.0861053,60.497738,144.0,77.0,8.683476,116.19927,55.701534,2.9972532,42.856335,64.0,39.0,3.2125423,64.31397,21.457638,2.3394918,208.0,8.683476,0.5576923,1.4367698,4.3185573,4.3790736,6.0250506,3.9634786,2.5839899,24
37774762,ALMA(20)/ZLEMA(42)_H00,1.788098,116.55297,320.0,179.0,19.25475,264.44446,147.89146,1.3575504,28.69108,178.0,94.0,12.143027,108.93453,80.24345,1.6366587,498.0,19.25475,0.5481928,0.75921476,5.1950684,2.0375865,5.491205,3.9610398,3.4803276,22
37774778,ALMA(20)/ZLEMA(42)_H00,1.7680532,115.15573,322.0,178.0,19.25475,265.0877,149.93198,1.4069781,31.508091,175.0,93.0,12.558364,108.927704,77.41961,1.6450969,497.0,19.25475,0.54527164,0.79577816,5.1006355,2.2563097,5.5369635,3.9459584,3.3716912,22
17109856,Tenkan(24)/TEMA(66)_H05,6.3757467,51.876457,31.0,17.0,3.4959283,61.52655,9.650093,17.814476,45.107086,22.0,15.0,0.9518626,47.789722,2.682634,8.863916,53.0,3.4959283,0.6037736,1.5,4.345467,5.7848053,6.8033323,3.922861,0.22607929,22
17241022,Tenkan(24)/TEMA(66)_H05,2.6534984,43.55182,54.0,29.0,11.073186,69.891014,26.339195,4.2410603,51.060112,38.0,23.0,5.8346834,66.81425,15.754138,3.2476702,92.0,11.073186,0.5652174,1.5,3.4316745,4.284408,5.405168,3.9188888,2.8317027,22
17109920,Tenkan(24)/TEMA(66)_H05,6.5261593,52.7397,30.0,17.0,3.4959283,62.283344,9.543644,17.139015,45.72839,22.0,14.0,0.9518626,48.5618,2.8334067,8.955699,52.0,3.4959283,0.59615386,1.5,4.418364,5.3014913,6.68172,3.909976,-0.13936602,22
37776808,ALMA(20)/ZLEMA(42)_H00,1.701869,106.0397,330.0,173.0,17.970903,257.1216,151.08191,1.3539584,28.10453,181.0,93.0,10.780753,107.5052,79.40067,1.5820148,511.0,17.970903,0.5205479,0.79557145,4.7735596,2.030648,5.138785,3.8948894,3.4250286,22
37776680,ALMA(20)/ZLEMA(42)_H00,1.701869,106.0397,330.0,173.0,17.970903,257.1216,151.08191,1.3539584,28.10453,181.0,93.0,10.780753,107.5052,79.40067,1.5820148,511.0,17.970903,0.5205479,0.79557145,4.7735596,2.030648,5.138785,3.8948894,3.4250286,22
37774632,ALMA(20)/ZLEMA(42)_H00,1.7079414,106.95714,330.0,173.0,17.970903,258.03903,151.08191,1.3468959,27.688198,181.0,93.0,10.780753,107.5052,79.81701,1.5831354,511.0,17.970903,0.5205479,0.78860784,4.804454,1.9959785,5.146518,3.8942606,3.4371276,22
