config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
36844077,ALMA(24)/TEMA(51)_H00,1.9330909,82.634125,158.0,72.0,9.93665,171.19368,88.55956,2.4816666,39.825764,80.0,43.0,6.222162,66.70479,26.87903,2.0608227,238.0,9.93665,0.48319328,1.2837816,3.8738492,3.920766,5.282232,3.5367525,2.5951893,24
35795517,ALMA(24)/TEMA(51)_H00,2.2406116,86.99468,126.0,58.0,7.1789927,157.1171,70.12241,2.9774399,38.74517,55.0,31.0,7.142244,58.33877,19.593603,2.4015317,181.0,7.1789927,0.49171272,1.3288515,4.1574125,3.9041173,5.5049353,3.4560814,2.4472322,24
6363678,VIDYA(14)/KAMA(42)_H00,8.431357,96.64288,36.0,19.0,5.6902423,109.64763,13.004742,9.55224,26.412777,19.0,11.0,1.1917031,29.50118,3.0884044,8.646464,55.0,5.6902423,0.54545456,1.1329422,4.936437,4.000346,6.308881,3.4141266,-0.8834371,24
2169374,VIDYA(14)/KAMA(42)_H00,8.431357,96.64288,36.0,19.0,5.6902423,109.64763,13.004742,9.55224,26.412777,19.0,11.0,1.1917031,29.50118,3.0884044,8.646464,55.0,5.6902423,0.54545456,1.1329422,4.936437,4.000346,6.308881,3.4141266,-0.8834371,24
35795518,ALMA(24)/TEMA(51)_H00,2.6704695,106.83417,116.0,60.0,6.4958143,170.78874,63.954575,2.6562068,36.539093,55.0,31.0,8.356773,58.60101,22.061913,2.6668115,171.0,8.356773,0.53216374,0.9946591,4.9768806,3.5359647,6.1106043,3.2385404,2.4579978,24
6361655,VIDYA(14)/KAMA(42)_H00,11.086961,87.672104,34.0,20.0,3.0542498,96.36372,8.6916275,8.257439,22.995657,19.0,11.0,1.1917031,26.16422,3.1685636,10.331026,53.0,3.0542498,0.5849057,0.7447883,5.616962,3.8510156,6.8685403,3.2217474,-2.2032764,23
6361654,VIDYA(14)/KAMA(42)_H00,11.086961,87.672104,34.0,20.0,3.0542498,96.36372,8.6916275,8.257439,22.995657,19.0,11.0,1.1917031,26.16422,3.1685636,10.331026,53.0,3.0542498,0.5849057,0.7447883,5.616962,3.8510156,6.8685403,3.2217474,-2.0502946,23
36844093,ALMA(24)/TEMA(51)_H00,1.8849664,78.75491,153.0,69.0,11.847233,167.7469,88.99199,2.588902,40.758648,75.0,41.0,7.198569,66.410736,25.652084,2.0424747,228.0,11.847233,0.48245615,1.3734473,3.6657784,3.9819252,5.109146,3.2149086,2.348614,24
2169407,VIDYA(14)/KAMA(42)_H00,8.962948,89.34966,34.0,18.0,3.1509295,100.57034,11.220676,8.861521,25.308231,19.0,10.0,1.1917031,28.527487,3.219254,8.940336,53.0,3.1509295,0.5283019,0.98868376,4.881876,3.6220322,6.0809765,3.2122858,-0.7773692,24
2169406,VIDYA(14)/KAMA(42)_H00,8.962948,89.34966,34.0,18.0,3.1509295,100.57034,11.220676,8.861521,25.308231,19.0,10.0,1.1917031,28.527487,3.219254,8.940336,53.0,3.1509295,0.5283019,0.98868376,4.881876,3.6220322,6.0809765,3.2122858,-0.6798639,24
