config_id,preset_label,pf_tr,pnl_tr,trades_tr,wins_tr,maxdd_tr,gp_tr,gl_tr,pf_fwd,pnl_fwd,trades_fwd,wins_fwd,maxdd_fwd,gp_fwd,gl_fwd,pf_combined,trades_total,maxdd_worst,wr_combined,pf_robustness,sqn_tr,sqn_fwd,sqn_combined,specialist_score,sqn_p5,sqn_n_neighbors
17068568,KAMA(14)/T3(39)_H00,9.947185,226.3681,32.0,19.0,10.288931,251.6686,25.300486,7.8266945,124.80539,29.0,18.0,3.6243148,143.08736,18.281965,9.057681,61.0,10.288931,0.60655737,0.7868251,5.3632674,4.969559,7.372098,8.087436,3.786529,23
17068696,KAMA(14)/T3(39)_H00,9.947185,226.3681,32.0,19.0,10.288931,251.6686,25.300486,7.8266945,124.80539,29.0,18.0,3.6243148,143.08736,18.281965,9.057681,61.0,10.288931,0.60655737,0.7868251,5.3632674,4.969559,7.372098,8.087436,3.786529,23
17117725,KAMA(14)/T3(39)_H05,12.820938,238.7139,32.0,18.0,13.6549635,258.90805,20.194159,8.446104,107.67025,21.0,12.0,9.042049,122.130196,14.459944,10.995473,53.0,13.6549635,0.5660377,0.65877426,5.3749595,4.028972,6.7567716,7.9266095,3.68693,23
21312029,KAMA(14)/T3(39)_H05,12.820938,238.7139,32.0,18.0,13.6549635,258.90805,20.194159,8.446104,107.67025,21.0,12.0,9.042049,122.130196,14.459944,10.995473,53.0,13.6549635,0.5660377,0.65877426,5.3749595,4.028972,6.7567716,7.9266095,3.68693,23
17068632,KAMA(14)/T3(39)_H05,8.277302,233.19763,31.0,15.0,14.627943,265.24216,32.04452,9.040371,118.57139,20.0,13.0,6.9418035,133.31839,14.7470045,8.517793,51.0,14.627943,0.54901963,1.0921881,4.257463,4.4966216,6.0848007,7.4603977,3.5759535,23
17068760,KAMA(14)/T3(39)_H05,8.277302,233.19763,31.0,15.0,14.627943,265.24216,32.04452,9.040371,118.57139,20.0,13.0,6.9418035,133.31839,14.7470045,8.517793,51.0,14.627943,0.54901963,1.0921881,4.257463,4.4966216,6.0848007,7.4603977,3.5759535,23
17068616,KAMA(14)/T3(39)_H00,6.330321,206.01266,31.0,14.0,14.452521,244.66188,38.649208,8.298686,120.80935,26.0,15.0,4.184413,137.36156,16.552204,6.9205375,57.0,14.452521,0.50877196,1.3109424,3.7647305,4.4977894,5.7175508,7.346627,3.65598,23
17068744,KAMA(14)/T3(39)_H00,6.330321,206.01266,31.0,14.0,14.452521,244.66188,38.649208,8.298686,120.80935,26.0,15.0,4.184413,137.36156,16.552204,6.9205375,57.0,14.452521,0.50877196,1.3109424,3.7647305,4.4977894,5.7175508,7.346627,3.65598,23
17068569,KAMA(14)/T3(39)_H00,9.936514,229.24371,37.0,21.0,10.717267,254.8962,25.652477,8.112508,128.39743,32.0,19.0,3.7068195,146.44977,18.052341,9.183105,69.0,10.717267,0.5797101,0.816434,5.5361032,5.0805106,7.558062,7.28882,3.0391974,23
17117721,KAMA(14)/T3(39)_H05,16.254726,242.47325,35.0,22.0,10.139663,258.3682,15.8949585,7.8682346,108.4522,21.0,12.0,9.5473175,124.2426,15.790404,12.075316,56.0,10.139663,0.60714287,0.48405826,6.541622,3.9496837,7.5644374,7.2008595,3.4219828,23
